Country,StateName,StateCode,Year,TRU,D7294_3,D7294_4,Hospitalisation_cases_received_treatment_%_sum,Hospitalisation_cases_received_treatment_%_avg,Average_duration_of_treatment_of_hospitalised_cases_sum,Average_duration_of_treatment_of_hospitalised_cases_avg,"Treatment_of_hospitalised_cases_from_government_or_public_hospital_including_hsc,phc_or_chc_etc_%_sum","Treatment_of_hospitalised_cases_from_government_or_public_hospital_including_hsc,phc_or_chc_etc_%_avg",Treatment_of_hospitalised_cases_from_charitable_or_trust_or_ngo_run_hospital_%_sum,Treatment_of_hospitalised_cases_from_charitable_or_trust_or_ngo_run_hospital_%_avg,Treatment_of_hospitalised_cases_from_private_hospital_%_sum,Treatment_of_hospitalised_cases_from_private_hospital_%_avg,Treatment_of_hospitalised_cases_from_private_doctor_or_clinic_%_sum,Treatment_of_hospitalised_cases_from_private_doctor_or_clinic_%_avg,Treatment_of_hospitalised_cases_from_informal_health_care_provider_%_sum,Treatment_of_hospitalised_cases_from_informal_health_care_provider_%_avg,Total_treatment_of_all_hospitalised_cases_%_sum,Total_treatment_of_all_hospitalised_cases_%_avg,Estimated_number_of_hospitalised_cases_sum,Estimated_number_of_hospitalised_cases_avg,Sample_of_hospitalised_cases_sum,Sample_of_hospitalised_cases_avg
India,Chhattisgarh,22,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,all,Before,100.0,100.0,36.3,36.3,41.1,41.1,1.5,1.5,33.0,33.0,19.5,19.5,4.8,4.8,100.0,100.0,2831.0,2831.0,827.0,827.0
India,Chhattisgarh,22,"Agriculture Year (Jul - Jun), 2017",Urban,Charitable hospital,After,1.4,1.4,0.5,0.5,0.0,0.0,87.8,87.8,12.2,12.2,0.0,0.0,0.0,0.0,100.0,100.0,16.0,16.0,22.0,22.0
India,Chhattisgarh,22,"Agriculture Year (Jul - Jun), 2017",Urban,Charitable hospital,Before,1.4,1.4,0.7,0.7,37.3,37.3,36.5,36.5,2.3,2.3,23.9,23.9,0.0,0.0,100.0,100.0,11.0,11.0,15.0,15.0
India,Chhattisgarh,22,"Agriculture Year (Jul - Jun), 2017",Urban,Govt. hospital,After,33.2,33.2,9.4,9.4,94.7,94.7,0.5,0.5,2.3,2.3,1.8,1.8,0.6,0.6,100.0,100.0,374.0,374.0,234.0,234.0
India,Chhattisgarh,22,"Agriculture Year (Jul - Jun), 2017",Urban,Govt. hospital,Before,31.2,31.2,15.3,15.3,86.3,86.3,0.0,0.0,3.2,3.2,9.5,9.5,1.0,1.0,100.0,100.0,251.0,251.0,129.0,129.0
India,Chhattisgarh,22,"Agriculture Year (Jul - Jun), 2017",Urban,Private hospital,After,65.4,65.4,21.4,21.4,1.9,1.9,0.0,0.0,83.2,83.2,14.9,14.9,0.0,0.0,100.0,100.0,736.0,736.0,297.0,297.0
India,Chhattisgarh,22,"Agriculture Year (Jul - Jun), 2017",Urban,Private hospital,Before,67.4,67.4,22.2,22.2,5.7,5.7,1.6,1.6,63.4,63.4,29.2,29.2,0.1,0.1,100.0,100.0,542.0,542.0,179.0,179.0
India,Chhattisgarh,22,"Agriculture Year (Jul - Jun), 2017",Urban,all,After,100.0,100.0,31.4,31.4,32.7,32.7,1.4,1.4,55.3,55.3,10.3,10.3,0.2,0.2,100.0,100.0,1126.0,1126.0,553.0,553.0
India,Chhattisgarh,22,"Agriculture Year (Jul - Jun), 2017",Urban,all,Before,100.0,100.0,38.2,38.2,31.3,31.3,1.6,1.6,43.7,43.7,23.0,23.0,0.4,0.4,100.0,100.0,803.0,803.0,323.0,323.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Rural,Charitable hospital,After,4.1,4.1,5.3,5.3,4.2,4.2,83.5,83.5,11.9,11.9,0.4,0.4,0.0,0.0,100.0,100.0,359.0,359.0,36.0,36.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Rural,Charitable hospital,Before,6.3,6.3,3.7,3.7,68.9,68.9,6.8,6.8,13.9,13.9,10.5,10.5,0.0,0.0,100.0,100.0,350.0,350.0,35.0,35.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Rural,Govt. hospital,After,46.8,46.8,9.5,9.5,96.0,96.0,0.2,0.2,2.6,2.6,1.2,1.2,0.1,0.1,100.0,100.0,4113.0,4113.0,758.0,758.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Rural,Govt. hospital,Before,35.1,35.1,17.8,17.8,76.5,76.5,1.2,1.2,4.2,4.2,16.1,16.1,2.0,2.0,100.0,100.0,1952.0,1952.0,408.0,408.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Rural,Private hospital,After,49.1,49.1,18.1,18.1,4.4,4.4,1.2,1.2,88.0,88.0,6.5,6.5,0.0,0.0,100.0,100.0,4317.0,4317.0,595.0,595.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Rural,Private hospital,Before,58.6,58.6,29.5,29.5,45.4,45.4,0.1,0.1,29.7,29.7,23.6,23.6,1.1,1.1,100.0,100.0,3257.0,3257.0,408.0,408.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Rural,all,After,100.0,100.0,33.0,33.0,47.3,47.3,4.1,4.1,44.9,44.9,3.7,3.7,0.0,0.0,100.0,100.0,8789.0,8789.0,1389.0,1389.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Rural,all,Before,100.0,100.0,51.1,51.1,57.8,57.8,0.9,0.9,19.8,19.8,20.2,20.2,1.4,1.4,100.0,100.0,5558.0,5558.0,851.0,851.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Charitable hospital,After,3.6,3.6,3.9,3.9,5.9,5.9,76.5,76.5,14.9,14.9,2.8,2.8,0.0,0.0,100.0,100.0,460.0,460.0,73.0,73.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Charitable hospital,Before,5.3,5.3,4.5,4.5,58.7,58.7,11.5,11.5,13.9,13.9,15.9,15.9,0.0,0.0,100.0,100.0,436.0,436.0,65.0,65.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Govt. hospital,After,46.2,46.2,9.9,9.9,94.9,94.9,0.3,0.3,2.6,2.6,2.1,2.1,0.1,0.1,100.0,100.0,5929.0,5929.0,1286.0,1286.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Govt. hospital,Before,36.8,36.8,27.2,27.2,74.5,74.5,0.9,0.9,6.3,6.3,16.6,16.6,1.7,1.7,100.0,100.0,3039.0,3039.0,725.0,725.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Private hospital,After,50.2,50.2,18.5,18.5,4.4,4.4,0.9,0.9,87.8,87.8,6.8,6.8,0.1,0.1,100.0,100.0,6440.0,6440.0,1316.0,1316.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Private hospital,Before,57.9,57.9,32.6,32.6,35.4,35.4,0.2,0.2,38.3,38.3,25.3,25.3,0.8,0.8,100.0,100.0,4775.0,4775.0,925.0,925.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,all,After,100.0,100.0,32.3,32.3,46.3,46.3,3.3,3.3,45.8,45.8,4.5,4.5,0.1,0.1,100.0,100.0,12829.0,12829.0,2675.0,2675.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,all,Before,100.0,100.0,64.4,64.4,51.0,51.0,1.1,1.1,25.2,25.2,21.6,21.6,1.1,1.1,100.0,100.0,8250.0,8250.0,1715.0,1715.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Urban,Charitable hospital,After,2.5,2.5,0.8,0.8,11.8,11.8,51.9,51.9,25.4,25.4,10.9,10.9,0.0,0.0,100.0,100.0,102.0,102.0,37.0,37.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Urban,Charitable hospital,Before,3.2,3.2,5.9,5.9,17.2,17.2,30.5,30.5,14.2,14.2,38.1,38.1,0.0,0.0,100.0,100.0,86.0,86.0,30.0,30.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Urban,Govt. hospital,After,45.0,45.0,10.6,10.6,92.4,92.4,0.6,0.6,2.8,2.8,4.3,4.3,0.0,0.0,100.0,100.0,1816.0,1816.0,528.0,528.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Urban,Govt. hospital,Before,40.4,40.4,46.7,46.7,71.0,71.0,0.4,0.4,10.0,10.0,17.6,17.6,1.0,1.0,100.0,100.0,1087.0,1087.0,317.0,317.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Urban,Private hospital,After,52.5,52.5,19.4,19.4,4.4,4.4,0.4,0.4,87.5,87.5,7.4,7.4,0.3,0.3,100.0,100.0,2122.0,2122.0,721.0,721.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Urban,Private hospital,Before,56.4,56.4,39.1,39.1,13.8,13.8,0.4,0.4,56.6,56.6,29.0,29.0,0.2,0.2,100.0,100.0,1518.0,1518.0,517.0,517.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Urban,all,After,100.0,100.0,30.7,30.7,44.1,44.1,1.8,1.8,47.9,47.9,6.1,6.1,0.1,0.1,100.0,100.0,4040.0,4040.0,1286.0,1286.0
India,Madhya Pradesh,23,"Agriculture Year (Jul - Jun), 2017",Urban,all,Before,100.0,100.0,91.7,91.7,37.0,37.0,1.4,1.4,36.4,36.4,24.7,24.7,0.5,0.5,100.0,100.0,2692.0,2692.0,864.0,864.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Rural,Charitable hospital,After,7.0,7.0,1.8,1.8,0.8,0.8,86.8,86.8,12.5,12.5,0.0,0.0,0.0,0.0,100.0,100.0,403.0,403.0,65.0,65.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Rural,Charitable hospital,Before,5.4,5.4,1.1,1.1,13.6,13.6,51.5,51.5,7.9,7.9,27.0,27.0,0.0,0.0,100.0,100.0,195.0,195.0,34.0,34.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Rural,Govt. hospital,After,38.4,38.4,15.5,15.5,97.8,97.8,0.1,0.1,1.8,1.8,0.2,0.2,0.1,0.1,100.0,100.0,2213.0,2213.0,327.0,327.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Rural,Govt. hospital,Before,40.0,40.0,131.4,131.4,74.7,74.7,0.0,0.0,1.9,1.9,22.5,22.5,0.9,0.9,100.0,100.0,1441.0,1441.0,228.0,228.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Rural,Private hospital,After,54.6,54.6,14.9,14.9,3.4,3.4,1.7,1.7,87.5,87.5,7.4,7.4,0.0,0.0,100.0,100.0,3151.0,3151.0,538.0,538.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Rural,Private hospital,Before,54.6,54.6,24.0,24.0,14.8,14.8,1.6,1.6,56.1,56.1,27.5,27.5,0.0,0.0,100.0,100.0,1968.0,1968.0,351.0,351.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Rural,all,After,100.0,100.0,32.1,32.1,39.5,39.5,7.0,7.0,49.3,49.3,4.1,4.1,0.0,0.0,100.0,100.0,5767.0,5767.0,930.0,930.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Rural,all,Before,100.0,100.0,156.4,156.4,38.7,38.7,3.7,3.7,31.8,31.8,25.5,25.5,0.3,0.3,100.0,100.0,3605.0,3605.0,613.0,613.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Charitable hospital,After,7.9,7.9,1.4,1.4,0.5,0.5,88.5,88.5,11.1,11.1,0.0,0.0,0.0,0.0,100.0,100.0,912.0,912.0,160.0,160.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Charitable hospital,Before,6.6,6.6,2.4,2.4,8.5,8.5,44.5,44.5,16.9,16.9,30.1,30.1,0.0,0.0,100.0,100.0,464.0,464.0,87.0,87.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Govt. hospital,After,29.4,29.4,10.5,10.5,97.1,97.1,0.3,0.3,2.2,2.2,0.4,0.4,0.1,0.1,100.0,100.0,3375.0,3375.0,587.0,587.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Govt. hospital,Before,31.4,31.4,89.3,89.3,76.3,76.3,0.2,0.2,3.3,3.3,19.5,19.5,0.7,0.7,100.0,100.0,2211.0,2211.0,396.0,396.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Private hospital,After,62.7,62.7,15.8,15.8,2.6,2.6,1.2,1.2,91.6,91.6,4.6,4.6,0.0,0.0,100.0,100.0,7198.0,7198.0,1400.0,1400.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Private hospital,Before,62.0,62.0,29.8,29.8,10.3,10.3,1.4,1.4,59.8,59.8,28.6,28.6,0.0,0.0,100.0,100.0,4359.0,4359.0,905.0,905.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,all,After,100.0,100.0,27.7,27.7,30.2,30.2,7.8,7.8,58.9,58.9,3.0,3.0,0.0,0.0,100.0,100.0,11485.0,11485.0,2147.0,2147.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,all,Before,100.0,100.0,121.4,121.4,30.9,30.9,3.8,3.8,39.2,39.2,25.8,25.8,0.2,0.2,100.0,100.0,7034.0,7034.0,1388.0,1388.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Urban,Charitable hospital,After,8.9,8.9,1.1,1.1,0.2,0.2,89.9,89.9,10.0,10.0,0.0,0.0,0.0,0.0,100.0,100.0,509.0,509.0,95.0,95.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Urban,Charitable hospital,Before,7.8,7.8,3.9,3.9,4.8,4.8,39.4,39.4,23.4,23.4,32.3,32.3,0.0,0.0,100.0,100.0,268.0,268.0,53.0,53.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Urban,Govt. hospital,After,20.3,20.3,5.4,5.4,95.7,95.7,0.6,0.6,2.9,2.9,0.8,0.8,0.0,0.0,100.0,100.0,1162.0,1162.0,260.0,260.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Urban,Govt. hospital,Before,22.5,22.5,45.0,45.0,79.3,79.3,0.4,0.4,5.9,5.9,14.0,14.0,0.4,0.4,100.0,100.0,770.0,770.0,168.0,168.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Urban,Private hospital,After,70.8,70.8,16.8,16.8,2.0,2.0,0.7,0.7,94.7,94.7,2.5,2.5,0.1,0.1,100.0,100.0,4047.0,4047.0,862.0,862.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Urban,Private hospital,Before,69.7,69.7,35.8,35.8,6.5,6.5,1.2,1.2,62.8,62.8,29.5,29.5,0.0,0.0,100.0,100.0,2391.0,2391.0,554.0,554.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Urban,all,After,100.0,100.0,23.2,23.2,20.9,20.9,8.7,8.7,68.5,68.5,1.9,1.9,0.1,0.1,100.0,100.0,5718.0,5718.0,1217.0,1217.0
India,Gujarat,24,"Agriculture Year (Jul - Jun), 2017",Urban,all,Before,100.0,100.0,84.7,84.7,22.8,22.8,4.0,4.0,46.9,46.9,26.2,26.2,0.1,0.1,100.0,100.0,3429.0,3429.0,775.0,775.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Rural,Charitable hospital,After,3.2,3.2,1.8,1.8,0.2,0.2,72.9,72.9,15.8,15.8,11.1,11.1,0.0,0.0,100.0,100.0,508.0,508.0,83.0,83.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Rural,Charitable hospital,Before,4.2,4.2,16.4,16.4,3.8,3.8,40.2,40.2,45.7,45.7,10.2,10.2,0.0,0.0,100.0,100.0,412.0,412.0,65.0,65.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Rural,Govt. hospital,After,24.1,24.1,6.1,6.1,90.6,90.6,1.3,1.3,6.8,6.8,0.8,0.8,0.4,0.4,100.0,100.0,3800.0,3800.0,562.0,562.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Rural,Govt. hospital,Before,24.4,24.4,13.0,13.0,66.0,66.0,1.5,1.5,18.2,18.2,13.2,13.2,1.2,1.2,100.0,100.0,2415.0,2415.0,371.0,371.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Rural,Private hospital,After,72.7,72.7,24.5,24.5,1.7,1.7,1.0,1.0,90.6,90.6,6.4,6.4,0.3,0.3,100.0,100.0,11471.0,11471.0,1521.0,1521.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Rural,Private hospital,Before,71.4,71.4,45.9,45.9,4.5,4.5,0.7,0.7,69.7,69.7,24.7,24.7,0.3,0.3,100.0,100.0,7057.0,7057.0,974.0,974.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Rural,all,After,100.0,100.0,32.3,32.3,23.0,23.0,3.4,3.4,68.0,68.0,5.2,5.2,0.3,0.3,100.0,100.0,15779.0,15779.0,2166.0,2166.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Rural,all,Before,100.0,100.0,75.3,75.3,19.5,19.5,2.5,2.5,56.1,56.1,21.3,21.3,0.5,0.5,100.0,100.0,9884.0,9884.0,1410.0,1410.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Charitable hospital,After,4.0,4.0,2.1,2.1,1.5,1.5,68.1,68.1,22.8,22.8,7.3,7.3,0.2,0.2,100.0,100.0,1161.0,1161.0,209.0,209.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Charitable hospital,Before,4.9,4.9,11.4,11.4,6.3,6.3,34.7,34.7,36.8,36.8,22.2,22.2,0.0,0.0,100.0,100.0,936.0,936.0,163.0,163.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Govt. hospital,After,21.4,21.4,6.5,6.5,90.0,90.0,0.9,0.9,7.5,7.5,1.1,1.1,0.5,0.5,100.0,100.0,6173.0,6173.0,1085.0,1085.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Govt. hospital,Before,21.1,21.1,15.8,15.8,63.4,63.4,1.1,1.1,15.5,15.5,19.2,19.2,0.7,0.7,100.0,100.0,3992.0,3992.0,730.0,730.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Private hospital,After,74.5,74.5,25.9,25.9,1.9,1.9,0.9,0.9,88.0,88.0,9.0,9.0,0.2,0.2,100.0,100.0,21464.0,21464.0,3630.0,3630.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Private hospital,Before,74.0,74.0,75.1,75.1,5.1,5.1,0.6,0.6,61.6,61.6,32.3,32.3,0.4,0.4,100.0,100.0,14000.0,14000.0,2452.0,2452.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,all,After,100.0,100.0,34.5,34.5,20.7,20.7,3.6,3.6,68.1,68.1,7.2,7.2,0.2,0.2,100.0,100.0,28798.0,28798.0,4924.0,4924.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,all,Before,100.0,100.0,102.3,102.3,17.4,17.4,2.4,2.4,50.7,50.7,29.0,29.0,0.4,0.4,100.0,100.0,18927.0,18927.0,3345.0,3345.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Urban,Charitable hospital,After,5.0,5.0,2.5,2.5,2.5,2.5,64.4,64.4,28.3,28.3,4.4,4.4,0.4,0.4,100.0,100.0,653.0,653.0,126.0,126.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Urban,Charitable hospital,Before,5.8,5.8,6.0,6.0,8.3,8.3,30.3,30.3,29.8,29.8,31.6,31.6,0.0,0.0,100.0,100.0,524.0,524.0,98.0,98.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Urban,Govt. hospital,After,18.2,18.2,7.0,7.0,89.1,89.1,0.4,0.4,8.5,8.5,1.5,1.5,0.5,0.5,100.0,100.0,2373.0,2373.0,523.0,523.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Urban,Govt. hospital,Before,17.4,17.4,18.9,18.9,59.5,59.5,0.6,0.6,11.4,11.4,28.5,28.5,0.0,0.0,100.0,100.0,1577.0,1577.0,359.0,359.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Urban,Private hospital,After,76.8,76.8,27.6,27.6,2.1,2.1,0.8,0.8,85.1,85.1,11.9,11.9,0.1,0.1,100.0,100.0,9993.0,9993.0,2109.0,2109.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Urban,Private hospital,Before,76.8,76.8,107.0,107.0,5.6,5.6,0.6,0.6,53.4,53.4,39.9,39.9,0.5,0.5,100.0,100.0,6943.0,6943.0,1478.0,1478.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Urban,all,After,100.0,100.0,37.1,37.1,18.0,18.0,3.9,3.9,68.3,68.3,9.6,9.6,0.2,0.2,100.0,100.0,13019.0,13019.0,2758.0,2758.0
India,Maharashtra,27,"Agriculture Year (Jul - Jun), 2017",Urban,all,Before,100.0,100.0,131.8,131.8,15.2,15.2,2.3,2.3,44.7,44.7,37.5,37.5,0.4,0.4,100.0,100.0,9043.0,9043.0,1935.0,1935.0
India,Andhra Pradesh,28,"Agriculture Year (Jul - Jun), 2017",Rural,Charitable hospital,After,2.4,2.4,0.9,0.9,8.1,8.1,83.1,83.1,8.8,8.8,0.0,0.0,0.0,0.0,100.0,100.0,281.0,281.0,49.0,49.0
India,Andhra Pradesh,28,"Agriculture Year (Jul - Jun), 2017",Rural,Charitable hospital,Before,3.2,3.2,2.1,2.1,16.9,16.9,54.2,54.2,26.5,26.5,2.4,2.4,0.0,0.0,100.0,100.0,256.0,256.0,41.0,41.0
India,Andhra Pradesh,28,"Agriculture Year (Jul - Jun), 2017",Rural,Govt. hospital,After,25.2,25.2,8.3,8.3,95.9,95.9,0.0,0.0,3.4,3.4,0.5,0.5,0.2,0.2,100.0,100.0,2967.0,2967.0,382.0,382.0
India,Andhra Pradesh,28,"Agriculture Year (Jul - Jun), 2017",Rural,Govt. hospital,Before,21.6,21.6,27.5,27.5,55.9,55.9,0.6,0.6,22.4,22.4,16.1,16.1,5.1,5.1,100.0,100.0,1735.0,1735.0,235.0,235.0
India,Andhra Pradesh,28,"Agriculture Year (Jul - Jun), 2017",Rural,Private hospital,After,72.5,72.5,26.8,26.8,1.9,1.9,0.8,0.8,92.9,92.9,1.9,1.9,2.4,2.4,100.0,100.0,8544.0,8544.0,1130.0,1130.0
India,Andhra Pradesh,28,"Agriculture Year (Jul - Jun), 2017",Rural,Private hospital,Before,75.2,75.2,40.7,40.7,9.0,9.0,1.5,1.5,69.6,69.6,10.6,10.6,9.3,9.3,100.0,100.0,6041.0,6041.0,788.0,788.0
India,Andhra Pradesh,28,"Agriculture Year (Jul - Jun), 2017",Rural,all,After,100.0,100.0,36.0,36.0,25.7,25.7,2.6,2.6,68.4,68.4,1.5,1.5,1.8,1.8,100.0,100.0,11791.0,11791.0,1561.0,1561.0
India,Andhra Pradesh,28,"Agriculture Year (Jul - Jun), 2017",Rural,all,Before,100.0,100.0,70.3,70.3,19.4,19.4,3.0,3.0,58.0,58.0,11.5,11.5,8.1,8.1,100.0,100.0,8032.0,8032.0,1064.0,1064.0
India,Andhra Pradesh,28,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Charitable hospital,After,3.0,3.0,1.3,1.3,5.7,5.7,86.1,86.1,8.2,8.2,0.0,0.0,0.0,0.0,100.0,100.0,535.0,535.0,78.0,78.0
India,Andhra Pradesh,28,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Charitable hospital,Before,3.9,3.9,3.6,3.6,37.0,37.0,39.6,39.6,21.4,21.4,2.0,2.0,0.0,0.0,100.0,100.0,475.0,475.0,62.0,62.0
India,Andhra Pradesh,28,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Govt. hospital,After,26.9,26.9,8.3,8.3,93.4,93.4,0.0,0.0,3.0,3.0,0.6,0.6,3.0,3.0,100.0,100.0,4738.0,4738.0,627.0,627.0
India,Andhra Pradesh,28,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Govt. hospital,Before,23.2,23.2,33.0,33.0,63.0,63.0,0.7,0.7,17.8,17.8,14.2,14.2,4.4,4.4,100.0,100.0,2788.0,2788.0,401.0,401.0
India,Andhra Pradesh,28,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Private hospital,After,70.0,70.0,26.1,26.1,2.3,2.3,0.7,0.7,93.6,93.6,1.7,1.7,1.7,1.7,100.0,100.0,12320.0,12320.0,1858.0,1858.0
India,Andhra Pradesh,28,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,Private hospital,Before,72.9,72.9,62.5,62.5,8.3,8.3,1.1,1.1,73.2,73.2,9.9,9.9,7.6,7.6,100.0,100.0,8766.0,8766.0,1306.0,1306.0
India,Andhra Pradesh,28,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,all,After,100.0,100.0,35.8,35.8,26.9,26.9,3.1,3.1,66.6,66.6,1.4,1.4,2.0,2.0,100.0,100.0,17593.0,17593.0,2563.0,2563.0
India,Andhra Pradesh,28,"Agriculture Year (Jul - Jun), 2017",Rural + Urban,all,Before,100.0,100.0,99.0,99.0,22.1,22.1,2.5,2.5,58.3,58.3,10.6,10.6,6.6,6.6,100.0,100.0,12029.0,12029.0,1769.0,1769.0
India,Andhra Pradesh,28,"Agriculture Year (Jul - Jun), 2017",Urban,Charitable hospital,After,4.4,4.4,2.0,2.0,3.1,3.1,89.3,89.3,7.6,7.6,0.0,0.0,0.0,0.0,100.0,100.0,254.0,254.0,29.0,29.0
India,Andhra Pradesh,28,"Agriculture Year (Jul - Jun), 2017",Urban,Charitable hospital,Before,5.5,5.5,6.6,6.6,60.5,60.5,22.5,22.5,15.5,15.5,1.4,1.4,0.0,0.0,100.0,100.0,219.0,219.0,21.0,21.0
India,Andhra Pradesh,28,"Agriculture Year (Jul - Jun), 2017",Urban,Govt. hospital,After,30.5,30.5,8.4,8.4,89.2,89.2,0.0,0.0,2.2,2.2,0.8,0.8,7.8,7.8,100.0,100.0,1771.0,1771.0,245.0,245.0
India,Andhra Pradesh,28,"Agriculture Year (Jul - Jun), 2017",Urban,Govt. hospital,Before,26.4,26.4,44.0,44.0,74.6,74.6,0.8,0.8,10.4,10.4,11.1,11.1,3.2,3.2,100.0,100.0,1053.0,1053.0,166.0,166.0
India,Andhra Pradesh,28,"Agriculture Year (Jul - Jun), 2017",Urban,Private hospital,After,65.1,65.1,24.7,24.7,3.1,3.1,0.5,0.5,95.0,95.0,1.3,1.3,0.0,0.0,100.0,100.0,3776.0,3776.0,728.0,728.0
India,Andhra Pradesh,28,"Agriculture Year (Jul - Jun), 2017",Urban,Private hospital,Before,68.2,68.2,106.3,106.3,6.5,6.5,0.1,0.1,81.4,81.4,8.2,8.2,3.8,3.8,100.0,100.0,2725.0,2725.0,518.0,518.0
