Country,StateName,StateCode,Year,Number_of_TB_patients_with_known_HIV_Status_under_public_sector_sum,Number_of_TB_patients_with_known_HIV_Status_under_public_sector_avg,Number_of_TB_patients_with_known_HIV_Status_under_private_sector_sum,Number_of_TB_patients_with_known_HIV_Status_under_private_sector_avg,Number_of_TB-HIV_co-infected_patients_diagnosed_sum,Number_of_TB-HIV_co-infected_patients_diagnosed_avg,Number_of_TB-HIV_co-infected_patients_put_on_Antiretroviral_Therapy_ART_sum,Number_of_TB-HIV_co-infected_patients_put_on_Antiretroviral_Therapy_ART_avg,Number_of_TB-HIV_co-infected_patients_put_on_Cotrimoxazole_Preventive_Therapy_CPT_sum,Number_of_TB-HIV_co-infected_patients_put_on_Cotrimoxazole_Preventive_Therapy_CPT_avg,Percentage_of_TB_patients_with_known_HIV_Status_under_public_sector_sum,Percentage_of_TB_patients_with_known_HIV_Status_under_public_sector_avg,Percentage_of_TB_patients_with_known_HIV_Status_under_private_sector_sum,Percentage_of_TB_patients_with_known_HIV_Status_under_private_sector_avg,Percentage_of_TB-HIV_co-infected_patients_put_on_AntiRetroviral_Therapy_ART_sum,Percentage_of_TB-HIV_co-infected_patients_put_on_AntiRetroviral_Therapy_ART_avg,Percentage_of_TB-HIV_co-infected_patients_put_on_Cotrimoxazole_Preventive_Therapy_CPT_sum,Percentage_of_TB-HIV_co-infected_patients_put_on_Cotrimoxazole_Preventive_Therapy_CPT_avg,Percentage_of_TB-HIV_co-infected_patients_diagnosed_sum,Percentage_of_TB-HIV_co-infected_patients_diagnosed_avg,Total_number_of_TB_patients_with_known_HIV_status_sum,Total_number_of_TB_patients_with_known_HIV_status_avg,Total_percentage_of_TB_patients_with_known_HIV_status_sum,Total_percentage_of_TB_patients_with_known_HIV_status_avg
India,West Bengal,19,"Calendar Year (Jan - Dec), 2023",91618.0,91618.0,6947.0,6947.0,1216.0,1216.0,1114.0,1114.0,1177.0,1177.0,97.6,97.6,86.8,86.8,92.0,92.0,97.0,97.0,,,,,,
India,West Bengal,19,"Calendar Year (Jan - Dec), 2024",92129.0,92129.0,6964.0,6964.0,,,,,,,97.0,97.0,82.0,82.0,,,,,,,99093.0,99093.0,96.0,96.0
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2020",38595.0,38595.0,4339.0,4339.0,341.0,341.0,306.0,306.0,299.0,299.0,86.0,86.0,34.0,34.0,90.0,90.0,88.0,88.0,1.0,1.0,,,,
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2021",27844.0,27844.0,11533.0,11533.0,313.0,313.0,216.0,216.0,292.0,292.0,90.0,90.0,77.0,77.0,69.0,69.0,93.0,93.0,,,,,,
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2022",33922.0,33922.0,13165.0,13165.0,347.0,347.0,294.0,294.0,266.0,266.0,93.0,93.0,79.0,79.0,85.0,85.0,77.0,77.0,,,,,,
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2023",45326.0,45326.0,10149.0,10149.0,349.0,349.0,343.0,343.0,253.0,253.0,96.5,96.5,88.2,88.2,98.0,98.0,72.0,72.0,,,,,,
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2024",48153.0,48153.0,11600.0,11600.0,,,,,,,95.0,95.0,94.0,94.0,,,,,,,59753.0,59753.0,95.0,95.0
India,Odisha,21,"Calendar Year (Jan - Dec), 2020",48237.0,48237.0,3782.0,3782.0,715.0,715.0,662.0,662.0,705.0,705.0,98.0,98.0,94.0,94.0,93.0,93.0,99.0,99.0,1.0,1.0,,,,
India,Odisha,21,"Calendar Year (Jan - Dec), 2021",41547.0,41547.0,3544.0,3544.0,584.0,584.0,548.0,548.0,577.0,577.0,99.0,99.0,98.0,98.0,94.0,94.0,99.0,99.0,,,,,,
India,Odisha,21,"Calendar Year (Jan - Dec), 2022",47891.0,47891.0,3903.0,3903.0,545.0,545.0,512.0,512.0,540.0,540.0,99.0,99.0,99.0,99.0,94.0,94.0,99.0,99.0,,,,,,
India,Odisha,21,"Calendar Year (Jan - Dec), 2023",55264.0,55264.0,4346.0,4346.0,686.0,686.0,670.0,670.0,688.0,688.0,99.5,99.5,98.9,98.9,98.0,98.0,100.0,100.0,,,,,,
India,Odisha,21,"Calendar Year (Jan - Dec), 2024",57195.0,57195.0,4029.0,4029.0,,,,,,,99.0,99.0,98.0,98.0,,,,,,,61224.0,61224.0,99.0,99.0
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2020",31569.0,31569.0,8700.0,8700.0,543.0,543.0,532.0,532.0,543.0,543.0,96.0,96.0,79.0,79.0,98.0,98.0,100.0,100.0,1.0,1.0,,,,
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2021",21659.0,21659.0,6691.0,6691.0,498.0,498.0,465.0,465.0,498.0,498.0,97.0,97.0,92.0,92.0,93.0,93.0,100.0,100.0,,,,,,
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2022",24763.0,24763.0,6483.0,6483.0,390.0,390.0,345.0,345.0,379.0,379.0,97.0,97.0,90.0,90.0,88.0,88.0,97.0,97.0,,,,,,
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2023",28804.0,28804.0,8661.0,8661.0,427.0,427.0,402.0,402.0,398.0,398.0,97.8,97.8,93.3,93.3,94.0,94.0,93.0,93.0,,,,,,
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2024",27493.0,27493.0,9808.0,9808.0,,,,,,,96.0,96.0,94.0,94.0,,,,,,,37301.0,37301.0,96.0,96.0
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2020",121875.0,121875.0,21073.0,21073.0,1532.0,1532.0,1449.0,1449.0,1530.0,1530.0,83.0,83.0,52.0,52.0,95.0,95.0,100.0,100.0,1.0,1.0,,,,
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2021",103061.0,103061.0,23686.0,23686.0,1315.0,1315.0,1229.0,1229.0,1307.0,1307.0,95.0,95.0,79.0,79.0,93.0,93.0,99.0,99.0,,,,,,
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2022",116120.0,116120.0,43580.0,43580.0,1397.0,1397.0,1190.0,1190.0,1301.0,1301.0,96.0,96.0,91.0,91.0,85.0,85.0,93.0,93.0,,,,,,
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2023",134043.0,134043.0,46661.0,46661.0,1392.0,1392.0,1217.0,1217.0,1247.0,1247.0,96.0,96.0,94.8,94.8,87.0,87.0,90.0,90.0,,,,,,
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2024",130007.0,130007.0,46103.0,46103.0,,,,,,,94.0,94.0,94.0,94.0,,,,,,,176110.0,176110.0,94.0,94.0
India,Gujarat,24,"Calendar Year (Jan - Dec), 2020",98552.0,98552.0,39475.0,39475.0,3390.0,3390.0,3223.0,3223.0,3369.0,3369.0,96.0,96.0,74.0,74.0,95.0,95.0,99.0,99.0,2.0,2.0,,,,
India,Gujarat,24,"Calendar Year (Jan - Dec), 2021",79649.0,79649.0,34995.0,34995.0,2775.0,2775.0,2534.0,2534.0,2642.0,2642.0,99.0,99.0,91.0,91.0,91.0,91.0,95.0,95.0,,,,,,
India,Gujarat,24,"Calendar Year (Jan - Dec), 2022",100124.0,100124.0,38146.0,38146.0,2834.0,2834.0,2788.0,2788.0,2897.0,2897.0,99.0,99.0,94.0,94.0,98.0,98.0,102.0,102.0,,,,,,
India,Gujarat,24,"Calendar Year (Jan - Dec), 2023",107908.0,107908.0,37094.0,37094.0,2364.0,2364.0,2250.0,2250.0,2315.0,2315.0,99.3,99.3,94.0,94.0,95.0,95.0,98.0,98.0,,,,,,
India,Gujarat,24,"Calendar Year (Jan - Dec), 2024",100265.0,100265.0,36714.0,36714.0,,,,,,,99.0,99.0,94.0,94.0,,,,,,,136979.0,136979.0,97.0,97.0
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2020",140282.0,140282.0,56416.0,56416.0,8444.0,8444.0,7994.0,7994.0,8246.0,8246.0,95.0,95.0,74.0,74.0,95.0,95.0,98.0,98.0,4.0,4.0,,,,
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2021",100982.0,100982.0,49416.0,49416.0,5743.0,5743.0,5529.0,5529.0,5706.0,5706.0,97.0,97.0,93.0,93.0,96.0,96.0,99.0,99.0,,,,,,
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2022",123404.0,123404.0,66692.0,66692.0,5808.0,5808.0,5570.0,5570.0,5754.0,5754.0,98.0,98.0,95.0,95.0,96.0,96.0,99.0,99.0,,,,,,
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2023",150835.0,150835.0,75129.0,75129.0,3789.0,3789.0,3548.0,3548.0,3659.0,3659.0,99.0,99.0,97.1,97.1,94.0,94.0,97.0,97.0,,,,,,
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2024",140577.0,140577.0,75505.0,75505.0,,,,,,,97.0,97.0,94.0,94.0,,,,,,,216082.0,216082.0,96.0,96.0
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2020",74310.0,74310.0,22132.0,22132.0,6373.0,6373.0,6372.0,6372.0,6335.0,6335.0,98.0,98.0,92.0,92.0,100.0,100.0,99.0,99.0,7.0,7.0,,,,
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2021",47107.0,47107.0,17012.0,17012.0,3586.0,3586.0,3485.0,3485.0,3545.0,3545.0,99.0,99.0,99.0,99.0,97.0,97.0,99.0,99.0,,,,,,
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2022",63099.0,63099.0,24320.0,24320.0,4286.0,4286.0,4142.0,4142.0,4196.0,4196.0,100.0,100.0,100.0,100.0,97.0,97.0,98.0,98.0,,,,,,
