Country,StateName,StateCode,Year,D6066_3,I6066_4_sum,I6066_4_avg,I6066_5_sum,I6066_5_avg,I6066_6_sum,I6066_6_avg,I6066_7_sum,I6066_7_avg,I6066_8_sum,I6066_8_avg,I6066_9_sum,I6066_9_avg,I6066_10_sum,I6066_10_avg,I6066_11_sum,I6066_11_avg,I6066_12_sum,I6066_12_avg
India,Haryana,6,"Financial Year (Apr - Mar), 2015",Major (Non EAG States),785.0,785.0,862.0,862.0,555.0,555.0,179.0,179.0,2.0,2.0,3.0,3.0,101.0,101.0,7.0,7.0,30.0,30.0
India,Haryana,6,"Financial Year (Apr - Mar), 2016",Major (Non EAG States),8333562.0,8333562.0,11528157.0,11528157.0,7062905.0,7062905.0,1795210.0,1795210.0,29776.0,29776.0,39984.0,39984.0,1113912.0,1113912.0,237129.0,237129.0,303659.0,303659.0
India,Haryana,6,"Financial Year (Apr - Mar), 2017",Major (Non EAG States),11042530.0,11042530.0,11821712.0,11821712.0,7274892.0,7274892.0,1879478.0,1879478.0,39891.0,39891.0,40536.0,40536.0,1138760.0,1138760.0,234209.0,234209.0,292737.0,292737.0
India,Haryana,6,"Financial Year (Apr - Mar), 2018",Major (Non EAG States),13090636.0,13090636.0,14784312.0,14784312.0,7798090.0,7798090.0,2126840.0,2126840.0,267727.0,267727.0,36642.0,36642.0,1194056.0,1194056.0,539996.0,539996.0,273374.0,273374.0
India,Haryana,6,"Financial Year (Apr - Mar), 2019",Major (Non EAG States),16007802.0,16007802.0,18590048.0,18590048.0,9431468.0,9431468.0,2752346.0,2752346.0,818502.0,818502.0,47135.0,47135.0,1394556.0,1394556.0,485167.0,485167.0,298933.0,298933.0
India,Delhi,7,"Financial Year (Apr - Mar), 2015",Major (Non EAG States),2798.0,2798.0,6.0,6.0,156.0,156.0,293.0,293.0,317.0,317.0,4.0,4.0,0.0,0.0,1.0,1.0,59.0,59.0
India,Delhi,7,"Financial Year (Apr - Mar), 2016",Major (Non EAG States),31106023.0,31106023.0,402359.0,402359.0,1719708.0,1719708.0,2566430.0,2566430.0,4003617.0,4003617.0,69653.0,69653.0,1181.0,1181.0,0.0,0.0,441110.0,441110.0
India,Delhi,7,"Financial Year (Apr - Mar), 2017",Major (Non EAG States),38278718.0,38278718.0,95402.0,95402.0,2037557.0,2037557.0,2042345.0,2042345.0,4341720.0,4341720.0,61298.0,61298.0,0.0,0.0,28173.0,28173.0,446880.0,446880.0
India,Delhi,7,"Financial Year (Apr - Mar), 2018",Major (Non EAG States),42716901.0,42716901.0,160578.0,160578.0,2272065.0,2272065.0,2746570.0,2746570.0,5408889.0,5408889.0,97104.0,97104.0,4093.0,4093.0,3453.0,3453.0,1545143.0,1545143.0
India,Delhi,7,"Financial Year (Apr - Mar), 2019",Major (Non EAG States),45065362.0,45065362.0,488443.0,488443.0,2455370.0,2455370.0,2652885.0,2652885.0,5894985.0,5894985.0,114252.0,114252.0,31207.0,31207.0,0.0,0.0,742902.0,742902.0
India,Rajasthan,8,"Financial Year (Apr - Mar), 2015",EAG+1 States,1829.0,1829.0,1892.0,1892.0,746.0,746.0,849.0,849.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,2422.0,2422.0
India,Rajasthan,8,"Financial Year (Apr - Mar), 2016",EAG+1 States,20569608.0,20569608.0,20457303.0,20457303.0,8951450.0,8951450.0,9711815.0,9711815.0,0.0,0.0,204115.0,204115.0,0.0,0.0,0.0,0.0,22626959.0,22626959.0
India,Rajasthan,8,"Financial Year (Apr - Mar), 2017",EAG+1 States,21885115.0,21885115.0,24320500.0,24320500.0,10153783.0,10153783.0,17185638.0,17185638.0,0.0,0.0,229163.0,229163.0,0.0,0.0,0.0,0.0,26221474.0,26221474.0
