Country,StateName,StateCode,Year,Number_of_previously_treated_TB_patients_notified_under_public_sector_sum,Number_of_previously_treated_TB_patients_notified_under_public_sector_avg,Number_of_persons_cured_sum,Number_of_persons_cured_avg,Percentage_of_cure_rate_sum,Percentage_of_cure_rate_avg,Number_of_persons_treated_successfully_sum,Number_of_persons_treated_successfully_avg,Percentage_of_success_rate_sum,Percentage_of_success_rate_avg,Number_of_persons_died_sum,Number_of_persons_died_avg,Percentage_of_death_rate_sum,Percentage_of_death_rate_avg,Number_of_persons_who_do_not_return_for_necessary_follow-up_visits_sum,Number_of_persons_who_do_not_return_for_necessary_follow-up_visits_avg,Percentage_of_lost_to_follow_up_sum,Percentage_of_lost_to_follow_up_avg,Number_of_persons_for_whom_the_treatment_was_a_failure_sum,Number_of_persons_for_whom_the_treatment_was_a_failure_avg,Percentage_of_treatment_failure_rate_sum,Percentage_of_treatment_failure_rate_avg,Number_of_persons_for_whom_the_treatment_regimen_has_to_change_sum,Number_of_persons_for_whom_the_treatment_regimen_has_to_change_avg,Percentage_of_regimen_change_sum,Percentage_of_regimen_change_avg,Number_of_persons_whose_treatments_is_not_clear_sum,Number_of_persons_whose_treatments_is_not_clear_avg,Percentage_of_not_evaluated_sum,Percentage_of_not_evaluated_avg,Number_of_bacteriologically_confirmed_TB_patients_sum,Number_of_bacteriologically_confirmed_TB_patients_avg
India,Kerala,32,"Calendar Year (Jan - Dec), 2022",1469.0,1469.0,636.0,636.0,43.3,43.3,1038.0,1038.0,70.7,70.7,120.0,120.0,8.2,8.2,52.0,52.0,3.5,3.5,13.0,13.0,0.9,0.9,31.0,31.0,2.1,2.1,6.0,6.0,0.4,0.4,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2017",11607.0,11607.0,5745.0,5745.0,49.0,49.0,7870.0,7870.0,68.0,68.0,937.0,937.0,8.0,8.0,1388.0,1388.0,12.0,12.0,352.0,352.0,3.0,3.0,256.0,256.0,2.0,2.0,804.0,804.0,,,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2018",11046.0,11046.0,6182.0,6182.0,66.0,66.0,8422.0,8422.0,76.0,76.0,782.0,782.0,7.0,7.0,795.0,795.0,7.0,7.0,185.0,185.0,2.0,2.0,360.0,360.0,3.0,3.0,502.0,502.0,5.0,5.0,9377.0,9377.0
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2019",10112.0,10112.0,5405.0,5405.0,65.0,65.0,7669.0,7669.0,76.0,76.0,725.0,725.0,7.2,7.2,586.0,586.0,5.8,5.8,171.0,171.0,1.7,1.7,387.0,387.0,3.8,3.8,574.0,574.0,5.7,5.7,8324.0,8324.0
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2020",7135.0,7135.0,3973.0,3973.0,68.0,68.0,5470.0,5470.0,77.0,77.0,521.0,521.0,7.3,7.3,272.0,272.0,3.8,3.8,115.0,115.0,1.6,1.6,405.0,405.0,5.7,5.7,77.0,77.0,1.1,1.1,5836.0,5836.0
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2021",7608.0,7608.0,4054.0,4054.0,53.3,53.3,5942.0,5942.0,78.1,78.1,611.0,611.0,8.0,8.0,336.0,336.0,4.4,4.4,127.0,127.0,1.7,1.7,278.0,278.0,3.7,3.7,58.0,58.0,0.8,0.8,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2022",8355.0,8355.0,4467.0,4467.0,53.5,53.5,6465.0,6465.0,77.4,77.4,593.0,593.0,7.1,7.1,343.0,343.0,4.1,4.1,148.0,148.0,1.8,1.8,333.0,333.0,4.0,4.0,13.0,13.0,0.2,0.2,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2017",225.0,225.0,137.0,137.0,61.0,61.0,155.0,155.0,69.0,69.0,24.0,24.0,11.0,11.0,26.0,26.0,12.0,12.0,10.0,10.0,4.0,4.0,5.0,5.0,2.0,2.0,5.0,5.0,,,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2018",200.0,200.0,104.0,104.0,61.0,61.0,143.0,143.0,72.0,72.0,17.0,17.0,9.0,9.0,23.0,23.0,12.0,12.0,6.0,6.0,3.0,3.0,2.0,2.0,1.0,1.0,9.0,9.0,5.0,5.0,171.0,171.0
India,Puducherry,34,"Calendar Year (Jan - Dec), 2019",215.0,215.0,116.0,116.0,63.0,63.0,162.0,162.0,75.0,75.0,17.0,17.0,7.9,7.9,12.0,12.0,5.6,5.6,5.0,5.0,2.3,2.3,4.0,4.0,1.9,1.9,15.0,15.0,7.0,7.0,184.0,184.0
