Country,StateName,StateCode,Year,Number_of_previously_treated_TB_patients_notified_under_public_sector_sum,Number_of_previously_treated_TB_patients_notified_under_public_sector_avg,Number_of_persons_cured_sum,Number_of_persons_cured_avg,Percentage_of_cure_rate_sum,Percentage_of_cure_rate_avg,Number_of_persons_treated_successfully_sum,Number_of_persons_treated_successfully_avg,Percentage_of_success_rate_sum,Percentage_of_success_rate_avg,Number_of_persons_died_sum,Number_of_persons_died_avg,Percentage_of_death_rate_sum,Percentage_of_death_rate_avg,Number_of_persons_who_do_not_return_for_necessary_follow-up_visits_sum,Number_of_persons_who_do_not_return_for_necessary_follow-up_visits_avg,Percentage_of_lost_to_follow_up_sum,Percentage_of_lost_to_follow_up_avg,Number_of_persons_for_whom_the_treatment_was_a_failure_sum,Number_of_persons_for_whom_the_treatment_was_a_failure_avg,Percentage_of_treatment_failure_rate_sum,Percentage_of_treatment_failure_rate_avg,Number_of_persons_for_whom_the_treatment_regimen_has_to_change_sum,Number_of_persons_for_whom_the_treatment_regimen_has_to_change_avg,Percentage_of_regimen_change_sum,Percentage_of_regimen_change_avg,Number_of_persons_whose_treatments_is_not_clear_sum,Number_of_persons_whose_treatments_is_not_clear_avg,Percentage_of_not_evaluated_sum,Percentage_of_not_evaluated_avg,Number_of_bacteriologically_confirmed_TB_patients_sum,Number_of_bacteriologically_confirmed_TB_patients_avg
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2021",1840.0,1840.0,1001.0,1001.0,54.4,54.4,1606.0,1606.0,87.3,87.3,121.0,121.0,6.6,6.6,14.0,14.0,0.8,0.8,13.0,13.0,0.7,0.7,37.0,37.0,2.0,2.0,10.0,10.0,0.5,0.5,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2022",1787.0,1787.0,996.0,996.0,55.7,55.7,1515.0,1515.0,84.8,84.8,115.0,115.0,6.4,6.4,20.0,20.0,1.1,1.1,9.0,9.0,0.5,0.5,42.0,42.0,2.4,2.4,3.0,3.0,0.2,0.2,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2017",6319.0,6319.0,3319.0,3319.0,53.0,53.0,4887.0,4887.0,77.0,77.0,425.0,425.0,7.0,7.0,405.0,405.0,6.0,6.0,114.0,114.0,2.0,2.0,191.0,191.0,3.0,3.0,297.0,297.0,,,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2018",6201.0,6201.0,3158.0,3158.0,61.0,61.0,4860.0,4860.0,78.0,78.0,451.0,451.0,7.0,7.0,350.0,350.0,6.0,6.0,72.0,72.0,1.0,1.0,82.0,82.0,1.0,1.0,386.0,386.0,6.0,6.0,5148.0,5148.0
India,Punjab,3,"Calendar Year (Jan - Dec), 2019",5936.0,5936.0,2839.0,2839.0,58.0,58.0,4582.0,4582.0,77.0,77.0,309.0,309.0,5.2,5.2,242.0,242.0,4.1,4.1,75.0,75.0,1.3,1.3,124.0,124.0,2.1,2.1,604.0,604.0,10.2,10.2,4916.0,4916.0
India,Punjab,3,"Calendar Year (Jan - Dec), 2020",4827.0,4827.0,2279.0,2279.0,58.0,58.0,3798.0,3798.0,79.0,79.0,318.0,318.0,6.6,6.6,175.0,175.0,3.6,3.6,42.0,42.0,0.9,0.9,85.0,85.0,1.8,1.8,168.0,168.0,3.5,3.5,3954.0,3954.0
India,Punjab,3,"Calendar Year (Jan - Dec), 2021",4826.0,4826.0,2172.0,2172.0,45.0,45.0,3870.0,3870.0,80.2,80.2,314.0,314.0,6.5,6.5,182.0,182.0,3.8,3.8,48.0,48.0,1.0,1.0,98.0,98.0,2.0,2.0,40.0,40.0,0.8,0.8,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2022",6980.0,6980.0,2662.0,2662.0,38.1,38.1,4807.0,4807.0,68.9,68.9,296.0,296.0,4.2,4.2,199.0,199.0,2.9,2.9,57.0,57.0,0.8,0.8,80.0,80.0,1.1,1.1,45.0,45.0,0.6,0.6,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2017",376.0,376.0,216.0,216.0,57.0,57.0,281.0,281.0,75.0,75.0,30.0,30.0,8.0,8.0,33.0,33.0,9.0,9.0,5.0,5.0,1.0,1.0,9.0,9.0,2.0,2.0,18.0,18.0,,,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2018",442.0,442.0,197.0,197.0,65.0,65.0,377.0,377.0,85.0,85.0,15.0,15.0,3.0,3.0,26.0,26.0,6.0,6.0,4.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,18.0,18.0,4.0,4.0,305.0,305.0
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2019",423.0,423.0,196.0,196.0,67.0,67.0,321.0,321.0,76.0,76.0,23.0,23.0,5.4,5.4,28.0,28.0,6.6,6.6,6.0,6.0,1.4,1.4,2.0,2.0,0.5,0.5,43.0,43.0,10.2,10.2,293.0,293.0
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2020",325.0,325.0,157.0,157.0,69.0,69.0,260.0,260.0,80.0,80.0,15.0,15.0,4.6,4.6,12.0,12.0,3.7,3.7,1.0,1.0,0.3,0.3,7.0,7.0,2.2,2.2,5.0,5.0,1.5,1.5,226.0,226.0
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2021",425.0,425.0,184.0,184.0,43.3,43.3,342.0,342.0,80.5,80.5,27.0,27.0,6.4,6.4,17.0,17.0,4.0,4.0,11.0,11.0,2.6,2.6,10.0,10.0,2.4,2.4,3.0,3.0,0.7,0.7,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2022",675.0,675.0,305.0,305.0,45.2,45.2,550.0,550.0,81.5,81.5,34.0,34.0,5.0,5.0,24.0,24.0,3.6,3.6,8.0,8.0,1.2,1.2,14.0,14.0,2.1,2.1,5.0,5.0,0.7,0.7,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2017",2811.0,2811.0,1099.0,1099.0,39.0,39.0,1897.0,1897.0,67.0,67.0,145.0,145.0,5.0,5.0,207.0,207.0,7.0,7.0,45.0,45.0,2.0,2.0,85.0,85.0,3.0,3.0,432.0,432.0,,,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2018",2839.0,2839.0,1312.0,1312.0,65.0,65.0,2285.0,2285.0,80.0,80.0,142.0,142.0,5.0,5.0,140.0,140.0,5.0,5.0,31.0,31.0,1.0,1.0,76.0,76.0,3.0,3.0,165.0,165.0,6.0,6.0,2033.0,2033.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2019",2205.0,2205.0,847.0,847.0,58.0,58.0,1765.0,1765.0,80.0,80.0,116.0,116.0,5.3,5.3,60.0,60.0,2.7,2.7,24.0,24.0,1.1,1.1,81.0,81.0,3.7,3.7,159.0,159.0,7.2,7.2,1456.0,1456.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2020",1870.0,1870.0,738.0,738.0,58.0,58.0,1550.0,1550.0,83.0,83.0,95.0,95.0,5.1,5.1,50.0,50.0,2.7,2.7,19.0,19.0,1.0,1.0,62.0,62.0,3.3,3.3,22.0,22.0,1.2,1.2,1283.0,1283.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2021",2164.0,2164.0,851.0,851.0,39.3,39.3,1846.0,1846.0,85.3,85.3,110.0,110.0,5.1,5.1,57.0,57.0,2.6,2.6,21.0,21.0,1.0,1.0,55.0,55.0,2.5,2.5,10.0,10.0,0.5,0.5,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2022",2616.0,2616.0,1172.0,1172.0,44.8,44.8,2178.0,2178.0,83.3,83.3,103.0,103.0,3.9,3.9,40.0,40.0,1.5,1.5,14.0,14.0,0.5,0.5,49.0,49.0,1.9,1.9,4.0,4.0,0.2,0.2,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2017",6148.0,6148.0,3450.0,3450.0,56.0,56.0,4592.0,4592.0,75.0,75.0,425.0,425.0,7.0,7.0,301.0,301.0,5.0,5.0,172.0,172.0,3.0,3.0,164.0,164.0,3.0,3.0,494.0,494.0,,,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2018",8604.0,8604.0,4548.0,4548.0,66.0,66.0,6855.0,6855.0,80.0,80.0,509.0,509.0,6.0,6.0,425.0,425.0,5.0,5.0,181.0,181.0,2.0,2.0,150.0,150.0,2.0,2.0,484.0,484.0,6.0,6.0,6887.0,6887.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2019",7577.0,7577.0,3705.0,3705.0,60.0,60.0,5840.0,5840.0,77.0,77.0,411.0,411.0,5.4,5.4,244.0,244.0,3.2,3.2,133.0,133.0,1.8,1.8,110.0,110.0,1.5,1.5,839.0,839.0,11.1,11.1,6201.0,6201.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2020",6609.0,6609.0,3050.0,3050.0,56.0,56.0,5075.0,5075.0,77.0,77.0,384.0,384.0,5.8,5.8,162.0,162.0,2.5,2.5,86.0,86.0,1.3,1.3,119.0,119.0,1.8,1.8,157.0,157.0,2.4,2.4,5492.0,5492.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2021",7468.0,7468.0,3525.0,3525.0,47.2,47.2,6057.0,6057.0,81.1,81.1,441.0,441.0,5.9,5.9,132.0,132.0,1.8,1.8,87.0,87.0,1.2,1.2,150.0,150.0,2.0,2.0,118.0,118.0,1.6,1.6,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2022",8405.0,8405.0,3906.0,3906.0,46.5,46.5,6552.0,6552.0,78.0,78.0,402.0,402.0,4.8,4.8,113.0,113.0,1.3,1.3,107.0,107.0,1.3,1.3,161.0,161.0,1.9,1.9,17.0,17.0,0.2,0.2,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2017",8432.0,8432.0,3570.0,3570.0,42.0,42.0,4530.0,4530.0,54.0,54.0,322.0,322.0,4.0,4.0,677.0,677.0,8.0,8.0,135.0,135.0,2.0,2.0,377.0,377.0,4.0,4.0,2391.0,2391.0,,,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2018",9297.0,9297.0,3802.0,3802.0,60.0,60.0,6840.0,6840.0,74.0,74.0,333.0,333.0,4.0,4.0,691.0,691.0,7.0,7.0,136.0,136.0,1.0,1.0,313.0,313.0,3.0,3.0,984.0,984.0,11.0,11.0,6331.0,6331.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2019",9937.0,9937.0,3316.0,3316.0,52.0,52.0,7348.0,7348.0,74.0,74.0,333.0,333.0,3.4,3.4,608.0,608.0,6.1,6.1,132.0,132.0,1.3,1.3,378.0,378.0,3.8,3.8,1138.0,1138.0,11.5,11.5,6325.0,6325.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2020",8278.0,8278.0,2795.0,2795.0,52.0,52.0,6128.0,6128.0,74.0,74.0,315.0,315.0,3.8,3.8,480.0,480.0,5.8,5.8,93.0,93.0,1.1,1.1,381.0,381.0,4.6,4.6,157.0,157.0,1.9,1.9,5423.0,5423.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2021",9743.0,9743.0,3287.0,3287.0,33.7,33.7,7370.0,7370.0,75.6,75.6,409.0,409.0,4.2,4.2,545.0,545.0,5.6,5.6,126.0,126.0,1.3,1.3,369.0,369.0,3.8,3.8,133.0,133.0,1.4,1.4,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2022",12066.0,12066.0,3853.0,3853.0,31.9,31.9,8394.0,8394.0,69.6,69.6,403.0,403.0,3.3,3.3,594.0,594.0,4.9,4.9,126.0,126.0,1.0,1.0,535.0,535.0,4.4,4.4,36.0,36.0,0.3,0.3,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2017",18185.0,18185.0,9401.0,9401.0,52.0,52.0,13935.0,13935.0,77.0,77.0,1115.0,1115.0,6.0,6.0,1190.0,1190.0,7.0,7.0,301.0,301.0,2.0,2.0,346.0,346.0,2.0,2.0,1298.0,1298.0,,,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2018",20415.0,20415.0,10491.0,10491.0,63.0,63.0,15776.0,15776.0,77.0,77.0,1140.0,1140.0,6.0,6.0,919.0,919.0,5.0,5.0,235.0,235.0,1.0,1.0,217.0,217.0,1.0,1.0,2128.0,2128.0,10.0,10.0,16687.0,16687.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2019",16128.0,16128.0,7303.0,7303.0,55.0,55.0,11951.0,11951.0,74.0,74.0,793.0,793.0,4.9,4.9,605.0,605.0,3.8,3.8,196.0,196.0,1.2,1.2,227.0,227.0,1.4,1.4,2356.0,2356.0,14.6,14.6,13196.0,13196.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2020",15752.0,15752.0,7003.0,7003.0,58.0,58.0,12047.0,12047.0,76.0,76.0,741.0,741.0,4.7,4.7,516.0,516.0,3.3,3.3,162.0,162.0,1.0,1.0,307.0,307.0,1.9,1.9,197.0,197.0,1.3,1.3,12015.0,12015.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2021",16929.0,16929.0,6910.0,6910.0,40.8,40.8,13649.0,13649.0,80.6,80.6,834.0,834.0,4.9,4.9,463.0,463.0,2.7,2.7,171.0,171.0,1.0,1.0,369.0,369.0,2.2,2.2,130.0,130.0,0.8,0.8,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2022",18309.0,18309.0,7211.0,7211.0,39.4,39.4,14643.0,14643.0,80.0,80.0,707.0,707.0,3.9,3.9,378.0,378.0,2.1,2.1,139.0,139.0,0.8,0.8,269.0,269.0,1.5,1.5,39.0,39.0,0.2,0.2,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2017",34081.0,34081.0,12581.0,12581.0,37.0,37.0,21022.0,21022.0,62.0,62.0,1742.0,1742.0,5.0,5.0,2225.0,2225.0,7.0,7.0,463.0,463.0,1.0,1.0,969.0,969.0,3.0,3.0,7660.0,7660.0,,,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2018",48066.0,48066.0,19208.0,19208.0,57.0,57.0,37207.0,37207.0,77.0,77.0,2522.0,2522.0,5.0,5.0,2734.0,2734.0,6.0,6.0,525.0,525.0,1.0,1.0,1010.0,1010.0,2.0,2.0,4068.0,4068.0,8.0,8.0,33564.0,33564.0
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2019",43013.0,43013.0,14950.0,14950.0,52.0,52.0,32981.0,32981.0,77.0,77.0,1914.0,1914.0,4.4,4.4,1937.0,1937.0,4.5,4.5,455.0,455.0,1.1,1.1,1326.0,1326.0,3.1,3.1,4400.0,4400.0,10.2,10.2,28731.0,28731.0
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2020",33136.0,33136.0,10412.0,10412.0,53.0,53.0,26283.0,26283.0,79.0,79.0,1435.0,1435.0,4.3,4.3,1012.0,1012.0,3.1,3.1,287.0,287.0,0.9,0.9,997.0,997.0,3.0,3.0,307.0,307.0,0.9,0.9,19728.0,19728.0
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2021",40671.0,40671.0,13866.0,13866.0,34.1,34.1,33597.0,33597.0,82.6,82.6,1713.0,1713.0,4.2,4.2,889.0,889.0,2.2,2.2,316.0,316.0,0.8,0.8,1143.0,1143.0,2.8,2.8,229.0,229.0,0.6,0.6,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2022",48405.0,48405.0,15436.0,15436.0,31.9,31.9,37328.0,37328.0,77.1,77.1,1609.0,1609.0,3.3,3.3,557.0,557.0,1.2,1.2,274.0,274.0,0.6,0.6,1200.0,1200.0,2.5,2.5,89.0,89.0,0.2,0.2,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2017",5707.0,5707.0,2077.0,2077.0,36.0,36.0,3639.0,3639.0,64.0,64.0,177.0,177.0,3.0,3.0,319.0,319.0,6.0,6.0,53.0,53.0,1.0,1.0,77.0,77.0,1.0,1.0,1442.0,1442.0,,,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2018",9248.0,9248.0,3624.0,3624.0,57.0,57.0,7067.0,7067.0,76.0,76.0,312.0,312.0,3.0,3.0,588.0,588.0,6.0,6.0,80.0,80.0,1.0,1.0,142.0,142.0,2.0,2.0,1059.0,1059.0,11.0,11.0,6353.0,6353.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2019",9806.0,9806.0,3406.0,3406.0,51.0,51.0,6856.0,6856.0,70.0,70.0,312.0,312.0,3.2,3.2,393.0,393.0,4.0,4.0,67.0,67.0,0.7,0.7,143.0,143.0,1.5,1.5,2035.0,2035.0,20.8,20.8,6722.0,6722.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2020",6837.0,6837.0,1691.0,1691.0,40.0,40.0,4732.0,4732.0,69.0,69.0,183.0,183.0,2.7,2.7,305.0,305.0,4.5,4.5,38.0,38.0,0.6,0.6,114.0,114.0,1.7,1.7,463.0,463.0,6.8,6.8,4261.0,4261.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2021",7660.0,7660.0,1828.0,1828.0,23.9,23.9,5540.0,5540.0,72.3,72.3,221.0,221.0,2.9,2.9,304.0,304.0,4.0,4.0,50.0,50.0,0.7,0.7,106.0,106.0,1.4,1.4,257.0,257.0,3.4,3.4,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2022",11430.0,11430.0,2025.0,2025.0,17.7,17.7,6269.0,6269.0,54.8,54.8,218.0,218.0,1.9,1.9,306.0,306.0,2.7,2.7,53.0,53.0,0.5,0.5,178.0,178.0,1.6,1.6,91.0,91.0,0.8,0.8,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2017",105.0,105.0,52.0,52.0,50.0,50.0,70.0,70.0,67.0,67.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,22.0,22.0,,,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2018",149.0,149.0,61.0,61.0,62.0,62.0,131.0,131.0,88.0,88.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,6.0,6.0,4.0,4.0,98.0,98.0
India,Sikkim,11,"Calendar Year (Jan - Dec), 2019",149.0,149.0,83.0,83.0,74.0,74.0,126.0,126.0,85.0,85.0,8.0,8.0,5.4,5.4,1.0,1.0,0.7,0.7,2.0,2.0,1.3,1.3,0.0,0.0,0.0,0.0,12.0,12.0,8.1,8.1,112.0,112.0
India,Sikkim,11,"Calendar Year (Jan - Dec), 2020",121.0,121.0,77.0,77.0,77.0,77.0,104.0,104.0,86.0,86.0,4.0,4.0,3.3,3.3,2.0,2.0,1.7,1.7,0.0,0.0,0.0,0.0,1.0,1.0,0.8,0.8,1.0,1.0,0.8,0.8,100.0,100.0
India,Sikkim,11,"Calendar Year (Jan - Dec), 2021",117.0,117.0,62.0,62.0,53.0,53.0,98.0,98.0,83.8,83.8,6.0,6.0,5.1,5.1,2.0,2.0,1.7,1.7,0.0,0.0,0.0,0.0,2.0,2.0,1.7,1.7,1.0,1.0,0.9,0.9,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2022",155.0,155.0,82.0,82.0,52.9,52.9,126.0,126.0,81.3,81.3,8.0,8.0,5.2,5.2,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.6,6.0,6.0,3.9,3.9,0.0,0.0,0.0,0.0,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2017",389.0,389.0,135.0,135.0,35.0,35.0,206.0,206.0,53.0,53.0,9.0,9.0,2.0,2.0,32.0,32.0,8.0,8.0,8.0,8.0,2.0,2.0,32.0,32.0,8.0,8.0,102.0,102.0,,,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2018",332.0,332.0,153.0,153.0,70.0,70.0,241.0,241.0,73.0,73.0,12.0,12.0,4.0,4.0,32.0,32.0,10.0,10.0,3.0,3.0,1.0,1.0,21.0,21.0,6.0,6.0,23.0,23.0,7.0,7.0,218.0,218.0
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2019",389.0,389.0,156.0,156.0,67.0,67.0,302.0,302.0,78.0,78.0,9.0,9.0,2.3,2.3,27.0,27.0,6.9,6.9,8.0,8.0,2.1,2.1,25.0,25.0,6.4,6.4,18.0,18.0,4.6,4.6,233.0,233.0
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2020",311.0,311.0,108.0,108.0,57.0,57.0,238.0,238.0,77.0,77.0,13.0,13.0,4.2,4.2,19.0,19.0,6.1,6.1,3.0,3.0,1.0,1.0,16.0,16.0,5.1,5.1,4.0,4.0,1.3,1.3,188.0,188.0
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2021",336.0,336.0,134.0,134.0,39.9,39.9,247.0,247.0,73.5,73.5,14.0,14.0,4.2,4.2,24.0,24.0,7.1,7.1,1.0,1.0,0.3,0.3,11.0,11.0,3.3,3.3,7.0,7.0,2.1,2.1,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2022",336.0,336.0,132.0,132.0,39.3,39.3,229.0,229.0,68.2,68.2,8.0,8.0,2.4,2.4,15.0,15.0,4.5,4.5,2.0,2.0,0.6,0.6,9.0,9.0,2.7,2.7,0.0,0.0,0.0,0.0,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2017",353.0,353.0,148.0,148.0,42.0,42.0,231.0,231.0,65.0,65.0,13.0,13.0,4.0,4.0,26.0,26.0,7.0,7.0,9.0,9.0,3.0,3.0,3.0,3.0,1.0,1.0,71.0,71.0,,,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2018",479.0,479.0,258.0,258.0,79.0,79.0,392.0,392.0,82.0,82.0,14.0,14.0,3.0,3.0,35.0,35.0,7.0,7.0,6.0,6.0,1.0,1.0,6.0,6.0,1.0,1.0,26.0,26.0,5.0,5.0,326.0,326.0
India,Nagaland,13,"Calendar Year (Jan - Dec), 2019",512.0,512.0,260.0,260.0,69.0,69.0,416.0,416.0,81.0,81.0,17.0,17.0,3.3,3.3,16.0,16.0,3.1,3.1,8.0,8.0,1.6,1.6,8.0,8.0,1.6,1.6,47.0,47.0,9.2,9.2,377.0,377.0
India,Nagaland,13,"Calendar Year (Jan - Dec), 2020",366.0,366.0,181.0,181.0,70.0,70.0,288.0,288.0,79.0,79.0,14.0,14.0,3.8,3.8,9.0,9.0,2.5,2.5,4.0,4.0,1.1,1.1,3.0,3.0,0.8,0.8,42.0,42.0,11.5,11.5,260.0,260.0
India,Nagaland,13,"Calendar Year (Jan - Dec), 2021",388.0,388.0,221.0,221.0,57.0,57.0,330.0,330.0,85.1,85.1,9.0,9.0,2.3,2.3,12.0,12.0,3.1,3.1,7.0,7.0,1.8,1.8,6.0,6.0,1.5,1.5,16.0,16.0,4.1,4.1,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2022",502.0,502.0,203.0,203.0,40.4,40.4,404.0,404.0,80.5,80.5,13.0,13.0,2.6,2.6,17.0,17.0,3.4,3.4,9.0,9.0,1.8,1.8,7.0,7.0,1.4,1.4,12.0,12.0,2.4,2.4,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2017",218.0,218.0,92.0,92.0,42.0,42.0,145.0,145.0,67.0,67.0,12.0,12.0,6.0,6.0,8.0,8.0,4.0,4.0,5.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,46.0,46.0,,,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2018",293.0,293.0,119.0,119.0,58.0,58.0,232.0,232.0,79.0,79.0,13.0,13.0,4.0,4.0,13.0,13.0,4.0,4.0,3.0,3.0,1.0,1.0,5.0,5.0,2.0,2.0,27.0,27.0,9.0,9.0,204.0,204.0
India,Manipur,14,"Calendar Year (Jan - Dec), 2019",230.0,230.0,77.0,77.0,51.0,51.0,154.0,154.0,67.0,67.0,10.0,10.0,4.3,4.3,8.0,8.0,3.5,3.5,1.0,1.0,0.4,0.4,9.0,9.0,3.9,3.9,48.0,48.0,20.9,20.9,151.0,151.0
India,Manipur,14,"Calendar Year (Jan - Dec), 2020",142.0,142.0,74.0,74.0,79.0,79.0,121.0,121.0,85.0,85.0,6.0,6.0,4.2,4.2,1.0,1.0,0.7,0.7,1.0,1.0,0.7,0.7,3.0,3.0,2.1,2.1,7.0,7.0,4.9,4.9,94.0,94.0
India,Manipur,14,"Calendar Year (Jan - Dec), 2021",176.0,176.0,76.0,76.0,43.2,43.2,137.0,137.0,77.8,77.8,7.0,7.0,4.0,4.0,5.0,5.0,2.8,2.8,2.0,2.0,1.1,1.1,7.0,7.0,4.0,4.0,12.0,12.0,6.8,6.8,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2022",370.0,370.0,94.0,94.0,25.4,25.4,173.0,173.0,46.8,46.8,7.0,7.0,1.9,1.9,5.0,5.0,1.4,1.4,2.0,2.0,0.5,0.5,2.0,2.0,0.5,0.5,4.0,4.0,1.1,1.1,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2017",204.0,204.0,50.0,50.0,25.0,25.0,91.0,91.0,45.0,45.0,6.0,6.0,3.0,3.0,9.0,9.0,4.0,4.0,6.0,6.0,3.0,3.0,2.0,2.0,1.0,1.0,90.0,90.0,,,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2018",274.0,274.0,105.0,105.0,58.0,58.0,237.0,237.0,86.0,86.0,7.0,7.0,3.0,3.0,8.0,8.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,18.0,18.0,7.0,7.0,182.0,182.0
India,Mizoram,15,"Calendar Year (Jan - Dec), 2019",346.0,346.0,87.0,87.0,42.0,42.0,182.0,182.0,53.0,53.0,8.0,8.0,2.3,2.3,6.0,6.0,1.7,1.7,2.0,2.0,0.6,0.6,2.0,2.0,0.6,0.6,146.0,146.0,42.2,42.2,208.0,208.0
India,Mizoram,15,"Calendar Year (Jan - Dec), 2020",199.0,199.0,80.0,80.0,54.0,54.0,171.0,171.0,86.0,86.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,8.0,8.0,4.0,4.0,7.0,7.0,3.5,3.5,147.0,147.0
India,Mizoram,15,"Calendar Year (Jan - Dec), 2021",181.0,181.0,68.0,68.0,37.6,37.6,152.0,152.0,84.0,84.0,11.0,11.0,6.1,6.1,5.0,5.0,2.8,2.8,5.0,5.0,2.8,2.8,2.0,2.0,1.1,1.1,2.0,2.0,1.1,1.1,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2022",257.0,257.0,106.0,106.0,41.2,41.2,211.0,211.0,82.1,82.1,11.0,11.0,4.3,4.3,5.0,5.0,1.9,1.9,2.0,2.0,0.8,0.8,6.0,6.0,2.3,2.3,2.0,2.0,0.8,0.8,,
India,Tripura,16,"Calendar Year (Jan - Dec), 2017",241.0,241.0,96.0,96.0,40.0,40.0,146.0,146.0,61.0,61.0,21.0,21.0,9.0,9.0,25.0,25.0,10.0,10.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,45.0,45.0,,,,
India,Tripura,16,"Calendar Year (Jan - Dec), 2018",310.0,310.0,197.0,197.0,76.0,76.0,259.0,259.0,84.0,84.0,22.0,22.0,7.0,7.0,16.0,16.0,5.0,5.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,7.0,7.0,2.0,2.0,258.0,258.0
India,Tripura,16,"Calendar Year (Jan - Dec), 2019",289.0,289.0,148.0,148.0,65.0,65.0,215.0,215.0,74.0,74.0,24.0,24.0,8.3,8.3,17.0,17.0,5.9,5.9,2.0,2.0,0.7,0.7,9.0,9.0,3.1,3.1,22.0,22.0,7.6,7.6,226.0,226.0
