Country,StateName,StateCode,Year,GENDER,I1227_4_sum,I1227_4_avg,I1227_5_sum,I1227_5_avg,I1227_6_sum,I1227_6_avg,I1227_7_sum,I1227_7_avg,I1227_8_sum,I1227_8_avg
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2022",Male,1515,1515.0,1151.0,1151.0,87.0,87.0,76.0,76.0,6.0,6.0
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2022",TransGender,5,5.0,4.0,4.0,0.0,0.0,80.0,80.0,0.0,0.0
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2023",Female,1463,1463.0,1266.0,1266.0,41.0,41.0,86.5,86.5,2.8,2.8
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2023",Male,1675,1675.0,1373.0,1373.0,76.0,76.0,82.0,82.0,4.5,4.5
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2023",TransGender,7,7.0,7.0,7.0,0.0,0.0,100.0,100.0,0.0,0.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2021",Female,10295,10295.0,8763.0,8763.0,278.0,278.0,85.0,85.0,3.0,3.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2021",Male,14805,14805.0,11889.0,11889.0,685.0,685.0,80.0,80.0,5.0,5.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2021",TransGender,27,27.0,24.0,24.0,1.0,1.0,89.0,89.0,4.0,4.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2022",Female,8074,8074.0,6917.0,6917.0,204.0,204.0,86.0,86.0,3.0,3.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2022",Male,11595,11595.0,9485.0,9485.0,539.0,539.0,82.0,82.0,5.0,5.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2022",TransGender,12,12.0,10.0,10.0,0.0,0.0,83.0,83.0,0.0,0.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2023",Female,9790,9790.0,8707.0,8707.0,246.0,246.0,88.9,88.9,2.5,2.5
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2023",Male,13427,13427.0,11430.0,11430.0,617.0,617.0,85.1,85.1,4.6,4.6
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2023",TransGender,14,14.0,12.0,12.0,0.0,0.0,85.7,85.7,0.0,0.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2021",Female,28627,28627.0,23282.0,23282.0,778.0,778.0,81.0,81.0,3.0,3.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2021",Male,45325,45325.0,34482.0,34482.0,2233.0,2233.0,76.0,76.0,5.0,5.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2021",TransGender,81,81.0,63.0,63.0,3.0,3.0,78.0,78.0,4.0,4.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2022",Female,25019,25019.0,20380.0,20380.0,730.0,730.0,81.0,81.0,3.0,3.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2022",Male,37986,37986.0,29102.0,29102.0,1907.0,1907.0,77.0,77.0,5.0,5.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2022",TransGender,31,31.0,23.0,23.0,1.0,1.0,74.0,74.0,3.0,3.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2023",Female,28272,28272.0,24338.0,24338.0,882.0,882.0,86.1,86.1,3.1,3.1
India,Haryana,6,"Calendar Year (Jan - Dec), 2023",Male,41292,41292.0,33732.0,33732.0,2181.0,2181.0,81.7,81.7,5.3,5.3
India,Haryana,6,"Calendar Year (Jan - Dec), 2023",TransGender,31,31.0,27.0,27.0,2.0,2.0,87.1,87.1,6.5,6.5
India,Delhi,7,"Calendar Year (Jan - Dec), 2021",Female,45548,45548.0,33554.0,33554.0,775.0,775.0,74.0,74.0,2.0,2.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2021",Male,51575,51575.0,34135.0,34135.0,1553.0,1553.0,66.0,66.0,3.0,3.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2021",TransGender,89,89.0,59.0,59.0,1.0,1.0,66.0,66.0,1.0,1.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2022",Female,35181,35181.0,26460.0,26460.0,716.0,716.0,75.0,75.0,2.0,2.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2022",Male,38153,38153.0,26398.0,26398.0,1290.0,1290.0,69.0,69.0,3.0,3.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2022",TransGender,56,56.0,35.0,35.0,2.0,2.0,63.0,63.0,4.0,4.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2023",Female,40945,40945.0,31571.0,31571.0,850.0,850.0,77.1,77.1,2.1,2.1
