Country,StateName,StateCode,Year,D1221_3,I1221_4_sum,I1221_4_avg,I1221_5_sum,I1221_5_avg,I1221_6_sum,I1221_6_avg,I1221_7_sum,I1221_7_avg,I1221_8_sum,I1221_8_avg,I1221_9_sum,I1221_9_avg,I1221_10_sum,I1221_10_avg,I1221_11_sum,I1221_11_avg,I1221_12_sum,I1221_12_avg,I1221_13_sum,I1221_13_avg
India,Punjab,3,"Calendar Year (Jan - Dec), 2023",Public,40507.0,40507.0,84.9,84.9,1693.0,1693.0,4.2,4.2,278.0,278.0,16.4,16.4,,,,,,,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2024",Private,8521.0,8521.0,81.0,81.0,123.0,123.0,1.4,1.4,24.0,24.0,19.5,19.5,,,,,,,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2024",Public,40572.0,40572.0,86.0,86.0,1845.0,1845.0,4.5,4.5,624.0,624.0,33.8,33.8,,,,,,,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,,,,,,,,,2.0,2.0,86.0,86.0,36.0,36.0
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,,,,,,,78.0,78.0,358.0,358.0,3471.0,3471.0,3161.0,3161.0
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2021",Private,174.0,174.0,62.0,62.0,10.0,10.0,6.0,6.0,2.0,2.0,20.0,20.0,,,,,,,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2021",Public,2402.0,2402.0,89.0,89.0,213.0,213.0,9.0,9.0,74.0,74.0,35.0,35.0,,,,,,,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2022",Private,77.0,77.0,64.0,64.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2022",Public,2850.0,2850.0,91.0,91.0,169.0,169.0,6.0,6.0,102.0,102.0,60.0,60.0,,,,,,,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2023",Private,47.0,47.0,73.4,73.4,2.0,2.0,4.3,4.3,0.0,0.0,0.0,0.0,,,,,,,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2023",Public,3508.0,3508.0,94.3,94.3,305.0,305.0,8.7,8.7,60.0,60.0,19.7,19.7,,,,,,,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2024",Private,94.0,94.0,68.1,68.1,5.0,5.0,5.3,5.3,1.0,1.0,20.0,20.0,,,,,,,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2024",Public,3469.0,3469.0,84.5,84.5,247.0,247.0,7.1,7.1,42.0,42.0,17.0,17.0,,,,,,,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,,,,,,,10.0,10.0,34.0,34.0,5341.0,5341.0,358.0,358.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,,,,,,,352.0,352.0,1119.0,1119.0,19882.0,19882.0,8991.0,8991.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2021",Private,760.0,760.0,16.0,16.0,80.0,80.0,11.0,11.0,12.0,12.0,15.0,15.0,,,,,,,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2021",Public,7502.0,7502.0,49.0,49.0,1049.0,1049.0,14.0,14.0,309.0,309.0,29.0,29.0,,,,,,,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2022",Private,2525.0,2525.0,58.0,58.0,143.0,143.0,6.0,6.0,41.0,41.0,29.0,29.0,,,,,,,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2022",Public,14286.0,14286.0,74.0,74.0,1407.0,1407.0,10.0,10.0,415.0,415.0,29.0,29.0,,,,,,,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2023",Private,4206.0,4206.0,90.5,90.5,185.0,185.0,4.4,4.4,38.0,38.0,20.5,20.5,,,,,,,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2023",Public,21611.0,21611.0,95.1,95.1,2492.0,2492.0,11.5,11.5,800.0,800.0,32.1,32.1,,,,,,,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2024",Private,3855.0,3855.0,92.8,92.8,318.0,318.0,8.2,8.2,167.0,167.0,52.5,52.5,,,,,,,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2024",Public,21473.0,21473.0,95.2,95.2,2721.0,2721.0,12.7,12.7,1073.0,1073.0,39.4,39.4,,,,,,,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,,,,,,,100.0,100.0,498.0,498.0,19893.0,19893.0,7397.0,7397.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,,,,,,,793.0,793.0,2678.0,2678.0,54841.0,54841.0,38050.0,38050.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2021",Private,11722.0,11722.0,64.0,64.0,618.0,618.0,5.0,5.0,92.0,92.0,15.0,15.0,,,,,,,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2021",Public,36169.0,36169.0,78.0,78.0,2218.0,2218.0,6.0,6.0,728.0,728.0,33.0,33.0,,,,,,,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2022",Private,15922.0,15922.0,85.0,85.0,674.0,674.0,4.0,4.0,178.0,178.0,26.0,26.0,,,,,,,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2022",Public,45995.0,45995.0,88.0,88.0,1984.0,1984.0,4.0,4.0,890.0,890.0,45.0,45.0,,,,,,,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2023",Private,14373.0,14373.0,82.6,82.6,486.0,486.0,3.4,3.4,161.0,161.0,33.1,33.1,,,,,,,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2023",Public,54848.0,54848.0,89.5,89.5,2572.0,2572.0,4.7,4.7,1044.0,1044.0,40.6,40.6,,,,,,,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2024",Private,13404.0,13404.0,81.4,81.4,277.0,277.0,2.1,2.1,105.0,105.0,37.9,37.9,,,,,,,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2024",Public,59245.0,59245.0,92.4,92.4,2420.0,2420.0,4.1,4.1,962.0,962.0,39.8,39.8,,,,,,,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,,,,,,,20.0,20.0,255.0,255.0,26328.0,26328.0,5102.0,5102.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,,,,,,,585.0,585.0,2315.0,2315.0,71414.0,71414.0,31849.0,31849.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2021",Private,6038.0,6038.0,33.0,33.0,196.0,196.0,3.0,3.0,18.0,18.0,9.0,9.0,,,,,,,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2021",Public,33722.0,33722.0,58.0,58.0,2636.0,2636.0,8.0,8.0,699.0,699.0,27.0,27.0,,,,,,,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2022",Private,5474.0,5474.0,33.0,33.0,137.0,137.0,3.0,3.0,27.0,27.0,20.0,20.0,,,,,,,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2022",Public,43358.0,43358.0,64.0,64.0,2833.0,2833.0,7.0,7.0,711.0,711.0,25.0,25.0,,,,,,,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2023",Private,1686.0,1686.0,16.5,16.5,16.0,16.0,0.9,0.9,5.0,5.0,31.3,31.3,,,,,,,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2023",Public,51623.0,51623.0,66.2,66.2,3440.0,3440.0,6.7,6.7,777.0,777.0,22.6,22.6,,,,,,,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2024",Private,1675.0,1675.0,14.3,14.3,11.0,11.0,0.7,0.7,1.0,1.0,9.1,9.1,,,,,,,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2024",Public,51637.0,51637.0,66.8,66.8,3629.0,3629.0,7.0,7.0,970.0,970.0,26.7,26.7,,,,,,,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,,,,,,,194.0,194.0,957.0,957.0,52421.0,52421.0,19326.0,19326.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,,,,,,,1192.0,1192.0,6486.0,6486.0,123004.0,123004.0,78941.0,78941.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2021",Private,29379.0,29379.0,73.0,73.0,2011.0,2011.0,7.0,7.0,401.0,401.0,20.0,20.0,,,,,,,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2021",Public,75965.0,75965.0,78.0,78.0,6484.0,6484.0,9.0,9.0,1495.0,1495.0,23.0,23.0,,,,,,,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2022",Private,31990.0,31990.0,74.0,74.0,2401.0,2401.0,8.0,8.0,641.0,641.0,27.0,27.0,,,,,,,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2022",Public,84291.0,84291.0,78.0,78.0,7215.0,7215.0,9.0,9.0,2090.0,2090.0,29.0,29.0,,,,,,,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2023",Private,28475.0,28475.0,73.7,73.7,1541.0,1541.0,5.4,5.4,572.0,572.0,37.1,37.1,,,,,,,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2023",Public,106155.0,106155.0,80.6,80.6,9100.0,9100.0,8.6,8.6,3141.0,3141.0,34.5,34.5,,,,,,,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2024",Private,26686.0,26686.0,73.5,73.5,1140.0,1140.0,4.3,4.3,477.0,477.0,41.8,41.8,,,,,,,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2024",Public,101393.0,101393.0,78.1,78.1,7282.0,7282.0,7.2,7.2,2355.0,2355.0,32.3,32.3,,,,,,,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,,,,,,,136.0,136.0,1250.0,1250.0,144409.0,144409.0,18712.0,18712.0
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,,,,,,,3177.0,3177.0,22401.0,22401.0,355347.0,355347.0,180949.0,180949.0
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2021",Private,34574.0,34574.0,32.0,32.0,3683.0,3683.0,11.0,11.0,238.0,238.0,6.0,6.0,,,,,,,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2021",Public,154597.0,154597.0,58.0,58.0,17534.0,17534.0,11.0,11.0,2759.0,2759.0,16.0,16.0,,,,,,,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2022",Private,48157.0,48157.0,42.0,42.0,4351.0,4351.0,9.0,9.0,309.0,309.0,7.0,7.0,,,,,,,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2022",Public,233920.0,233920.0,67.0,67.0,23646.0,23646.0,10.0,10.0,4803.0,4803.0,20.0,20.0,,,,,,,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2023",Private,57695.0,57695.0,49.4,49.4,1686.0,1686.0,2.9,2.9,236.0,236.0,14.0,14.0,,,,,,,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2023",Public,301001.0,301001.0,71.8,71.8,29311.0,29311.0,9.7,9.7,6824.0,6824.0,23.3,23.3,,,,,,,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2024",Private,97328.0,97328.0,52.2,52.2,3283.0,3283.0,3.4,3.4,237.0,237.0,7.2,7.2,,,,,,,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2024",Public,335195.0,335195.0,73.5,73.5,31281.0,31281.0,9.3,9.3,7287.0,7287.0,23.3,23.3,,,,,,,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2020",Private,,,,,,,,,,,,,34.0,34.0,729.0,729.0,46122.0,46122.0,12537.0,12537.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2020",Public,,,,,,,,,,,,,1222.0,1222.0,6415.0,6415.0,80294.0,80294.0,45734.0,45734.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2021",Private,17500.0,17500.0,37.0,37.0,1925.0,1925.0,11.0,11.0,53.0,53.0,3.0,3.0,,,,,,,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2021",Public,29490.0,29490.0,54.0,54.0,4098.0,4098.0,14.0,14.0,683.0,683.0,17.0,17.0,,,,,,,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2022",Private,39063.0,39063.0,55.0,55.0,3198.0,3198.0,8.0,8.0,62.0,62.0,2.0,2.0,,,,,,,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2022",Public,34313.0,34313.0,54.0,54.0,4203.0,4203.0,12.0,12.0,857.0,857.0,20.0,20.0,,,,,,,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2023",Private,36165.0,36165.0,42.8,42.8,1152.0,1152.0,3.2,3.2,41.0,41.0,3.6,3.6,,,,,,,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2023",Public,44248.0,44248.0,54.4,54.4,4139.0,4139.0,9.4,9.4,917.0,917.0,22.2,22.2,,,,,,,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2024",Private,42852.0,42852.0,43.1,43.1,1091.0,1091.0,2.5,2.5,49.0,49.0,4.5,4.5,,,,,,,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2024",Public,48035.0,48035.0,52.3,52.3,4109.0,4109.0,8.6,8.6,845.0,845.0,20.6,20.6,,,,,,,,
