Country,StateName,StateCode,DistrictName,DistrictCode,Year,I7035_4_sum,I7035_4_avg,I7035_5_sum,I7035_5_avg,I7035_6_sum,I7035_6_avg,I7035_7_sum,I7035_7_avg,I7035_8_sum,I7035_8_avg,I7035_9_sum,I7035_9_avg,I7035_10_sum,I7035_10_avg
India,Jammu and Kashmir,1,Poonch,10,"Financial Year (Apr - Mar), 2017",149.0,149.0,32.0,32.0,3.0,3.0,,,,,,,1.0,1.0
India,Jammu and Kashmir,1,Poonch,10,"Financial Year (Apr - Mar), 2018",147.0,147.0,32.0,32.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Poonch,10,"Financial Year (Apr - Mar), 2020",137.0,137.0,44.0,44.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Poonch,10,"Financial Year (Apr - Mar), 2021",137.0,137.0,44.0,44.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Pulwama,11,"Financial Year (Apr - Mar), 2016",104.0,104.0,36.0,36.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Pulwama,11,"Financial Year (Apr - Mar), 2017",104.0,104.0,36.0,36.0,3.0,3.0,,,,,,,1.0,1.0
India,Jammu and Kashmir,1,Pulwama,11,"Financial Year (Apr - Mar), 2018",92.0,92.0,33.0,33.0,3.0,3.0,12.0,12.0,3.0,3.0,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Pulwama,11,"Financial Year (Apr - Mar), 2020",97.0,97.0,47.0,47.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Pulwama,11,"Financial Year (Apr - Mar), 2021",97.0,97.0,47.0,47.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Rajouri,12,"Financial Year (Apr - Mar), 2016",221.0,221.0,37.0,37.0,7.0,7.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Rajouri,12,"Financial Year (Apr - Mar), 2017",221.0,221.0,37.0,37.0,7.0,7.0,,,,,,,1.0,1.0
India,Jammu and Kashmir,1,Rajouri,12,"Financial Year (Apr - Mar), 2018",217.0,217.0,37.0,37.0,7.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Rajouri,12,"Financial Year (Apr - Mar), 2020",197.0,197.0,55.0,55.0,7.0,7.0,,,,,0.0,0.0,0.0,0.0
India,Jammu and Kashmir,1,Rajouri,12,"Financial Year (Apr - Mar), 2021",197.0,197.0,55.0,55.0,7.0,7.0,,,,,0.0,0.0,0.0,0.0
India,Jammu and Kashmir,1,Srinagar,13,"Financial Year (Apr - Mar), 2016",63.0,63.0,29.0,29.0,1.0,1.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Srinagar,13,"Financial Year (Apr - Mar), 2017",63.0,63.0,29.0,29.0,1.0,1.0,,,,,,,1.0,1.0
India,Jammu and Kashmir,1,Srinagar,13,"Financial Year (Apr - Mar), 2018",59.0,59.0,40.0,40.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Srinagar,13,"Financial Year (Apr - Mar), 2020",25.0,25.0,69.0,69.0,1.0,1.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Srinagar,13,"Financial Year (Apr - Mar), 2021",25.0,25.0,69.0,69.0,1.0,1.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Udhampur,14,"Financial Year (Apr - Mar), 2016",153.0,153.0,36.0,36.0,2.0,2.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Udhampur,14,"Financial Year (Apr - Mar), 2017",153.0,153.0,36.0,36.0,2.0,2.0,,,,,,,1.0,1.0
India,Jammu and Kashmir,1,Udhampur,14,"Financial Year (Apr - Mar), 2018",136.0,136.0,31.0,31.0,2.0,2.0,17.0,17.0,7.0,7.0,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Udhampur,14,"Financial Year (Apr - Mar), 2020",146.0,146.0,49.0,49.0,2.0,2.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Udhampur,14,"Financial Year (Apr - Mar), 2021",146.0,146.0,49.0,49.0,2.0,2.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Kishtwar,620,"Financial Year (Apr - Mar), 2016",93.0,93.0,16.0,16.0,1.0,1.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Kishtwar,620,"Financial Year (Apr - Mar), 2017",93.0,93.0,16.0,16.0,1.0,1.0,,,,,,,1.0,1.0
India,Jammu and Kashmir,1,Kishtwar,620,"Financial Year (Apr - Mar), 2018",86.0,86.0,16.0,16.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Kishtwar,620,"Financial Year (Apr - Mar), 2020",87.0,87.0,26.0,26.0,1.0,1.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Kishtwar,620,"Financial Year (Apr - Mar), 2021",87.0,87.0,26.0,26.0,1.0,1.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Ramban,621,"Financial Year (Apr - Mar), 2016",93.0,93.0,19.0,19.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Ramban,621,"Financial Year (Apr - Mar), 2017",93.0,93.0,19.0,19.0,3.0,3.0,,,,,,,1.0,1.0
India,Jammu and Kashmir,1,Ramban,621,"Financial Year (Apr - Mar), 2018",93.0,93.0,19.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Ramban,621,"Financial Year (Apr - Mar), 2020",85.0,85.0,31.0,31.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Ramban,621,"Financial Year (Apr - Mar), 2021",85.0,85.0,31.0,31.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Kulgam,622,"Financial Year (Apr - Mar), 2016",133.0,133.0,28.0,28.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Kulgam,622,"Financial Year (Apr - Mar), 2017",133.0,133.0,28.0,28.0,3.0,3.0,,,,,,,1.0,1.0
India,Jammu and Kashmir,1,Kulgam,622,"Financial Year (Apr - Mar), 2018",128.0,128.0,26.0,26.0,3.0,3.0,5.0,5.0,2.0,2.0,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Kulgam,622,"Financial Year (Apr - Mar), 2020",118.0,118.0,45.0,45.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Kulgam,622,"Financial Year (Apr - Mar), 2021",118.0,118.0,45.0,45.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Bandipora,623,"Financial Year (Apr - Mar), 2016",79.0,79.0,13.0,13.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Bandipora,623,"Financial Year (Apr - Mar), 2017",79.0,79.0,13.0,13.0,3.0,3.0,,,,,,,1.0,1.0
India,Jammu and Kashmir,1,Bandipora,623,"Financial Year (Apr - Mar), 2018",79.0,79.0,13.0,13.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Bandipora,623,"Financial Year (Apr - Mar), 2020",71.0,71.0,27.0,27.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Bandipora,623,"Financial Year (Apr - Mar), 2021",71.0,71.0,27.0,27.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Samba,624,"Financial Year (Apr - Mar), 2016",90.0,90.0,12.0,12.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Samba,624,"Financial Year (Apr - Mar), 2017",90.0,90.0,12.0,12.0,3.0,3.0,,,,,,,1.0,1.0
India,Jammu and Kashmir,1,Samba,624,"Financial Year (Apr - Mar), 2018",80.0,80.0,12.0,12.0,3.0,3.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Samba,624,"Financial Year (Apr - Mar), 2020",82.0,82.0,21.0,21.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Samba,624,"Financial Year (Apr - Mar), 2021",82.0,82.0,21.0,21.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Shopian,625,"Financial Year (Apr - Mar), 2016",60.0,60.0,10.0,10.0,2.0,2.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Shopian,625,"Financial Year (Apr - Mar), 2017",60.0,60.0,10.0,10.0,2.0,2.0,,,,,,,1.0,1.0
India,Jammu and Kashmir,1,Shopian,625,"Financial Year (Apr - Mar), 2018",60.0,60.0,10.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Shopian,625,"Financial Year (Apr - Mar), 2020",57.0,57.0,16.0,16.0,2.0,2.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Shopian,625,"Financial Year (Apr - Mar), 2021",57.0,57.0,16.0,16.0,2.0,2.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Ganderbal,626,"Financial Year (Apr - Mar), 2016",63.0,63.0,19.0,19.0,1.0,1.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Ganderbal,626,"Financial Year (Apr - Mar), 2017",63.0,63.0,19.0,19.0,1.0,1.0,,,,,,,1.0,1.0
India,Jammu and Kashmir,1,Ganderbal,626,"Financial Year (Apr - Mar), 2018",63.0,63.0,19.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Ganderbal,626,"Financial Year (Apr - Mar), 2020",60.0,60.0,30.0,30.0,1.0,1.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Ganderbal,626,"Financial Year (Apr - Mar), 2021",60.0,60.0,30.0,30.0,1.0,1.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Reasi,627,"Financial Year (Apr - Mar), 2016",112.0,112.0,22.0,22.0,2.0,2.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Reasi,627,"Financial Year (Apr - Mar), 2017",112.0,112.0,22.0,22.0,2.0,2.0,,,,,,,1.0,1.0
India,Jammu and Kashmir,1,Reasi,627,"Financial Year (Apr - Mar), 2018",111.0,111.0,22.0,22.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Reasi,627,"Financial Year (Apr - Mar), 2020",103.0,103.0,33.0,33.0,2.0,2.0,,,,,0.0,0.0,1.0,1.0
India,Jammu and Kashmir,1,Reasi,627,"Financial Year (Apr - Mar), 2021",103.0,103.0,33.0,33.0,2.0,2.0,,,,,0.0,0.0,1.0,1.0
