Country,StateName,StateCode,Year,TRU,D7292_3,I7292_4_sum,I7292_4_avg,I7292_5_sum,I7292_5_avg,I7292_6_sum,I7292_6_avg,I7292_7_sum,I7292_7_avg,I7292_8_sum,I7292_8_avg,I7292_9_sum,I7292_9_avg,I7292_10_sum,I7292_10_avg,I7292_11_sum,I7292_11_avg,I7292_12_sum,I7292_12_avg,I7292_13_sum,I7292_13_avg,I7292_14_sum,I7292_14_avg
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Total,Male,2.5,2.5,15.5,15.5,28.8,28.8,7.2,7.2,16.1,16.1,0.6,0.6,25.4,25.4,6.5,6.5,100.0,100.0,2379.0,2379.0,716.0,716.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Total,Person,2.8,2.8,15.2,15.2,31.6,31.6,5.5,5.5,14.4,14.4,0.3,0.3,24.3,24.3,8.8,8.8,100.0,100.0,5530.0,5530.0,1456.0,1456.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Urban ,Female,3.1,3.1,11.1,11.1,25.4,25.4,4.3,4.3,17.8,17.8,0.0,0.0,29.3,29.3,12.2,12.2,100.0,100.0,1052.0,1052.0,360.0,360.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Urban ,Male,2.8,2.8,11.4,11.4,26.3,26.3,5.7,5.7,22.5,22.5,0.0,0.0,24.0,24.0,10.0,10.0,100.0,100.0,1046.0,1046.0,395.0,395.0
India,Punjab,3,"Agriculture Year (Jul - Jun), 2017",Urban ,Person,3.0,3.0,11.2,11.2,25.9,25.9,5.0,5.0,20.2,20.2,0.0,0.0,26.7,26.7,11.1,11.1,100.0,100.0,2098.0,2098.0,755.0,755.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Rural ,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,18.4,0.0,0.0,0.0,0.0,81.6,81.6,100.0,100.0,0.0,0.0,3.0,3.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Rural ,Male,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,1.0,1.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Rural ,Person,0.0,0.0,53.7,53.7,0.0,0.0,0.0,0.0,8.5,8.5,0.0,0.0,0.0,0.0,37.8,37.8,100.0,100.0,0.0,0.0,4.0,4.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Total,Female,0.0,0.0,25.4,25.4,22.6,22.6,0.0,0.0,34.5,34.5,0.0,0.0,3.0,3.0,14.5,14.5,100.0,100.0,30.0,30.0,32.0,32.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Total,Male,0.0,0.0,13.0,13.0,32.4,32.4,3.9,3.9,17.0,17.0,0.0,0.0,9.2,9.2,24.4,24.4,100.0,100.0,31.0,31.0,30.0,30.0
