Country,StateName,StateCode,Year,I7035_4_sum,I7035_4_avg,I7035_5_sum,I7035_5_avg,I7035_6_sum,I7035_6_avg,I7035_7_sum,I7035_7_avg,I7035_8_sum,I7035_8_avg,I7035_9_sum,I7035_9_avg,I7035_10_sum,I7035_10_avg
India,Telangana,36,"Financial Year (Apr - Mar), 2016",4797.0,165.41379310344828,689.0,23.75862068965517,114.0,3.9310344827586206,0.0,,0.0,,31.0,1.0689655172413792,7.0,0.2413793103448276
India,Telangana,36,"Financial Year (Apr - Mar), 2017",4744.0,148.25,643.0,20.09375,91.0,2.84375,0.0,,0.0,,31.0,0.96875,6.0,0.1875
India,Telangana,36,"Financial Year (Apr - Mar), 2018",4519.0,141.21875,0.0,0.0,92.0,2.875,183.0,5.71875,859.0,26.84375,37.0,1.15625,5.0,0.15625
India,Telangana,36,"Financial Year (Apr - Mar), 2020",4871.0,152.21875,842.0,26.3125,92.0,3.066666666666667,0.0,,0.0,,36.0,1.125,5.0,0.15625
India,Telangana,36,"Financial Year (Apr - Mar), 2021",4812.0,150.375,820.0,25.625,80.0,2.5,0.0,,0.0,,40.0,1.25,5.0,0.15625
India,The Dadra and Nagar Haveli and Daman and Diu,38,"Financial Year (Apr - Mar), 2016",97.0,32.333333333333336,13.0,4.333333333333333,4.0,1.3333333333333333,0.0,,0.0,,1.0,0.3333333333333333,3.0,1.0
India,The Dadra and Nagar Haveli and Daman and Diu,38,"Financial Year (Apr - Mar), 2017",97.0,32.333333333333336,13.0,4.333333333333333,4.0,1.3333333333333333,0.0,,0.0,,1.0,1.0,3.0,1.0
India,The Dadra and Nagar Haveli and Daman and Diu,38,"Financial Year (Apr - Mar), 2018",53.0,17.666666666666668,8.0,2.6666666666666665,4.0,1.3333333333333333,44.0,14.666666666666666,7.0,2.3333333333333335,1.0,0.3333333333333333,3.0,1.0
India,The Dadra and Nagar Haveli and Daman and Diu,38,"Financial Year (Apr - Mar), 2020",97.0,32.333333333333336,14.0,4.666666666666667,4.0,1.3333333333333333,0.0,,0.0,,1.0,0.3333333333333333,3.0,1.0
India,The Dadra and Nagar Haveli and Daman and Diu,38,"Financial Year (Apr - Mar), 2021",97.0,32.333333333333336,14.0,4.666666666666667,4.0,1.3333333333333333,0.0,,0.0,,1.0,0.3333333333333333,2.0,0.6666666666666666
