Country,StateName,StateCode,Year,Number_of_new_cases_notified_of_Tuberculosis_sum,Number_of_new_cases_notified_of_Tuberculosis_avg,Number_of_cases_previously_treated_notified_of_Tuberculosis_sum,Number_of_cases_previously_treated_notified_of_Tuberculosis_avg,Number_of_Programmatic_Management_of_Drug-resistant_Tuberculosis_PMDT_cases_notified_of_Tuberculosis_sum,Number_of_Programmatic_Management_of_Drug-resistant_Tuberculosis_PMDT_cases_notified_of_Tuberculosis_avg,Number_of_notified_Tuberculosis_patients_with_site_of_disease_as_pulmonary_sum,Number_of_notified_Tuberculosis_patients_with_site_of_disease_as_pulmonary_avg,Number_of_notified_Tuberculosis_patients_with_site_of_disease_as_extra_pulmonary_sum,Number_of_notified_Tuberculosis_patients_with_site_of_disease_as_extra_pulmonary_avg,Number_of_notified_Tuberculosis_patients_underwent_a_diagnostic_test_through_microscopy_sum,Number_of_notified_Tuberculosis_patients_underwent_a_diagnostic_test_through_microscopy_avg,Number_of_notified_Tuberculosis_patients_underwent_a_diagnostic_test_through_molecualr_tests_sum,Number_of_notified_Tuberculosis_patients_underwent_a_diagnostic_test_through_molecualr_tests_avg,Number_of_notified_Tuberculosis_patients_underwent_a_diagnostic_test_through_chest_X_ray_sum,Number_of_notified_Tuberculosis_patients_underwent_a_diagnostic_test_through_chest_X_ray_avg,Others_sum,Others_avg,Percentage_of_new_cases_notified_of_Tuberculosis_sum,Percentage_of_new_cases_notified_of_Tuberculosis_avg,Percentage_of_previously_treated_cases_notified_as_Tuberculosis_sum,Percentage_of_previously_treated_cases_notified_as_Tuberculosis_avg,Percentage_of_Programmatic_Management_of_Drug-resistant_Tuberculosis_PMDT_cases_notified_of_Tuberculosis_sum,Percentage_of_Programmatic_Management_of_Drug-resistant_Tuberculosis_PMDT_cases_notified_of_Tuberculosis_avg,Percentage_of_site_of_disease_as_pulmonary_sum,Percentage_of_site_of_disease_as_pulmonary_avg,Percentage_of_site_of_disease_as_extra_pulmonary_sum,Percentage_of_site_of_disease_as_extra_pulmonary_avg,Percentage_of_notified_Tuberculosis_patients_underwent_a_diagnostic_test_through_microscopy_sum,Percentage_of_notified_Tuberculosis_patients_underwent_a_diagnostic_test_through_microscopy_avg,Percentage_of_diagnostic_test_through_molecular_tests_sum,Percentage_of_diagnostic_test_through_molecular_tests_avg,Percentage_of_diagnostic_test_through_chest_X_ray_sum,Percentage_of_diagnostic_test_through_chest_X_ray_avg,Percentage_of_others_sum,Percentage_of_others_avg,Number_of_Drug_Resistant_Tuberculosis_DRTB_cases_sum,Number_of_Drug_Resistant_Tuberculosis_DRTB_cases_avg,Basis_of_diagnosis_was_bacteriologically_confirmed_sum,Basis_of_diagnosis_was_bacteriologically_confirmed_avg,Basis_of_diagnosis_as_clinically_diagnosed_sum,Basis_of_diagnosis_as_clinically_diagnosed_avg,Percentage_of_Drug_Resistant_Tuberculosis_DRTB_cases_notified_sum,Percentage_of_Drug_Resistant_Tuberculosis_DRTB_cases_notified_avg,Percentage_of_cases_on_basis_of_diagnosis_was_bacteriologically_confirmed_sum,Percentage_of_cases_on_basis_of_diagnosis_was_bacteriologically_confirmed_avg,Percentage_of_cases_on_basis_of_diagnosis_as_clinically_diagnosed_sum,Percentage_of_cases_on_basis_of_diagnosis_as_clinically_diagnosed_avg,Number_of_male_Tubercluosis_patients_sum,Number_of_male_Tubercluosis_patients_avg,Number_of_female_patients_sum,Number_of_female_patients_avg,Number_of_transgender_Tubercluosis_patients_sum,Number_of_transgender_Tubercluosis_patients_avg
India,Madhya Pradesh,23,"Calendar Year (Jan - Dec), 2024",156079.0,156079.0,28612.0,28612.0,,,147417.0,147417.0,37274.0,37274.0,,,,,,,,,85.0,85.0,15.0,15.0,,,79.8,79.8,20.2,20.2,,,,,,,,,,,91197.0,91197.0,93494.0,93494.0,,,49.4,49.4,50.6,50.6,,,,,,
India,Gujarat,24,"Calendar Year (Jan - Dec), 2020",126977.0,126977.0,27321.0,27321.0,,,122969.0,122969.0,36189.0,36189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64731.0,64731.0,94427.0,94427.0,,,,,,,103820.0,103820.0,55239.0,55239.0,99.0,99.0
India,Gujarat,24,"Calendar Year (Jan - Dec), 2021",94457.0,94457.0,22531.0,22531.0,,,90787.0,90787.0,29773.0,29773.0,32378.0,32378.0,12467.0,12467.0,53234.0,53234.0,22481.0,22481.0,81.0,81.0,19.0,19.0,,,75.0,75.0,25.0,25.0,27.0,27.0,10.0,10.0,44.0,44.0,19.0,19.0,,,45105.0,45105.0,75455.0,75455.0,,,37.0,37.0,63.0,63.0,,,,,,
India,Gujarat,24,"Calendar Year (Jan - Dec), 2022",115756.0,115756.0,25749.0,25749.0,,,109471.0,109471.0,35260.0,35260.0,38277.0,38277.0,12525.0,12525.0,65767.0,65767.0,28162.0,28162.0,80.0,80.0,17.8,17.8,,,76.0,76.0,24.0,24.0,26.0,26.0,9.0,9.0,45.0,45.0,19.0,19.0,3226.0,3226.0,51105.0,51105.0,93626.0,93626.0,2.2,2.2,35.0,35.0,65.0,65.0,,,,,,
India,Gujarat,24,"Calendar Year (Jan - Dec), 2023",123738.0,123738.0,24809.0,24809.0,3365.0,3365.0,115534.0,115534.0,36378.0,36378.0,43009.0,43009.0,9891.0,9891.0,68207.0,68207.0,73814.0,73814.0,81.5,81.5,16.3,16.3,2.2,2.2,76.1,76.1,23.9,23.9,22.1,22.1,5.1,5.1,35.0,35.0,37.9,37.9,,,,,,,,,,,,,,,,,,
India,Gujarat,24,"Calendar Year (Jan - Dec), 2024",115740.0,115740.0,28767.0,28767.0,,,108968.0,108968.0,35539.0,35539.0,,,,,,,,,80.0,80.0,20.0,20.0,,,75.4,75.4,24.6,24.6,,,,,,,,,,,78132.0,78132.0,66375.0,66375.0,,,54.1,54.1,45.9,45.9,,,,,,
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2020",196037.0,196037.0,19838.0,19838.0,,,153421.0,153421.0,73927.0,73927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107022.0,107022.0,120326.0,120326.0,,,,,,,128933.0,128933.0,98208.0,98208.0,207.0,207.0
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2021",135017.0,135017.0,14699.0,14699.0,,,101234.0,101234.0,58429.0,58429.0,25155.0,25155.0,46025.0,46025.0,48425.0,48425.0,40058.0,40058.0,90.0,90.0,10.0,10.0,,,63.0,63.0,37.0,37.0,16.0,16.0,29.0,29.0,30.0,30.0,25.0,25.0,,,75082.0,75082.0,84581.0,84581.0,,,47.0,47.0,53.0,53.0,,,,,,
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2022",170295.0,170295.0,17477.0,17477.0,,,122403.0,122403.0,77573.0,77573.0,27547.0,27547.0,56622.0,56622.0,61722.0,61722.0,54085.0,54085.0,85.2,85.2,8.7,8.7,,,61.0,61.0,39.0,39.0,14.0,14.0,28.0,28.0,31.0,31.0,27.0,27.0,12204.0,12204.0,87565.0,87565.0,112411.0,112411.0,6.1,6.1,44.0,44.0,56.0,56.0,,,,,,
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2023",203419.0,203419.0,18764.0,18764.0,11922.0,11922.0,156476.0,156476.0,77629.0,77629.0,30747.0,30747.0,55559.0,55559.0,82786.0,82786.0,95760.0,95760.0,86.9,86.9,8.0,8.0,5.1,5.1,66.8,66.8,33.2,33.2,11.6,11.6,21.0,21.0,31.3,31.3,36.2,36.2,,,,,,,,,,,,,,,,,,
India,Maharashtra,27,"Calendar Year (Jan - Dec), 2024",190710.0,190710.0,36954.0,36954.0,,,152126.0,152126.0,75538.0,75538.0,,,,,,,,,84.0,84.0,16.0,16.0,,,66.8,66.8,33.2,33.2,,,,,,,,,,,120858.0,120858.0,106806.0,106806.0,,,53.1,53.1,46.9,46.9,,,,,,
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2020",85006.0,85006.0,10519.0,10519.0,,,80556.0,80556.0,18313.0,18313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56252.0,56252.0,42617.0,42617.0,,,,,,,65972.0,65972.0,32772.0,32772.0,125.0,125.0
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2021",54646.0,54646.0,7497.0,7497.0,,,47385.0,47385.0,16680.0,16680.0,4846.0,4846.0,27952.0,27952.0,18129.0,18129.0,13138.0,13138.0,88.0,88.0,12.0,12.0,,,74.0,74.0,26.0,26.0,8.0,8.0,44.0,44.0,28.0,28.0,21.0,21.0,,,32855.0,32855.0,31210.0,31210.0,,,51.0,51.0,49.0,49.0,,,,,,
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2022",74857.0,74857.0,9403.0,9403.0,,,64910.0,64910.0,21922.0,21922.0,3992.0,3992.0,39834.0,39834.0,25564.0,25564.0,17442.0,17442.0,86.2,86.2,10.8,10.8,,,75.0,75.0,25.0,25.0,5.0,5.0,46.0,46.0,29.0,29.0,20.0,20.0,2572.0,2572.0,43878.0,43878.0,42954.0,42954.0,3.0,3.0,51.0,51.0,49.0,49.0,,,,,,
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2023",81132.0,81132.0,8769.0,8769.0,2286.0,2286.0,70426.0,70426.0,21761.0,21761.0,3908.0,3908.0,37040.0,37040.0,30923.0,30923.0,24224.0,24224.0,88.0,88.0,9.5,9.5,2.5,2.5,76.4,76.4,23.6,23.6,4.1,4.1,38.5,38.5,32.2,32.2,25.2,25.2,,,,,,,,,,,,,,,,,,
India,Andhra Pradesh,28,"Calendar Year (Jan - Dec), 2024",79743.0,79743.0,9321.0,9321.0,,,66743.0,66743.0,22321.0,22321.0,,,,,,,,,90.0,90.0,10.0,10.0,,,74.9,74.9,25.1,25.1,,,,,,,,,,,53493.0,53493.0,35571.0,35571.0,,,60.1,60.1,39.9,39.9,,,,,,
India,Karnataka,29,"Calendar Year (Jan - Dec), 2020",78705.0,78705.0,10021.0,10021.0,,,64346.0,64346.0,27357.0,27357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53957.0,53957.0,37746.0,37746.0,,,,,,,59199.0,59199.0,32409.0,32409.0,95.0,95.0
India,Karnataka,29,"Calendar Year (Jan - Dec), 2021",55663.0,55663.0,7529.0,7529.0,,,44942.0,44942.0,20843.0,20843.0,13889.0,13889.0,24355.0,24355.0,11269.0,11269.0,16272.0,16272.0,88.0,88.0,12.0,12.0,,,68.0,68.0,32.0,32.0,21.0,21.0,37.0,37.0,17.0,17.0,25.0,25.0,,,38465.0,38465.0,27320.0,27320.0,,,58.0,58.0,42.0,42.0,,,,,,
India,Karnataka,29,"Calendar Year (Jan - Dec), 2022",62621.0,62621.0,7471.0,7471.0,,,49199.0,49199.0,23236.0,23236.0,16455.0,16455.0,24888.0,24888.0,12250.0,12250.0,18842.0,18842.0,86.5,86.5,10.3,10.3,,,68.0,68.0,32.0,32.0,23.0,23.0,34.0,34.0,17.0,17.0,26.0,26.0,2343.0,2343.0,41591.0,41591.0,30844.0,30844.0,3.2,3.2,57.0,57.0,43.0,43.0,,,,,,
India,Karnataka,29,"Calendar Year (Jan - Dec), 2023",69836.0,69836.0,7853.0,7853.0,2727.0,2727.0,58761.0,58761.0,21655.0,21655.0,16389.0,16389.0,29779.0,29779.0,12808.0,12808.0,37829.0,37829.0,86.8,86.8,9.8,9.8,3.4,3.4,73.1,73.1,26.9,26.9,16.9,16.9,30.8,30.8,13.2,13.2,39.1,39.1,,,,,,,,,,,,,,,,,,
India,Karnataka,29,"Calendar Year (Jan - Dec), 2024",71132.0,71132.0,10730.0,10730.0,,,59415.0,59415.0,22447.0,22447.0,,,,,,,,,87.0,87.0,13.0,13.0,,,72.6,72.6,27.4,27.4,,,,,,,,,,,58454.0,58454.0,23408.0,23408.0,,,71.4,71.4,28.6,28.6,,,,,,
India,Goa,30,"Calendar Year (Jan - Dec), 2020",2157.0,2157.0,205.0,205.0,,,1308.0,1308.0,1102.0,1102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278.0,1278.0,1132.0,1132.0,,,,,,,1449.0,1449.0,958.0,958.0,3.0,3.0
India,Goa,30,"Calendar Year (Jan - Dec), 2021",1503.0,1503.0,113.0,113.0,,,928.0,928.0,732.0,732.0,328.0,328.0,569.0,569.0,174.0,174.0,589.0,589.0,93.0,93.0,7.0,7.0,,,56.0,56.0,44.0,44.0,20.0,20.0,34.0,34.0,10.0,10.0,35.0,35.0,,,900.0,900.0,760.0,760.0,,,54.0,54.0,46.0,46.0,,,,,,
India,Goa,30,"Calendar Year (Jan - Dec), 2022",1830.0,1830.0,134.0,134.0,,,1155.0,1155.0,863.0,863.0,43.0,43.0,1107.0,1107.0,144.0,144.0,724.0,724.0,90.7,90.7,6.6,6.6,,,57.0,57.0,43.0,43.0,2.0,2.0,55.0,55.0,7.0,7.0,36.0,36.0,54.0,54.0,1155.0,1155.0,863.0,863.0,2.7,2.7,57.0,57.0,43.0,43.0,,,,,,
India,Goa,30,"Calendar Year (Jan - Dec), 2023",1852.0,1852.0,162.0,162.0,77.0,77.0,1297.0,1297.0,794.0,794.0,23.0,23.0,1050.0,1050.0,221.0,221.0,820.0,820.0,88.6,88.6,7.7,7.7,3.7,3.7,62.0,62.0,38.0,38.0,1.1,1.1,49.7,49.7,10.5,10.5,38.8,38.8,,,,,,,,,,,,,,,,,,
India,Goa,30,"Calendar Year (Jan - Dec), 2024",1715.0,1715.0,367.0,367.0,,,1360.0,1360.0,722.0,722.0,,,,,,,,,82.0,82.0,18.0,18.0,,,65.3,65.3,34.7,34.7,,,,,,,,,,,1489.0,1489.0,593.0,593.0,,,71.5,71.5,28.5,28.5,,,,,,
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2020",15.0,15.0,0.0,0.0,,,12.0,12.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,7.0,7.0,,,,,,,11.0,11.0,4.0,4.0,,
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2021",18.0,18.0,2.0,2.0,,,18.0,18.0,2.0,2.0,2.0,2.0,10.0,10.0,7.0,7.0,1.0,1.0,90.0,90.0,10.0,10.0,,,90.0,90.0,10.0,10.0,10.0,10.0,50.0,50.0,35.0,35.0,5.0,5.0,,,12.0,12.0,8.0,8.0,,,60.0,60.0,40.0,40.0,,,,,,
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2022",12.0,12.0,0.0,0.0,,,10.0,10.0,2.0,2.0,0.0,0.0,9.0,9.0,2.0,2.0,1.0,1.0,100.0,100.0,0.0,0.0,,,83.0,83.0,17.0,17.0,0.0,0.0,75.0,75.0,17.0,17.0,8.0,8.0,0.0,0.0,9.0,9.0,3.0,3.0,,,75.0,75.0,25.0,25.0,,,,,,
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2023",9.0,9.0,1.0,1.0,1.0,1.0,11.0,11.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,81.8,81.8,9.1,9.1,9.1,9.1,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2024",6.0,6.0,0.0,0.0,,,5.0,5.0,1.0,1.0,,,,,,,,,100.0,100.0,0.0,0.0,,,83.3,83.3,16.7,16.7,,,,,,,,,,,6.0,6.0,0.0,0.0,,,100.0,100.0,,,,,,,,
India,Kerala,32,"Calendar Year (Jan - Dec), 2020",23492.0,23492.0,1775.0,1775.0,,,16476.0,16476.0,9141.0,9141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15164.0,15164.0,10453.0,10453.0,,,,,,,17140.0,17140.0,8464.0,8464.0,13.0,13.0
India,Kerala,32,"Calendar Year (Jan - Dec), 2021",19100.0,19100.0,1423.0,1423.0,,,12426.0,12426.0,8409.0,8409.0,7732.0,7732.0,4522.0,4522.0,1121.0,1121.0,7460.0,7460.0,93.0,93.0,7.0,7.0,,,60.0,60.0,40.0,40.0,37.0,37.0,22.0,22.0,5.0,5.0,36.0,36.0,,,12382.0,12382.0,8453.0,8453.0,,,59.0,59.0,41.0,41.0,,,,,,
India,Kerala,32,"Calendar Year (Jan - Dec), 2022",20196.0,20196.0,1364.0,1364.0,,,12784.0,12784.0,9088.0,9088.0,4391.0,4391.0,8862.0,8862.0,949.0,949.0,7670.0,7670.0,92.3,92.3,6.2,6.2,,,58.0,58.0,42.0,42.0,20.0,20.0,41.0,41.0,4.0,4.0,35.0,35.0,312.0,312.0,13355.0,13355.0,8517.0,8517.0,1.4,1.4,61.0,61.0,39.0,39.0,,,,,,
India,Kerala,32,"Calendar Year (Jan - Dec), 2023",21588.0,21588.0,1384.0,1384.0,416.0,416.0,15476.0,15476.0,7912.0,7912.0,4228.0,4228.0,10234.0,10234.0,1229.0,1229.0,11925.0,11925.0,92.3,92.3,5.9,5.9,1.8,1.8,66.2,66.2,33.8,33.8,15.3,15.3,37.1,37.1,4.5,4.5,43.2,43.2,,,,,,,,,,,,,,,,,,
India,Kerala,32,"Calendar Year (Jan - Dec), 2024",19525.0,19525.0,2274.0,2274.0,,,14859.0,14859.0,6940.0,6940.0,,,,,,,,,90.0,90.0,10.0,10.0,,,68.2,68.2,31.8,31.8,,,,,,,,,,,17640.0,17640.0,4159.0,4159.0,,,80.9,80.9,19.1,19.1,,,,,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2020",96956.0,96956.0,10680.0,10680.0,,,85068.0,85068.0,25777.0,25777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66246.0,66246.0,44599.0,44599.0,,,,,,,76815.0,76815.0,33905.0,33905.0,125.0,125.0
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2021",59960.0,59960.0,7562.0,7562.0,,,51655.0,51655.0,18649.0,18649.0,25351.0,25351.0,18447.0,18447.0,12013.0,12013.0,14493.0,14493.0,89.0,89.0,11.0,11.0,,,73.0,73.0,27.0,27.0,36.0,36.0,26.0,26.0,17.0,17.0,21.0,21.0,,,43914.0,43914.0,26390.0,26390.0,,,62.0,62.0,38.0,38.0,,,,,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2022",72513.0,72513.0,8005.0,8005.0,,,59997.0,59997.0,22826.0,22826.0,29800.0,29800.0,21503.0,21503.0,11941.0,11941.0,19579.0,19579.0,87.6,87.6,9.7,9.7,,,72.0,72.0,28.0,28.0,36.0,36.0,26.0,26.0,14.0,14.0,24.0,24.0,2305.0,2305.0,51426.0,51426.0,31397.0,31397.0,2.8,2.8,62.0,62.0,38.0,38.0,,,,,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2023",82944.0,82944.0,8579.0,8579.0,2356.0,2356.0,71165.0,71165.0,22714.0,22714.0,36283.0,36283.0,19462.0,19462.0,15022.0,15022.0,59395.0,59395.0,88.4,88.4,9.1,9.1,2.5,2.5,75.8,75.8,24.2,24.2,27.9,27.9,15.0,15.0,11.5,11.5,45.6,45.6,,,,,,,,,,,,,,,,,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2024",85460.0,85460.0,12791.0,12791.0,,,75514.0,75514.0,22737.0,22737.0,,,,,,,,,87.0,87.0,13.0,13.0,,,76.9,76.9,23.1,23.1,,,,,,,,,,,71527.0,71527.0,26724.0,26724.0,,,72.8,72.8,27.2,27.2,,,,,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2020",3667.0,3667.0,504.0,504.0,,,3073.0,3073.0,1533.0,1533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3293.0,3293.0,1313.0,1313.0,,,,,,,3217.0,3217.0,1383.0,1383.0,6.0,6.0
India,Puducherry,34,"Calendar Year (Jan - Dec), 2021",2170.0,2170.0,225.0,225.0,,,1784.0,1784.0,978.0,978.0,1096.0,1096.0,853.0,853.0,133.0,133.0,680.0,680.0,91.0,91.0,9.0,9.0,,,65.0,65.0,35.0,35.0,40.0,40.0,31.0,31.0,5.0,5.0,25.0,25.0,,,1966.0,1966.0,796.0,796.0,,,71.0,71.0,29.0,29.0,,,,,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2022",2875.0,2875.0,217.0,217.0,,,2148.0,2148.0,1296.0,1296.0,1353.0,1353.0,1059.0,1059.0,143.0,143.0,889.0,889.0,83.5,83.5,6.3,6.3,,,62.0,62.0,38.0,38.0,39.0,39.0,31.0,31.0,4.0,4.0,26.0,26.0,352.0,352.0,2437.0,2437.0,1007.0,1007.0,10.2,10.2,71.0,71.0,29.0,29.0,,,,,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2023",3244.0,3244.0,229.0,229.0,362.0,362.0,2696.0,2696.0,1139.0,1139.0,1334.0,1334.0,798.0,798.0,107.0,107.0,2930.0,2930.0,84.6,84.6,6.0,6.0,9.4,9.4,70.3,70.3,29.7,29.7,25.8,25.8,15.4,15.4,2.1,2.1,56.7,56.7,,,,,,,,,,,,,,,,,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2024",3464.0,3464.0,705.0,705.0,,,3069.0,3069.0,1100.0,1100.0,,,,,,,,,83.0,83.0,17.0,17.0,,,73.6,73.6,26.4,26.4,,,,,,,,,,,3458.0,3458.0,711.0,711.0,,,82.9,82.9,17.1,17.1,,,,,,
India,Andaman And Nicobar Islands,35,"Calendar Year (Jan - Dec), 2020",504.0,504.0,48.0,48.0,,,342.0,342.0,245.0,245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.0,325.0,262.0,262.0,,,,,,,348.0,348.0,239.0,239.0,,
India,Andaman And Nicobar Islands,35,"Calendar Year (Jan - Dec), 2021",390.0,390.0,42.0,42.0,,,292.0,292.0,186.0,186.0,141.0,141.0,143.0,143.0,70.0,70.0,124.0,124.0,90.0,90.0,10.0,10.0,,,61.0,61.0,39.0,39.0,29.0,29.0,30.0,30.0,15.0,15.0,26.0,26.0,,,284.0,284.0,194.0,194.0,,,59.0,59.0,41.0,41.0,,,,,,
India,Andaman And Nicobar Islands,35,"Calendar Year (Jan - Dec), 2022",437.0,437.0,35.0,35.0,,,294.0,294.0,213.0,213.0,146.0,146.0,137.0,137.0,86.0,86.0,138.0,138.0,86.2,86.2,6.9,6.9,,,58.0,58.0,42.0,42.0,29.0,29.0,27.0,27.0,17.0,17.0,27.0,27.0,35.0,35.0,283.0,283.0,224.0,224.0,6.9,6.9,56.0,56.0,44.0,44.0,,,,,,
India,Andaman And Nicobar Islands,35,"Calendar Year (Jan - Dec), 2023",461.0,461.0,37.0,37.0,36.0,36.0,369.0,369.0,165.0,165.0,147.0,147.0,196.0,196.0,87.0,87.0,251.0,251.0,86.3,86.3,6.9,6.9,6.7,6.7,69.1,69.1,30.9,30.9,21.6,21.6,28.8,28.8,12.8,12.8,36.9,36.9,,,,,,,,,,,,,,,,,,
India,Andaman And Nicobar Islands,35,"Calendar Year (Jan - Dec), 2024",456.0,456.0,105.0,105.0,,,387.0,387.0,174.0,174.0,,,,,,,,,81.0,81.0,19.0,19.0,,,69.0,69.0,31.0,31.0,,,,,,,,,,,398.0,398.0,163.0,163.0,,,70.9,70.9,29.1,29.1,,,,,,
India,Telangana,36,"Calendar Year (Jan - Dec), 2020",62708.0,62708.0,7022.0,7022.0,,,56470.0,56470.0,15185.0,15185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39814.0,39814.0,31841.0,31841.0,,,,,,,44498.0,44498.0,27071.0,27071.0,86.0,86.0
India,Telangana,36,"Calendar Year (Jan - Dec), 2021",55024.0,55024.0,6078.0,6078.0,,,48160.0,48160.0,15049.0,15049.0,13528.0,13528.0,16738.0,16738.0,22184.0,22184.0,10759.0,10759.0,90.0,90.0,10.0,10.0,,,76.0,76.0,24.0,24.0,21.0,21.0,26.0,26.0,35.0,35.0,17.0,17.0,,,30381.0,30381.0,32828.0,32828.0,,,48.0,48.0,52.0,52.0,,,,,,
India,Telangana,36,"Calendar Year (Jan - Dec), 2022",53332.0,53332.0,5959.0,5959.0,,,44842.0,44842.0,15872.0,15872.0,13494.0,13494.0,17718.0,17718.0,17713.0,17713.0,11789.0,11789.0,87.8,87.8,9.8,9.8,,,74.0,74.0,26.0,26.0,22.0,22.0,29.0,29.0,29.0,29.0,19.0,19.0,1423.0,1423.0,31254.0,31254.0,29460.0,29460.0,2.3,2.3,51.0,51.0,49.0,49.0,,,,,,
India,Telangana,36,"Calendar Year (Jan - Dec), 2023",64606.0,64606.0,6613.0,6613.0,1722.0,1722.0,55437.0,55437.0,17504.0,17504.0,9186.0,9186.0,27431.0,27431.0,20884.0,20884.0,24626.0,24626.0,88.6,88.6,9.1,9.1,2.4,2.4,76.0,76.0,24.0,24.0,11.2,11.2,33.4,33.4,25.4,25.4,30.0,30.0,,,,,,,,,,,,,,,,,,
India,Telangana,36,"Calendar Year (Jan - Dec), 2024",64581.0,64581.0,10413.0,10413.0,,,56553.0,56553.0,18441.0,18441.0,,,,,,,,,86.0,86.0,14.0,14.0,,,75.4,75.4,24.6,24.6,,,,,,,,,,,44601.0,44601.0,30393.0,30393.0,,,59.5,59.5,40.5,40.5,,,,,,
India,Ladakh,37,"Calendar Year (Jan - Dec), 2020",231.96464918,231.96464918,24.1698196458,24.1698196458,,,153.0901065168,153.0901065168,106.3253333016,106.3253333016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.4575711053,131.4575711053,127.9578687132,127.9578687132,,,,,,,151.4714941604,151.4714941604,107.3752440193,107.3752440193,0.5687016387,0.5687016387
India,Ladakh,37,"Calendar Year (Jan - Dec), 2021",194.0,194.0,40.0,40.0,,,138.0,138.0,101.0,101.0,60.0,60.0,68.0,68.0,6.0,6.0,105.0,105.0,83.0,83.0,17.0,17.0,,,58.0,58.0,42.0,42.0,25.0,25.0,28.0,28.0,3.0,3.0,44.0,44.0,,,128.0,128.0,111.0,111.0,,,54.0,54.0,46.0,46.0,,,,,,
India,Ladakh,37,"Calendar Year (Jan - Dec), 2022",246.0,246.0,41.0,41.0,,,182.0,182.0,109.0,109.0,72.0,72.0,112.0,112.0,10.0,10.0,97.0,97.0,84.5,84.5,14.1,14.1,,,63.0,63.0,37.0,37.0,25.0,25.0,38.0,38.0,3.0,3.0,33.0,33.0,4.0,4.0,184.0,184.0,107.0,107.0,1.4,1.4,63.0,63.0,37.0,37.0,,,,,,
India,Ladakh,37,"Calendar Year (Jan - Dec), 2023",264.0,264.0,54.0,54.0,2.0,2.0,235.0,235.0,85.0,85.0,52.0,52.0,179.0,179.0,10.0,10.0,131.0,131.0,82.5,82.5,16.9,16.9,0.6,0.6,73.4,73.4,26.6,26.6,14.0,14.0,48.1,48.1,2.7,2.7,35.2,35.2,,,,,,,,,,,,,,,,,,
India,Ladakh,37,"Calendar Year (Jan - Dec), 2024",269.0,269.0,51.0,51.0,,,241.0,241.0,79.0,79.0,,,,,,,,,84.0,84.0,16.0,16.0,,,75.3,75.3,24.7,24.7,,,,,,,,,,,267.0,267.0,53.0,53.0,,,83.4,83.4,16.6,16.6,,,,,,
India,The Dadra And Nagar Haveli And Daman And Diu,38,"Calendar Year (Jan - Dec), 2020",1221.0,1221.0,246.0,246.0,,,947.0,947.0,550.0,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630.0,630.0,867.0,867.0,,,,,,,926.0,926.0,571.0,571.0,,
India,The Dadra And Nagar Haveli And Daman And Diu,38,"Calendar Year (Jan - Dec), 2021",797.0,797.0,130.0,130.0,,,599.0,599.0,366.0,366.0,185.0,185.0,261.0,261.0,216.0,216.0,303.0,303.0,86.0,86.0,14.0,14.0,,,62.0,62.0,38.0,38.0,19.0,19.0,27.0,27.0,22.0,22.0,31.0,31.0,,,446.0,446.0,519.0,519.0,,,46.0,46.0,54.0,54.0,,,,,,
