Country,StateName,StateCode,Year,Number_of_tuberculosistb_patients_notified_sum,Number_of_tuberculosistb_patients_notified_avg,Number_tuberculosistb_cases_confirmed_bacteriologically_sum,Number_tuberculosistb_cases_confirmed_bacteriologically_avg,Number_of_patients_cured_from_tuberculosistb_sum,Number_of_patients_cured_from_tuberculosistb_avg,Percentage_of_patients_cured_from_tuberculosistb_sum,Percentage_of_patients_cured_from_tuberculosistb_avg,Number_of_successful_treatments_for_tuberculosistb_sum,Number_of_successful_treatments_for_tuberculosistb_avg,Percentage_of_successful_treatments_for_tuberculosistb_sum,Percentage_of_successful_treatments_for_tuberculosistb_avg,Number_of_patients_died_due_to_tuberculosistb_sum,Number_of_patients_died_due_to_tuberculosistb_avg,Percentage_of_deaths_due_to_tuberculosistb_sum,Percentage_of_deaths_due_to_tuberculosistb_avg,Number_of_failed_treatments_for_tuberculosistb_sum,Number_of_failed_treatments_for_tuberculosistb_avg,Percentage_of_failed_treatments_for_tuberculosistb_sum,Percentage_of_failed_treatments_for_tuberculosistb_avg,Number_of_tuberculosistb_cases_lost_to_followup_sum,Number_of_tuberculosistb_cases_lost_to_followup_avg,Percentage_of_tuberculosistb_cases_lost_to_followup_sum,Percentage_of_tuberculosistb_cases_lost_to_followup_avg,Number_of_regimen_change_in_tuberculosistb_cases_sum,Number_of_regimen_change_in_tuberculosistb_cases_avg,Percentage_of_regimen_change_in_tuberculosistb_cases_sum,Percentage_of_regimen_change_in_tuberculosistb_cases_avg,Number_of_tuberculosistb_cases_not_evaluated_sum,Number_of_tuberculosistb_cases_not_evaluated_avg,Percentage_of_tuberculosistb_cases_not_evaluated_sum,Percentage_of_tuberculosistb_cases_not_evaluated_avg,Others_sum,Others_avg
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2017",1075.9395460539,1075.9395460539,,,,,,,116.3970963458,116.3970963458,11.0,11.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,952.6955616878,952.6955616878,,,6.8468880203,6.8468880203
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2018",894.9860769449,894.9860769449,,,,,,,581.0073548691,581.0073548691,65.0,65.0,2.9343805801,2.9343805801,0.0,0.0,1.9562537201,1.9562537201,0.0,0.0,11.7375223206,11.7375223206,1.0,1.0,0.97812686,0.97812686,0.0,0.0,296.3724385949,296.3724385949,33.0,33.0,,
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2019",701.0,701.0,275.0,275.0,130.0,130.0,47.0,47.0,587.0,587.0,84.0,84.0,9.0,9.0,1.3,1.3,5.0,5.0,0.7,0.7,5.0,5.0,0.7,0.7,3.0,3.0,0.4,0.4,92.0,92.0,13.1,13.1,,
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2020",606.0,606.0,200.0,200.0,210.0,210.0,105.0,105.0,497.0,497.0,82.0,82.0,15.0,15.0,2.5,2.5,3.0,3.0,0.5,0.5,10.0,10.0,1.7,1.7,0.0,0.0,0.0,0.0,44.0,44.0,7.3,7.3,,
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2021",630.0,630.0,,,140.0,140.0,22.2,22.2,578.0,578.0,91.7,91.7,20.0,20.0,3.2,3.2,2.0,2.0,0.3,0.3,10.0,10.0,1.6,1.6,3.0,3.0,0.5,0.5,5.0,5.0,0.8,0.8,,
India,Jammu and Kashmir,1,"Calendar Year (Jan - Dec), 2022",544.0,544.0,,,97.0,97.0,17.8,17.8,498.0,498.0,91.5,91.5,10.0,10.0,1.8,1.8,2.0,2.0,0.4,0.4,6.0,6.0,1.1,1.1,3.0,3.0,0.6,0.6,3.0,3.0,0.6,0.6,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2017",849.0,849.0,,,,,,,479.0,479.0,56.0,56.0,12.0,12.0,1.0,1.0,,,,,,,,,,,,,337.0,337.0,,,21.0,21.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2018",1113.0,1113.0,,,,,,,917.0,917.0,82.0,82.0,34.0,34.0,3.0,3.0,1.0,1.0,0.0,0.0,27.0,27.0,2.0,2.0,1.0,1.0,0.0,0.0,133.0,133.0,12.0,12.0,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2019",901.0,901.0,270.0,270.0,149.0,149.0,55.0,55.0,786.0,786.0,87.0,87.0,45.0,45.0,5.0,5.0,1.0,1.0,0.1,0.1,21.0,21.0,2.3,2.3,2.0,2.0,0.2,0.2,46.0,46.0,5.1,5.1,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2020",586.0,586.0,214.0,214.0,124.0,124.0,58.0,58.0,469.0,469.0,80.0,80.0,28.0,28.0,4.8,4.8,6.0,6.0,1.0,1.0,22.0,22.0,3.8,3.8,11.0,11.0,1.9,1.9,34.0,34.0,5.8,5.8,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2021",550.0,550.0,,,123.0,123.0,22.4,22.4,463.0,463.0,84.2,84.2,25.0,25.0,4.5,4.5,10.0,10.0,1.8,1.8,11.0,11.0,2.0,2.0,2.0,2.0,0.4,0.4,1.0,1.0,0.2,0.2,,
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2022",462.0,462.0,,,110.0,110.0,23.8,23.8,374.0,374.0,81.0,81.0,14.0,14.0,3.0,3.0,4.0,4.0,0.9,0.9,11.0,11.0,2.4,2.4,6.0,6.0,1.3,1.3,11.0,11.0,2.4,2.4,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2017",6029.0,6029.0,,,,,,,1112.0,1112.0,18.0,18.0,11.0,11.0,0.0,0.0,,,,,,,,,,,,,4844.0,4844.0,,,62.0,62.0
India,Punjab,3,"Calendar Year (Jan - Dec), 2018",9252.0,9252.0,,,,,,,6861.0,6861.0,74.0,74.0,371.0,371.0,4.0,4.0,32.0,32.0,0.0,0.0,535.0,535.0,6.0,6.0,60.0,60.0,1.0,1.0,1393.0,1393.0,15.0,15.0,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2019",13334.0,13334.0,3196.0,3196.0,366.0,366.0,11.0,11.0,10641.0,10641.0,80.0,80.0,887.0,887.0,6.7,6.7,20.0,20.0,0.1,0.1,226.0,226.0,1.7,1.7,33.0,33.0,0.2,0.2,1527.0,1527.0,11.5,11.5,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2020",10726.0,10726.0,3416.0,3416.0,374.0,374.0,11.0,11.0,8325.0,8325.0,78.0,78.0,757.0,757.0,7.1,7.1,28.0,28.0,0.3,0.3,119.0,119.0,1.1,1.1,51.0,51.0,0.5,0.5,989.0,989.0,9.2,9.2,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2021",13305.0,13305.0,,,467.0,467.0,3.5,3.5,11545.0,11545.0,86.8,86.8,755.0,755.0,5.7,5.7,67.0,67.0,0.5,0.5,202.0,202.0,1.5,1.5,65.0,65.0,0.5,0.5,60.0,60.0,0.5,0.5,,
India,Punjab,3,"Calendar Year (Jan - Dec), 2022",9614.0,9614.0,,,342.0,342.0,3.6,3.6,8183.0,8183.0,85.1,85.1,615.0,615.0,6.4,6.4,23.0,23.0,0.2,0.2,81.0,81.0,0.8,0.8,21.0,21.0,0.2,0.2,41.0,41.0,0.4,0.4,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2017",228.0,228.0,,,,,,,12.0,12.0,5.0,5.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,213.0,213.0,,,1.0,1.0
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2018",72.0,72.0,,,,,,,56.0,56.0,78.0,78.0,4.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,14.0,14.0,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2019",87.0,87.0,42.0,42.0,7.0,7.0,17.0,17.0,58.0,58.0,67.0,67.0,2.0,2.0,2.3,2.3,0.0,0.0,0.0,0.0,5.0,5.0,5.7,5.7,0.0,0.0,0.0,0.0,22.0,22.0,25.3,25.3,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2020",205.0,205.0,89.0,89.0,34.0,34.0,38.0,38.0,132.0,132.0,64.0,64.0,10.0,10.0,4.9,4.9,0.0,0.0,0.0,0.0,5.0,5.0,2.4,2.4,2.0,2.0,1.0,1.0,23.0,23.0,11.2,11.2,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2021",103.0,103.0,,,15.0,15.0,14.6,14.6,58.0,58.0,56.3,56.3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.9,1.9,1.0,1.0,1.0,1.0,6.0,6.0,5.8,5.8,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2022",71.0,71.0,,,10.0,10.0,14.1,14.1,34.0,34.0,47.9,47.9,2.0,2.0,2.8,2.8,0.0,0.0,0.0,0.0,3.0,3.0,4.2,4.2,2.0,2.0,2.8,2.8,6.0,6.0,8.5,8.5,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2017",3917.0,3917.0,,,,,,,3428.0,3428.0,88.0,88.0,4.0,4.0,0.0,0.0,,,,,,,,,,,,,466.0,466.0,,,19.0,19.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2018",3931.0,3931.0,,,,,,,3544.0,3544.0,90.0,90.0,41.0,41.0,1.0,1.0,9.0,9.0,0.0,0.0,188.0,188.0,5.0,5.0,5.0,5.0,0.0,0.0,144.0,144.0,4.0,4.0,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2019",5273.0,5273.0,1515.0,1515.0,141.0,141.0,9.0,9.0,4325.0,4325.0,82.0,82.0,108.0,108.0,2.0,2.0,9.0,9.0,0.2,0.2,300.0,300.0,5.7,5.7,18.0,18.0,0.3,0.3,513.0,513.0,9.7,9.7,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2020",4689.0,4689.0,1090.0,1090.0,116.0,116.0,11.0,11.0,3675.0,3675.0,78.0,78.0,154.0,154.0,3.3,3.3,30.0,30.0,0.6,0.6,215.0,215.0,4.6,4.6,35.0,35.0,0.7,0.7,396.0,396.0,8.4,8.4,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2021",4401.0,4401.0,,,105.0,105.0,2.4,2.4,3961.0,3961.0,90.0,90.0,80.0,80.0,1.8,1.8,20.0,20.0,0.5,0.5,103.0,103.0,2.3,2.3,19.0,19.0,0.4,0.4,27.0,27.0,0.6,0.6,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2022",4668.0,4668.0,,,140.0,140.0,3.0,3.0,4035.0,4035.0,86.4,86.4,73.0,73.0,1.6,1.6,14.0,14.0,0.3,0.3,91.0,91.0,1.9,1.9,19.0,19.0,0.4,0.4,18.0,18.0,0.4,0.4,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2017",6757.0,6757.0,,,,,,,3605.0,3605.0,53.0,53.0,39.0,39.0,1.0,1.0,,,,,,,,,,,,,2694.0,2694.0,,,419.0,419.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2018",13709.0,13709.0,,,,,,,9909.0,9909.0,72.0,72.0,275.0,275.0,2.0,2.0,56.0,56.0,0.0,0.0,976.0,976.0,7.0,7.0,21.0,21.0,0.0,0.0,2472.0,2472.0,18.0,18.0,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2019",19558.0,19558.0,5654.0,5654.0,2134.0,2134.0,38.0,38.0,13667.0,13667.0,70.0,70.0,630.0,630.0,3.2,3.2,108.0,108.0,0.6,0.6,1584.0,1584.0,8.1,8.1,78.0,78.0,0.4,0.4,3491.0,3491.0,17.8,17.8,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2020",18041.0,18041.0,5519.0,5519.0,1768.0,1768.0,32.0,32.0,13620.0,13620.0,75.0,75.0,722.0,722.0,4.0,4.0,98.0,98.0,0.5,0.5,1003.0,1003.0,5.6,5.6,95.0,95.0,0.5,0.5,1589.0,1589.0,8.8,8.8,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2021",18697.0,18697.0,,,1896.0,1896.0,10.1,10.1,15682.0,15682.0,83.9,83.9,721.0,721.0,3.9,3.9,66.0,66.0,0.4,0.4,528.0,528.0,2.8,2.8,107.0,107.0,0.6,0.6,700.0,700.0,3.7,3.7,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2022",16835.0,16835.0,,,2515.0,2515.0,14.9,14.9,14565.0,14565.0,86.5,86.5,439.0,439.0,2.6,2.6,58.0,58.0,0.3,0.3,376.0,376.0,2.2,2.2,92.0,92.0,0.5,0.5,141.0,141.0,0.8,0.8,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2017",6808.0,6808.0,,,,,,,11.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,6794.0,6794.0,,,2.0,2.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2018",9250.0,9250.0,,,,,,,3474.0,3474.0,38.0,38.0,193.0,193.0,2.0,2.0,17.0,17.0,0.0,0.0,698.0,698.0,8.0,8.0,30.0,30.0,0.0,0.0,4838.0,4838.0,52.0,52.0,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2019",25881.0,25881.0,9450.0,9450.0,79.0,79.0,1.0,1.0,14460.0,14460.0,56.0,56.0,850.0,850.0,3.3,3.3,30.0,30.0,0.1,0.1,1243.0,1243.0,4.8,4.8,138.0,138.0,0.5,0.5,9160.0,9160.0,35.4,35.4,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2020",18207.0,18207.0,7638.0,7638.0,68.0,68.0,1.0,1.0,11461.0,11461.0,63.0,63.0,678.0,678.0,3.7,3.7,44.0,44.0,0.2,0.2,847.0,847.0,4.7,4.7,100.0,100.0,0.5,0.5,572.0,572.0,3.1,3.1,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2021",16845.0,16845.0,,,257.0,257.0,1.5,1.5,10119.0,10119.0,60.1,60.1,618.0,618.0,3.7,3.7,43.0,43.0,0.3,0.3,1134.0,1134.0,6.7,6.7,96.0,96.0,0.6,0.6,337.0,337.0,2.0,2.0,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2022",9959.0,9959.0,,,176.0,176.0,1.8,1.8,5027.0,5027.0,50.5,50.5,207.0,207.0,2.1,2.1,49.0,49.0,0.5,0.5,665.0,665.0,6.7,6.7,43.0,43.0,0.4,0.4,388.0,388.0,3.9,3.9,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2017",23446.0,23446.0,,,,,,,8825.0,8825.0,38.0,38.0,85.0,85.0,0.0,0.0,,,,,,,,,,,,,12819.0,12819.0,,,1717.0,1717.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2018",43423.0,43423.0,,,,,,,27762.0,27762.0,64.0,64.0,378.0,378.0,1.0,1.0,244.0,244.0,1.0,1.0,2494.0,2494.0,6.0,6.0,62.0,62.0,0.0,0.0,12483.0,12483.0,29.0,29.0,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2019",52084.0,52084.0,9444.0,9444.0,2534.0,2534.0,27.0,27.0,40006.0,40006.0,77.0,77.0,882.0,882.0,1.7,1.7,340.0,340.0,0.7,0.7,3025.0,3025.0,5.8,5.8,144.0,144.0,0.3,0.3,7687.0,7687.0,14.8,14.8,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2020",40097.0,40097.0,6714.0,6714.0,1493.0,1493.0,22.0,22.0,33213.0,33213.0,83.0,83.0,1289.0,1289.0,3.2,3.2,241.0,241.0,0.6,0.6,2655.0,2655.0,6.6,6.6,215.0,215.0,0.5,0.5,1082.0,1082.0,2.7,2.7,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2021",43316.0,43316.0,,,2013.0,2013.0,4.6,4.6,37537.0,37537.0,86.7,86.7,1114.0,1114.0,2.6,2.6,196.0,196.0,0.5,0.5,2195.0,2195.0,5.1,5.1,233.0,233.0,0.5,0.5,726.0,726.0,1.7,1.7,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2022",38443.0,38443.0,,,2638.0,2638.0,6.9,6.9,34989.0,34989.0,91.0,91.0,505.0,505.0,1.3,1.3,355.0,355.0,0.9,0.9,1235.0,1235.0,3.2,3.2,207.0,207.0,0.5,0.5,97.0,97.0,0.3,0.3,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2017",67461.0,67461.0,,,,,,,4518.0,4518.0,7.0,7.0,30.0,30.0,0.0,0.0,,,,,,,,,,,,,57021.0,57021.0,,,5892.0,5892.0
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2018",98398.0,98398.0,,,,,,,64218.0,64218.0,65.0,65.0,1949.0,1949.0,2.0,2.0,569.0,569.0,1.0,1.0,7390.0,7390.0,8.0,8.0,186.0,186.0,0.0,0.0,24086.0,24086.0,24.0,24.0,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2019",143062.0,143062.0,12742.0,12742.0,2074.0,2074.0,16.0,16.0,119096.0,119096.0,83.0,83.0,6315.0,6315.0,4.4,4.4,995.0,995.0,0.7,0.7,7151.0,7151.0,5.0,5.0,865.0,865.0,0.6,0.6,8640.0,8640.0,6.0,6.0,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2020",106478.0,106478.0,9210.0,9210.0,4051.0,4051.0,44.0,44.0,90082.0,90082.0,85.0,85.0,5178.0,5178.0,4.9,4.9,548.0,548.0,0.5,0.5,3869.0,3869.0,3.6,3.6,1055.0,1055.0,1.0,1.0,1897.0,1897.0,1.8,1.8,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2021",114690.0,114690.0,,,3766.0,3766.0,3.3,3.3,100899.0,100899.0,88.0,88.0,4014.0,4014.0,3.5,3.5,539.0,539.0,0.5,0.5,3634.0,3634.0,3.2,3.2,1055.0,1055.0,0.9,0.9,983.0,983.0,0.9,0.9,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2022",114932.0,114932.0,,,4101.0,4101.0,3.6,3.6,106416.0,106416.0,92.6,92.6,2245.0,2245.0,2.0,2.0,484.0,484.0,0.4,0.4,1582.0,1582.0,1.4,1.4,856.0,856.0,0.7,0.7,764.0,764.0,0.7,0.7,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2017",45426.0,45426.0,,,,,,,12654.0,12654.0,28.0,28.0,777.0,777.0,2.0,2.0,,,,,,,,,,,,,28036.0,28036.0,,,3959.0,3959.0
India,Bihar,10,"Calendar Year (Jan - Dec), 2018",40327.0,40327.0,,,,,,,25195.0,25195.0,62.0,62.0,979.0,979.0,2.0,2.0,163.0,163.0,0.0,0.0,1850.0,1850.0,5.0,5.0,174.0,174.0,0.0,0.0,11966.0,11966.0,30.0,30.0,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2019",45652.0,45652.0,4854.0,4854.0,969.0,969.0,20.0,20.0,34941.0,34941.0,77.0,77.0,1094.0,1094.0,2.4,2.4,234.0,234.0,0.5,0.5,1290.0,1290.0,2.8,2.8,177.0,177.0,0.4,0.4,7916.0,7916.0,17.3,17.3,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2020",47070.0,47070.0,4678.0,4678.0,478.0,478.0,10.0,10.0,38550.0,38550.0,82.0,82.0,2031.0,2031.0,4.3,4.3,231.0,231.0,0.5,0.5,1642.0,1642.0,3.5,3.5,435.0,435.0,0.9,0.9,3261.0,3261.0,6.9,6.9,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2021",70993.0,70993.0,,,533.0,533.0,0.8,0.8,61796.0,61796.0,87.0,87.0,3228.0,3228.0,4.5,4.5,256.0,256.0,0.4,0.4,2568.0,2568.0,3.6,3.6,469.0,469.0,0.7,0.7,1356.0,1356.0,1.9,1.9,,
India,Bihar,10,"Calendar Year (Jan - Dec), 2022",84068.0,84068.0,,,676.0,676.0,0.8,0.8,74252.0,74252.0,88.3,88.3,3323.0,3323.0,4.0,4.0,320.0,320.0,0.4,0.4,4556.0,4556.0,5.4,5.4,501.0,501.0,0.6,0.6,259.0,259.0,0.3,0.3,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2017",39.0,39.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,39.0,39.0,,,0.0,0.0
India,Sikkim,11,"Calendar Year (Jan - Dec), 2018",27.0,27.0,,,,,,,13.0,13.0,48.0,48.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,48.0,48.0,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2019",26.0,26.0,7.0,7.0,0.0,0.0,0.0,0.0,23.0,23.0,88.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,11.5,11.5,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2020",74.0,74.0,29.0,29.0,9.0,9.0,31.0,31.0,66.0,66.0,89.0,89.0,2.0,2.0,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.7,2.7,0.0,0.0,0.0,0.0,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2021",84.0,84.0,,,31.0,31.0,36.9,36.9,79.0,79.0,94.0,94.0,2.0,2.0,2.4,2.4,0.0,0.0,0.0,0.0,3.0,3.0,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
India,Sikkim,11,"Calendar Year (Jan - Dec), 2022",57.0,57.0,,,27.0,27.0,47.4,47.4,54.0,54.0,94.7,94.7,2.0,2.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2017",15.0,15.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,15.0,15.0,,,0.0,0.0
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2018",8.0,8.0,,,,,,,4.0,4.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,50.0,50.0,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2019",46.0,46.0,7.0,7.0,2.0,2.0,29.0,29.0,19.0,19.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.3,4.3,1.0,1.0,2.2,2.2,24.0,24.0,52.2,52.2,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2020",4.0,4.0,0.0,0.0,,,,,1.0,1.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,25.0,,
India,Arunachal Pradesh,12,"Calendar Year (Jan - Dec), 2022",6.0,6.0,,,1.0,1.0,16.7,16.7,2.0,2.0,33.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.7,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2018",748.0,748.0,,,,,,,278.0,278.0,37.0,37.0,22.0,22.0,3.0,3.0,1.0,1.0,0.0,0.0,28.0,28.0,4.0,4.0,10.0,10.0,1.0,1.0,409.0,409.0,55.0,55.0,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2019",708.0,708.0,83.0,83.0,25.0,25.0,30.0,30.0,523.0,523.0,74.0,74.0,26.0,26.0,3.7,3.7,0.0,0.0,0.0,0.0,32.0,32.0,4.5,4.5,6.0,6.0,0.8,0.8,121.0,121.0,17.1,17.1,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2020",674.0,674.0,60.0,60.0,18.0,18.0,30.0,30.0,547.0,547.0,81.0,81.0,17.0,17.0,2.5,2.5,0.0,0.0,0.0,0.0,25.0,25.0,3.7,3.7,0.0,0.0,0.0,0.0,84.0,84.0,12.5,12.5,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2021",534.0,534.0,,,11.0,11.0,2.1,2.1,456.0,456.0,85.4,85.4,28.0,28.0,5.2,5.2,0.0,0.0,0.0,0.0,22.0,22.0,4.1,4.1,0.0,0.0,0.0,0.0,21.0,21.0,3.9,3.9,,
India,Nagaland,13,"Calendar Year (Jan - Dec), 2022",378.0,378.0,,,13.0,13.0,3.4,3.4,334.0,334.0,88.4,88.4,2.0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,17.0,17.0,4.5,4.5,1.0,1.0,0.3,0.3,17.0,17.0,4.5,4.5,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2017",1123.0,1123.0,,,,,,,490.0,490.0,44.0,44.0,13.0,13.0,1.0,1.0,,,,,,,,,,,,,600.0,600.0,,,20.0,20.0
India,Manipur,14,"Calendar Year (Jan - Dec), 2018",650.0,650.0,,,,,,,515.0,515.0,79.0,79.0,10.0,10.0,2.0,2.0,1.0,1.0,0.0,0.0,23.0,23.0,4.0,4.0,2.0,2.0,0.0,0.0,99.0,99.0,15.0,15.0,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2019",373.0,373.0,183.0,183.0,23.0,23.0,13.0,13.0,238.0,238.0,64.0,64.0,4.0,4.0,1.1,1.1,0.0,0.0,0.0,0.0,20.0,20.0,5.4,5.4,2.0,2.0,0.5,0.5,109.0,109.0,29.2,29.2,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2020",177.0,177.0,88.0,88.0,12.0,12.0,14.0,14.0,113.0,113.0,64.0,64.0,7.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0,2.8,2.8,0.0,0.0,0.0,0.0,14.0,14.0,7.9,7.9,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2021",183.0,183.0,,,41.0,41.0,22.4,22.4,130.0,130.0,71.0,71.0,3.0,3.0,1.6,1.6,1.0,1.0,0.5,0.5,6.0,6.0,3.3,3.3,3.0,3.0,1.6,1.6,2.0,2.0,1.1,1.1,,
India,Manipur,14,"Calendar Year (Jan - Dec), 2022",243.0,243.0,,,33.0,33.0,13.6,13.6,104.0,104.0,42.8,42.8,4.0,4.0,1.6,1.6,0.0,0.0,0.0,0.0,11.0,11.0,4.5,4.5,1.0,1.0,0.4,0.4,2.0,2.0,0.8,0.8,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2017",62.0,62.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,62.0,62.0,,,0.0,0.0
India,Mizoram,15,"Calendar Year (Jan - Dec), 2018",50.0,50.0,,,,,,,17.0,17.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,32.0,32.0,64.0,64.0,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2019",54.0,54.0,29.0,29.0,8.0,8.0,28.0,28.0,26.0,26.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9,1.9,2.0,2.0,3.7,3.7,25.0,25.0,46.3,46.3,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2020",157.0,157.0,64.0,64.0,46.0,46.0,72.0,72.0,137.0,137.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.5,2.5,2.0,2.0,1.3,1.3,3.0,3.0,1.9,1.9,,
