Country,StateName,StateCode,Year,Number_of_tuberculosistb_patients_notified_sum,Number_of_tuberculosistb_patients_notified_avg,Number_tuberculosistb_cases_confirmed_bacteriologically_sum,Number_tuberculosistb_cases_confirmed_bacteriologically_avg,Number_of_patients_cured_from_tuberculosistb_sum,Number_of_patients_cured_from_tuberculosistb_avg,Percentage_of_patients_cured_from_tuberculosistb_sum,Percentage_of_patients_cured_from_tuberculosistb_avg,Number_of_successful_treatments_for_tuberculosistb_sum,Number_of_successful_treatments_for_tuberculosistb_avg,Percentage_of_successful_treatments_for_tuberculosistb_sum,Percentage_of_successful_treatments_for_tuberculosistb_avg,Number_of_patients_died_due_to_tuberculosistb_sum,Number_of_patients_died_due_to_tuberculosistb_avg,Percentage_of_deaths_due_to_tuberculosistb_sum,Percentage_of_deaths_due_to_tuberculosistb_avg,Number_of_failed_treatments_for_tuberculosistb_sum,Number_of_failed_treatments_for_tuberculosistb_avg,Percentage_of_failed_treatments_for_tuberculosistb_sum,Percentage_of_failed_treatments_for_tuberculosistb_avg,Number_of_tuberculosistb_cases_lost_to_followup_sum,Number_of_tuberculosistb_cases_lost_to_followup_avg,Percentage_of_tuberculosistb_cases_lost_to_followup_sum,Percentage_of_tuberculosistb_cases_lost_to_followup_avg,Number_of_regimen_change_in_tuberculosistb_cases_sum,Number_of_regimen_change_in_tuberculosistb_cases_avg,Percentage_of_regimen_change_in_tuberculosistb_cases_sum,Percentage_of_regimen_change_in_tuberculosistb_cases_avg,Number_of_tuberculosistb_cases_not_evaluated_sum,Number_of_tuberculosistb_cases_not_evaluated_avg,Percentage_of_tuberculosistb_cases_not_evaluated_sum,Percentage_of_tuberculosistb_cases_not_evaluated_avg,Others_sum,Others_avg
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2017",0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2020",0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2022",0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Kerala,32,"Calendar Year (Jan - Dec), 2017",6470.0,6470.0,,,,,,,4550.0,4550.0,70.0,70.0,80.0,80.0,1.0,1.0,,,,,,,,,,,,,1122.0,1122.0,,,718.0,718.0
India,Kerala,32,"Calendar Year (Jan - Dec), 2019",3399.0,3399.0,1420.0,1420.0,688.0,688.0,48.0,48.0,2755.0,2755.0,81.0,81.0,245.0,245.0,7.2,7.2,13.0,13.0,0.4,0.4,66.0,66.0,1.9,1.9,30.0,30.0,0.9,0.9,290.0,290.0,8.5,8.5,,
India,Kerala,32,"Calendar Year (Jan - Dec), 2020",2945.0,2945.0,1463.0,1463.0,576.0,576.0,39.0,39.0,2311.0,2311.0,78.0,78.0,289.0,289.0,9.8,9.8,10.0,10.0,0.3,0.3,61.0,61.0,2.1,2.1,18.0,18.0,0.6,0.6,34.0,34.0,1.2,1.2,,
India,Kerala,32,"Calendar Year (Jan - Dec), 2021",3121.0,3121.0,,,553.0,553.0,17.7,17.7,2235.0,2235.0,71.6,71.6,295.0,295.0,9.5,9.5,16.0,16.0,0.5,0.5,89.0,89.0,2.9,2.9,28.0,28.0,0.9,0.9,127.0,127.0,4.1,4.1,,
India,Kerala,32,"Calendar Year (Jan - Dec), 2022",2858.0,2858.0,,,457.0,457.0,16.0,16.0,2146.0,2146.0,75.1,75.1,264.0,264.0,9.2,9.2,8.0,8.0,0.3,0.3,123.0,123.0,4.3,4.3,32.0,32.0,1.1,1.1,26.0,26.0,0.9,0.9,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2017",20701.0,20701.0,,,,,,,11409.0,11409.0,55.0,55.0,87.0,87.0,0.0,0.0,,,,,,,,,,,,,8517.0,8517.0,,,688.0,688.0
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2018",26129.0,26129.0,,,,,,,21400.0,21400.0,82.0,82.0,281.0,281.0,1.0,1.0,76.0,76.0,0.0,0.0,568.0,568.0,2.0,2.0,61.0,61.0,0.0,0.0,3743.0,3743.0,14.0,14.0,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2019",28222.0,28222.0,8884.0,8884.0,2823.0,2823.0,32.0,32.0,23000.0,23000.0,81.0,81.0,709.0,709.0,2.5,2.5,56.0,56.0,0.2,0.2,773.0,773.0,2.7,2.7,71.0,71.0,0.3,0.3,3613.0,3613.0,12.8,12.8,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2020",14960.0,14960.0,5817.0,5817.0,1869.0,1869.0,32.0,32.0,12356.0,12356.0,83.0,83.0,613.0,613.0,4.1,4.1,39.0,39.0,0.3,0.3,535.0,535.0,3.6,3.6,121.0,121.0,0.8,0.8,696.0,696.0,4.7,4.7,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2021",15910.0,15910.0,,,2126.0,2126.0,13.4,13.4,13220.0,13220.0,83.1,83.1,573.0,573.0,3.6,3.6,43.0,43.0,0.3,0.3,614.0,614.0,3.9,3.9,142.0,142.0,0.9,0.9,384.0,384.0,2.4,2.4,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2022",17720.0,17720.0,,,2420.0,2420.0,13.7,13.7,15735.0,15735.0,88.8,88.8,567.0,567.0,3.2,3.2,68.0,68.0,0.4,0.4,443.0,443.0,2.5,2.5,134.0,134.0,0.8,0.8,118.0,118.0,0.7,0.7,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2017",10.0,10.0,,,,,,,10.0,10.0,100.0,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0
