Country,StateName,StateCode,Year,I1278_3_sum,I1278_3_avg,I1278_4_sum,I1278_4_avg,I1278_5_sum,I1278_5_avg,I1278_6_sum,I1278_6_avg,I1278_7_sum,I1278_7_avg,I1278_8_sum,I1278_8_avg,I1278_9_sum,I1278_9_avg,I1278_10_sum,I1278_10_avg,I1278_11_sum,I1278_11_avg,I1278_12_sum,I1278_12_avg,I1278_13_sum,I1278_13_avg,I1278_14_sum,I1278_14_avg,I1278_15_sum,I1278_15_avg,I1278_16_sum,I1278_16_avg,I1278_17_sum,I1278_17_avg,I1278_18_sum,I1278_18_avg
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2020",2829.0,2829.0,950.0,950.0,2278.0,2278.0,129.0,129.0,104.0,104.0,14.0,14.0,53.0,53.0,64.0,64.0,69.0,69.0,81.0,81.0,4.6,4.6,3.7,3.7,0.5,0.5,1.9,1.9,2.3,2.3,1380.0,1380.0
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2021",3145.0,3145.0,1070.0,1070.0,2646.0,2646.0,117.0,117.0,97.0,97.0,31.0,31.0,68.0,68.0,22.0,22.0,34.0,34.0,84.1,84.1,3.7,3.7,3.1,3.1,1.0,1.0,2.2,2.2,0.7,0.7,,
India,Chandigarh,4,"Calendar Year (Jan - Dec), 2022",3687.0,3687.0,1282.0,1282.0,3067.0,3067.0,149.0,149.0,111.0,111.0,29.0,29.0,65.0,65.0,18.0,18.0,34.8,34.8,83.2,83.2,4.0,4.0,3.0,3.0,0.8,0.8,1.8,1.8,0.5,0.5,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2018",20561.0,20561.0,6031.0,6031.0,17526.0,17526.0,690.0,690.0,921.0,921.0,116.0,116.0,205.0,205.0,1103.0,1103.0,66.0,66.0,85.0,85.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,5.0,5.0,9106.0,9106.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2019",24504.0,24504.0,6024.0,6024.0,20510.0,20510.0,894.0,894.0,925.0,925.0,124.0,124.0,363.0,363.0,1688.0,1688.0,56.0,56.0,84.0,84.0,3.6,3.6,3.8,3.8,0.5,0.5,1.5,1.5,6.9,6.9,10720.0,10720.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2020",19681.0,19681.0,4267.0,4267.0,16412.0,16412.0,743.0,743.0,614.0,614.0,104.0,104.0,350.0,350.0,595.0,595.0,52.0,52.0,83.0,83.0,3.8,3.8,3.1,3.1,0.5,0.5,1.8,1.8,3.0,3.0,8142.0,8142.0
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2021",23231.0,23231.0,5841.0,5841.0,20149.0,20149.0,863.0,863.0,566.0,566.0,168.0,168.0,291.0,291.0,121.0,121.0,25.1,25.1,86.7,86.7,3.7,3.7,2.4,2.4,0.7,0.7,1.3,1.3,0.5,0.5,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2022",26875.0,26875.0,8227.0,8227.0,23515.0,23515.0,926.0,926.0,617.0,617.0,186.0,186.0,298.0,298.0,57.0,57.0,30.6,30.6,87.5,87.5,3.4,3.4,2.3,2.3,0.7,0.7,1.1,1.1,0.2,0.2,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2018",61983.0,61983.0,23569.0,23569.0,51081.0,51081.0,2284.0,2284.0,2602.0,2602.0,614.0,614.0,392.0,392.0,5010.0,5010.0,71.0,71.0,82.0,82.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,8.0,8.0,33329.0,33329.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2019",72370.0,72370.0,24466.0,24466.0,56861.0,56861.0,2809.0,2809.0,3000.0,3000.0,533.0,533.0,424.0,424.0,8743.0,8743.0,62.0,62.0,79.0,79.0,3.9,3.9,4.1,4.1,0.7,0.7,0.6,0.6,12.1,12.1,39556.0,39556.0
