Country,StateName,StateCode,Year,TRU,D7298_3,D7298_4,Average_out_of_pocket_medical_expenditure_per_hospitalisation_case_for_treatment_during_stay_at_hospital_sum,Average_out_of_pocket_medical_expenditure_per_hospitalisation_case_for_treatment_during_stay_at_hospital_avg,Estimated_number_of_hospitalisation_cases_sum,Estimated_number_of_hospitalisation_cases_avg,Sample_number_of_hospitalisation_cases_sum,Sample_number_of_hospitalisation_cases_avg
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Total,Male,Govt./Public,4061.0,4061.0,1389.0,1389.0,795.0,795.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Total,Male,Private,33738.0,33738.0,1389.0,1389.0,795.0,795.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Total,Male,all (incl.n.r),23303.0,23303.0,1389.0,1389.0,795.0,795.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Total,Person,Charitable/NGO/trust run,31161.0,31161.0,1389.0,1389.0,795.0,795.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Total,Person,Govt./Public,3001.0,3001.0,1389.0,1389.0,795.0,795.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Total,Person,Private,26196.0,26196.0,1389.0,1389.0,795.0,795.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Total,Person,all (incl.n.r),17960.0,17960.0,1389.0,1389.0,795.0,795.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Charitable/NGO/trust run,11301.0,11301.0,492.0,492.0,362.0,362.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Govt./Public,1758.0,1758.0,492.0,492.0,362.0,362.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Private,23606.0,23606.0,492.0,492.0,362.0,362.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Urban,Female,all (incl.n.r),18683.0,18683.0,492.0,492.0,362.0,362.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Charitable/NGO/trust run,44756.0,44756.0,492.0,492.0,362.0,362.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Govt./Public,5609.0,5609.0,492.0,492.0,362.0,362.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Private,30235.0,30235.0,492.0,492.0,362.0,362.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Urban,Male,all (incl.n.r),24262.0,24262.0,492.0,492.0,362.0,362.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Charitable/NGO/trust run,32804.0,32804.0,492.0,492.0,362.0,362.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Govt./Public,4143.0,4143.0,492.0,492.0,362.0,362.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Private,27500.0,27500.0,492.0,492.0,362.0,362.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Urban,Person,all (incl.n.r),22005.0,22005.0,492.0,492.0,362.0,362.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Charitable/NGO/trust run,11669.0,11669.0,4861.0,4861.0,930.0,930.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Govt./Public,6268.0,6268.0,4861.0,4861.0,930.0,930.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Private,21033.0,21033.0,4861.0,4861.0,930.0,930.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Rural,Female,all (incl.n.r),13647.0,13647.0,4861.0,4861.0,930.0,930.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Charitable/NGO/trust run,10450.0,10450.0,4861.0,4861.0,930.0,930.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Govt./Public,8541.0,8541.0,4861.0,4861.0,930.0,930.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Private,26582.0,26582.0,4861.0,4861.0,930.0,930.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Rural,Male,all (incl.n.r),21683.0,21683.0,4861.0,4861.0,930.0,930.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Charitable/NGO/trust run,11099.0,11099.0,4861.0,4861.0,930.0,930.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Govt./Public,7156.0,7156.0,4861.0,4861.0,930.0,930.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Private,24561.0,24561.0,4861.0,4861.0,930.0,930.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Rural,Person,all (incl.n.r),18017.0,18017.0,4861.0,4861.0,930.0,930.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Total,Female,Charitable/NGO/trust run,9591.0,9591.0,7505.0,7505.0,1732.0,1732.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Total,Female,Govt./Public,6633.0,6633.0,7505.0,7505.0,1732.0,1732.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Total,Female,Private,20711.0,20711.0,7505.0,7505.0,1732.0,1732.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Total,Female,all (incl.n.r),15029.0,15029.0,7505.0,7505.0,1732.0,1732.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Total,Male,Charitable/NGO/trust run,29386.0,29386.0,7505.0,7505.0,1732.0,1732.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Total,Male,Govt./Public,7707.0,7707.0,7505.0,7505.0,1732.0,1732.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Total,Male,Private,27408.0,27408.0,7505.0,7505.0,1732.0,1732.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Total,Male,all (incl.n.r),22623.0,22623.0,7505.0,7505.0,1732.0,1732.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Total,Person,Charitable/NGO/trust run,20060.0,20060.0,7505.0,7505.0,1732.0,1732.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Total,Person,Govt./Public,7090.0,7090.0,7505.0,7505.0,1732.0,1732.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Total,Person,Private,24706.0,24706.0,7505.0,7505.0,1732.0,1732.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Total,Person,all (incl.n.r),19147.0,19147.0,7505.0,7505.0,1732.0,1732.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Charitable/NGO/trust run,8584.0,8584.0,2643.0,2643.0,802.0,802.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Govt./Public,8271.0,8271.0,2643.0,2643.0,802.0,802.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Private,20331.0,20331.0,2643.0,2643.0,802.0,802.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Urban,Female,all (incl.n.r),17547.0,17547.0,2643.0,2643.0,802.0,802.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Charitable/NGO/trust run,35866.0,35866.0,2643.0,2643.0,802.0,802.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Govt./Public,5690.0,5690.0,2643.0,2643.0,802.0,802.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Private,28866.0,28866.0,2643.0,2643.0,802.0,802.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Urban,Male,all (incl.n.r),24366.0,24366.0,2643.0,2643.0,802.0,802.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Charitable/NGO/trust run,23695.0,23695.0,2643.0,2643.0,802.0,802.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Govt./Public,6870.0,6870.0,2643.0,2643.0,802.0,802.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Private,24924.0,24924.0,2643.0,2643.0,802.0,802.0
India,Haryana,6,"Agriculture Year (Jul - Jun), 2017",Urban,Person,all (incl.n.r),21227.0,21227.0,2643.0,2643.0,802.0,802.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Charitable/NGO/trust run,0.0,0.0,216.0,216.0,42.0,42.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Govt./Public,1359.0,1359.0,216.0,216.0,42.0,42.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Private,14228.0,14228.0,216.0,216.0,42.0,42.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Rural,Female,all (incl.n.r),5189.0,5189.0,216.0,216.0,42.0,42.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Charitable/NGO/trust run,0.0,0.0,216.0,216.0,42.0,42.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Govt./Public,3944.0,3944.0,216.0,216.0,42.0,42.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Private,35004.0,35004.0,216.0,216.0,42.0,42.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Rural,Male,all (incl.n.r),6481.0,6481.0,216.0,216.0,42.0,42.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Charitable/NGO/trust run,0.0,0.0,216.0,216.0,42.0,42.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Govt./Public,3378.0,3378.0,216.0,216.0,42.0,42.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Private,23125.0,23125.0,216.0,216.0,42.0,42.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Rural,Person,all (incl.n.r),6135.0,6135.0,216.0,216.0,42.0,42.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Total,Female,Charitable/NGO/trust run,22138.0,22138.0,5137.0,5137.0,750.0,750.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Total,Female,Govt./Public,2768.0,2768.0,5137.0,5137.0,750.0,750.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Total,Female,Private,38020.0,38020.0,5137.0,5137.0,750.0,750.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Total,Female,all (incl.n.r),18798.0,18798.0,5137.0,5137.0,750.0,750.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Total,Male,Charitable/NGO/trust run,15672.0,15672.0,5137.0,5137.0,750.0,750.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Total,Male,Govt./Public,1729.0,1729.0,5137.0,5137.0,750.0,750.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Total,Male,Private,48835.0,48835.0,5137.0,5137.0,750.0,750.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Total,Male,all (incl.n.r),15918.0,15918.0,5137.0,5137.0,750.0,750.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Total,Person,Charitable/NGO/trust run,19060.0,19060.0,5137.0,5137.0,750.0,750.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Total,Person,Govt./Public,2160.0,2160.0,5137.0,5137.0,750.0,750.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Total,Person,Private,42597.0,42597.0,5137.0,5137.0,750.0,750.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Total,Person,all (incl.n.r),17289.0,17289.0,5137.0,5137.0,750.0,750.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Charitable/NGO/trust run,22138.0,22138.0,4922.0,4922.0,708.0,708.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Govt./Public,2813.0,2813.0,4922.0,4922.0,708.0,708.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Private,38401.0,38401.0,4922.0,4922.0,708.0,708.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Urban,Female,all (incl.n.r),19128.0,19128.0,4922.0,4922.0,708.0,708.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Charitable/NGO/trust run,15672.0,15672.0,4922.0,4922.0,708.0,708.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Govt./Public,1542.0,1542.0,4922.0,4922.0,708.0,708.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Private,49061.0,49061.0,4922.0,4922.0,708.0,708.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Urban,Male,all (incl.n.r),16506.0,16506.0,4922.0,4922.0,708.0,708.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Charitable/NGO/trust run,19060.0,19060.0,4922.0,4922.0,708.0,708.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Govt./Public,2084.0,2084.0,4922.0,4922.0,708.0,708.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Private,42912.0,42912.0,4922.0,4922.0,708.0,708.0
India,Delhi,7,"Agriculture Year (Jul - Jun), 2017",Urban,Person,all (incl.n.r),17777.0,17777.0,4922.0,4922.0,708.0,708.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Charitable/NGO/trust run,12467.0,12467.0,12345.0,12345.0,1825.0,1825.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Govt./Public,4306.0,4306.0,12345.0,12345.0,1825.0,1825.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Private,20534.0,20534.0,12345.0,12345.0,1825.0,1825.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Rural,Female,all (incl.n.r),12447.0,12447.0,12345.0,12345.0,1825.0,1825.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Charitable/NGO/trust run,11067.0,11067.0,12345.0,12345.0,1825.0,1825.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Govt./Public,9642.0,9642.0,12345.0,12345.0,1825.0,1825.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Private,28699.0,28699.0,12345.0,12345.0,1825.0,1825.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Rural,Male,all (incl.n.r),18566.0,18566.0,12345.0,12345.0,1825.0,1825.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Charitable/NGO/trust run,11780.0,11780.0,12345.0,12345.0,1825.0,1825.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Govt./Public,7309.0,7309.0,12345.0,12345.0,1825.0,1825.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Private,24897.0,24897.0,12345.0,12345.0,1825.0,1825.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Rural,Person,all (incl.n.r),15802.0,15802.0,12345.0,12345.0,1825.0,1825.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Total,Female,Charitable/NGO/trust run,17002.0,17002.0,16596.0,16596.0,2982.0,2982.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Total,Female,Govt./Public,4889.0,4889.0,16596.0,16596.0,2982.0,2982.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Total,Female,Private,21201.0,21201.0,16596.0,16596.0,2982.0,2982.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Total,Female,all (incl.n.r),12954.0,12954.0,16596.0,16596.0,2982.0,2982.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Total,Male,Charitable/NGO/trust run,13133.0,13133.0,16596.0,16596.0,2982.0,2982.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Total,Male,Govt./Public,8833.0,8833.0,16596.0,16596.0,2982.0,2982.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Total,Male,Private,29519.0,29519.0,16596.0,16596.0,2982.0,2982.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Total,Male,all (incl.n.r),18794.0,18794.0,16596.0,16596.0,2982.0,2982.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Total,Person,Charitable/NGO/trust run,14964.0,14964.0,16596.0,16596.0,2982.0,2982.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Total,Person,Govt./Public,7026.0,7026.0,16596.0,16596.0,2982.0,2982.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Total,Person,Private,25663.0,25663.0,16596.0,16596.0,2982.0,2982.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Total,Person,all (incl.n.r),16102.0,16102.0,16596.0,16596.0,2982.0,2982.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Charitable/NGO/trust run,28510.0,28510.0,4251.0,4251.0,1157.0,1157.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Govt./Public,6342.0,6342.0,4251.0,4251.0,1157.0,1157.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Private,23148.0,23148.0,4251.0,4251.0,1157.0,1157.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Urban,Female,all (incl.n.r),14319.0,14319.0,4251.0,4251.0,1157.0,1157.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Charitable/NGO/trust run,16536.0,16536.0,4251.0,4251.0,1157.0,1157.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Govt./Public,6017.0,6017.0,4251.0,4251.0,1157.0,1157.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Private,31842.0,31842.0,4251.0,4251.0,1157.0,1157.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Urban,Male,all (incl.n.r),19500.0,19500.0,4251.0,4251.0,1157.0,1157.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Charitable/NGO/trust run,21351.0,21351.0,4251.0,4251.0,1157.0,1157.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Govt./Public,6186.0,6186.0,4251.0,4251.0,1157.0,1157.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Private,27862.0,27862.0,4251.0,4251.0,1157.0,1157.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Urban,Person,all (incl.n.r),16972.0,16972.0,4251.0,4251.0,1157.0,1157.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Charitable/NGO/trust run,31707.0,31707.0,30577.0,30577.0,3683.0,3683.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Govt./Public,5321.0,5321.0,30577.0,30577.0,3683.0,3683.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Private,27841.0,27841.0,30577.0,30577.0,3683.0,3683.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Rural,Female,all (incl.n.r),21511.0,21511.0,30577.0,30577.0,3683.0,3683.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Charitable/NGO/trust run,10182.0,10182.0,30577.0,30577.0,3683.0,3683.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Govt./Public,8438.0,8438.0,30577.0,30577.0,3683.0,3683.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Private,30578.0,30578.0,30577.0,30577.0,3683.0,3683.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Rural,Male,all (incl.n.r),24014.0,24014.0,30577.0,30577.0,3683.0,3683.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Charitable/NGO/trust run,24207.0,24207.0,30577.0,30577.0,3683.0,3683.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Govt./Public,6911.0,6911.0,30577.0,30577.0,3683.0,3683.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Private,29261.0,29261.0,30577.0,30577.0,3683.0,3683.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Rural,Person,all (incl.n.r),22792.0,22792.0,30577.0,30577.0,3683.0,3683.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Total,Female,Charitable/NGO/trust run,33170.0,33170.0,42996.0,42996.0,6484.0,6484.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Total,Female,Govt./Public,6009.0,6009.0,42996.0,42996.0,6484.0,6484.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Total,Female,Private,31247.0,31247.0,42996.0,42996.0,6484.0,6484.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Total,Female,all (incl.n.r),24464.0,24464.0,42996.0,42996.0,6484.0,6484.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Total,Male,Charitable/NGO/trust run,20644.0,20644.0,42996.0,42996.0,6484.0,6484.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Total,Male,Govt./Public,9126.0,9126.0,42996.0,42996.0,6484.0,6484.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Total,Male,Private,31878.0,31878.0,42996.0,42996.0,6484.0,6484.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Total,Male,all (incl.n.r),25476.0,25476.0,42996.0,42996.0,6484.0,6484.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Total,Person,Charitable/NGO/trust run,27973.0,27973.0,42996.0,42996.0,6484.0,6484.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Total,Person,Govt./Public,7614.0,7614.0,42996.0,42996.0,6484.0,6484.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Total,Person,Private,31563.0,31563.0,42996.0,42996.0,6484.0,6484.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Total,Person,all (incl.n.r),24977.0,24977.0,42996.0,42996.0,6484.0,6484.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Charitable/NGO/trust run,39406.0,39406.0,12419.0,12419.0,2801.0,2801.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Govt./Public,8083.0,8083.0,12419.0,12419.0,2801.0,2801.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Private,38803.0,38803.0,12419.0,12419.0,2801.0,2801.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Urban,Female,all (incl.n.r),31678.0,31678.0,12419.0,12419.0,2801.0,2801.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Charitable/NGO/trust run,37057.0,37057.0,12419.0,12419.0,2801.0,2801.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Govt./Public,11052.0,11052.0,12419.0,12419.0,2801.0,2801.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Private,34997.0,34997.0,12419.0,12419.0,2801.0,2801.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Urban,Male,all (incl.n.r),29099.0,29099.0,12419.0,12419.0,2801.0,2801.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Charitable/NGO/trust run,38015.0,38015.0,12419.0,12419.0,2801.0,2801.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Govt./Public,9653.0,9653.0,12419.0,12419.0,2801.0,2801.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Private,36886.0,36886.0,12419.0,12419.0,2801.0,2801.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Urban,Person,all (incl.n.r),30358.0,30358.0,12419.0,12419.0,2801.0,2801.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Charitable/NGO/trust run,9872.0,9872.0,10246.0,10246.0,1651.0,1651.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Govt./Public,2916.0,2916.0,10246.0,10246.0,1651.0,1651.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Private,14617.0,14617.0,10246.0,10246.0,1651.0,1651.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Rural,Female,all (incl.n.r),9719.0,9719.0,10246.0,10246.0,1651.0,1651.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Charitable/NGO/trust run,12817.0,12817.0,10246.0,10246.0,1651.0,1651.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Govt./Public,5507.0,5507.0,10246.0,10246.0,1651.0,1651.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Private,18340.0,18340.0,10246.0,10246.0,1651.0,1651.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Rural,Male,all (incl.n.r),13663.0,13663.0,10246.0,10246.0,1651.0,1651.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Charitable/NGO/trust run,10998.0,10998.0,10246.0,10246.0,1651.0,1651.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Govt./Public,4057.0,4057.0,10246.0,10246.0,1651.0,1651.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Private,16472.0,16472.0,10246.0,10246.0,1651.0,1651.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Rural,Person,all (incl.n.r),11588.0,11588.0,10246.0,10246.0,1651.0,1651.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Total,Female,Charitable/NGO/trust run,9858.0,9858.0,11541.0,11541.0,2498.0,2498.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Total,Female,Govt./Public,2948.0,2948.0,11541.0,11541.0,2498.0,2498.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Total,Female,Private,15016.0,15016.0,11541.0,11541.0,2498.0,2498.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Total,Female,all (incl.n.r),10040.0,10040.0,11541.0,11541.0,2498.0,2498.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Total,Male,Charitable/NGO/trust run,12410.0,12410.0,11541.0,11541.0,2498.0,2498.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Total,Male,Govt./Public,5440.0,5440.0,11541.0,11541.0,2498.0,2498.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Total,Male,Private,19897.0,19897.0,11541.0,11541.0,2498.0,2498.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Total,Male,all (incl.n.r),14694.0,14694.0,11541.0,11541.0,2498.0,2498.0
