Country,StateName,StateCode,Year,D2660_6,Number_of_sub_centres_sum,Number_of_sub_centres_avg,Number_of_Primary_Health_Centres_PHC_sum,Number_of_Primary_Health_Centres_PHC_avg,Number_of_Community_Health_Centres_CHC_sum,Number_of_Community_Health_Centres_CHC_avg
India,Tripura,16,"Financial Year (Apr - Mar), 2019",,439.0,439.0,46.0,46.0,8.0,8.0
India,Tripura,16,"Financial Year (Apr - Mar), 2020",,439.0,439.0,46.0,46.0,8.0,8.0
India,Tripura,16,"Financial Year (Apr - Mar), 2021",,486.0,486.0,53.0,53.0,9.0,9.0
India,Meghalaya,17,"Financial Year (Apr - Mar), 2019",State has predominantly tribal areas,444.0,444.0,111.0,111.0,26.0,26.0
India,Meghalaya,17,"Financial Year (Apr - Mar), 2020",State has predominantly tribal areas,451.0,451.0,145.0,145.0,28.0,28.0
India,Meghalaya,17,"Financial Year (Apr - Mar), 2021",State has predominantly tribal areas,459.0,459.0,147.0,147.0,28.0,28.0
India,Assam,18,"Financial Year (Apr - Mar), 2019",,786.0,786.0,185.0,185.0,32.0,32.0
India,Assam,18,"Financial Year (Apr - Mar), 2020",,833.0,833.0,188.0,188.0,35.0,35.0
India,Assam,18,"Financial Year (Apr - Mar), 2021",,844.0,844.0,188.0,188.0,36.0,36.0
India,West Bengal,19,"Financial Year (Apr - Mar), 2019",,2889.0,2889.0,283.0,283.0,105.0,105.0
India,West Bengal,19,"Financial Year (Apr - Mar), 2020",,1188.0,1188.0,146.0,146.0,55.0,55.0
India,Jharkhand,20,"Financial Year (Apr - Mar), 2019",,2462.0,2462.0,175.0,175.0,103.0,103.0
India,Jharkhand,20,"Financial Year (Apr - Mar), 2020",,2465.0,2465.0,159.0,159.0,100.0,100.0
India,Jharkhand,20,"Financial Year (Apr - Mar), 2021",,2465.0,2465.0,159.0,159.0,100.0,100.0
India,Odisha,21,"Financial Year (Apr - Mar), 2019",,2701.0,2701.0,444.0,444.0,134.0,134.0
India,Odisha,21,"Financial Year (Apr - Mar), 2020",,2701.0,2701.0,444.0,444.0,134.0,134.0
India,Odisha,21,"Financial Year (Apr - Mar), 2021",,2701.0,2701.0,445.0,445.0,134.0,134.0
India,Chhattisgarh,22,"Financial Year (Apr - Mar), 2019",,2817.0,2817.0,399.0,399.0,89.0,89.0
India,Chhattisgarh,22,"Financial Year (Apr - Mar), 2020",,2944.0,2944.0,420.0,420.0,92.0,92.0
India,Chhattisgarh,22,"Financial Year (Apr - Mar), 2021",,2943.0,2943.0,417.0,417.0,93.0,93.0
India,Madhya Pradesh,23,"Financial Year (Apr - Mar), 2019",,2999.0,2999.0,320.0,320.0,86.0,86.0
India,Madhya Pradesh,23,"Financial Year (Apr - Mar), 2020",,3247.0,3247.0,375.0,375.0,96.0,96.0
India,Madhya Pradesh,23,"Financial Year (Apr - Mar), 2021",,3263.0,3263.0,361.0,361.0,111.0,111.0
India,Gujarat,24,"Financial Year (Apr - Mar), 2019",,2757.0,2757.0,424.0,424.0,94.0,94.0
India,Gujarat,24,"Financial Year (Apr - Mar), 2020",,2871.0,2871.0,439.0,439.0,92.0,92.0
India,Gujarat,24,"Financial Year (Apr - Mar), 2021",,2756.0,2756.0,422.0,422.0,88.0,88.0
