Country,StateName,StateCode,Year,I1201_3_sum,I1201_3_avg,I1201_4_sum,I1201_4_avg,I1201_5_sum,I1201_5_avg,I1201_6_sum,I1201_6_avg,I1201_7_sum,I1201_7_avg,I1201_8_sum,I1201_8_avg,I1201_9_sum,I1201_9_avg,I1201_10_sum,I1201_10_avg,I1201_11_sum,I1201_11_avg
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2021",118.0,118.0,65282.0,65282.0,5027.0,5027.0,8533.0,8533.0,78842.0,78842.0,668.0,668.0,7.0,7.0,8.0,8.0,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2022",119.72,119.72,59796.0,59796.0,6263.0,6263.0,39782.0,39782.0,105841.0,105841.0,884.0,884.0,8.0,8.0,3.0,3.0,,
India,Uttarakhand,5,"Calendar Year (Jan - Dec), 2023",121.46,121.46,169685.0,169685.0,13264.0,13264.0,22970.0,22970.0,36234.0,36234.0,205919.0,205919.0,1695.0,1695.0,15.0,15.0,3.0,3.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2018",286.02354,286.02354,,,,,,,278984.0,278984.0,975.0,975.0,,,,,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2019",289.7,289.7,241814.0,241814.0,,,,,302700.0,302700.0,1045.0,1045.0,,,,,60886.0,60886.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2020",294.4,294.4,163058.0,163058.0,,,,,203701.0,203701.0,692.0,692.0,,,,,40643.0,40643.0
India,Haryana,6,"Calendar Year (Jan - Dec), 2021",299.0,299.0,175602.0,175602.0,20540.0,20540.0,24152.0,24152.0,220294.0,220294.0,737.0,737.0,10.0,10.0,5.0,5.0,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2022",303.77,303.77,225791.0,225791.0,40995.0,40995.0,30037.0,30037.0,296823.0,296823.0,977.0,977.0,12.0,12.0,2.0,2.0,,
India,Haryana,6,"Calendar Year (Jan - Dec), 2023",308.57,308.57,392099.0,392099.0,81796.0,81796.0,33172.0,33172.0,114968.0,114968.0,507067.0,507067.0,1643.0,1643.0,19.0,19.0,3.0,3.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2018",185.34932,185.34932,,,,,,,252050.0,252050.0,1360.0,1360.0,,,,,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2019",187.9,187.9,180967.0,180967.0,,,,,255654.0,255654.0,1361.0,1361.0,,,,,74687.0,74687.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2020",190.5,190.5,96987.0,96987.0,,,,,152237.0,152237.0,799.0,799.0,,,,,55250.0,55250.0
India,Delhi,7,"Calendar Year (Jan - Dec), 2021",193.0,193.0,102802.0,102802.0,11944.0,11944.0,18824.0,18824.0,133570.0,133570.0,692.0,692.0,7.0,7.0,4.0,4.0,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2022",195.59,195.59,141369.0,141369.0,37057.0,37057.0,30125.0,30125.0,208551.0,208551.0,1066.0,1066.0,8.0,8.0,2.0,2.0,,
India,Delhi,7,"Calendar Year (Jan - Dec), 2023",198.21,198.21,158601.0,158601.0,63322.0,63322.0,22881.0,22881.0,86203.0,86203.0,244804.0,244804.0,1235.0,1235.0,9.0,9.0,2.0,2.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2018",774.00659,774.00659,,,,,,,593127.0,593127.0,766.0,766.0,,,,,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2019",786.6,786.6,578753.0,578753.0,,,,,654373.0,654373.0,832.0,832.0,,,,,75620.0,75620.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2020",799.2,799.2,356887.0,356887.0,,,,,408745.0,408745.0,511.0,511.0,,,,,51858.0,51858.0
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2021",812.0,812.0,438494.0,438494.0,21004.0,21004.0,33231.0,33231.0,492729.0,492729.0,607.0,607.0,9.0,9.0,6.0,6.0,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2022",809.78,809.78,985143.0,985143.0,84237.0,84237.0,77464.0,77464.0,1146844.0,1146844.0,1416.0,1416.0,20.0,20.0,2.0,2.0,,
India,Rajasthan,8,"Calendar Year (Jan - Dec), 2023",810.25,810.25,1333574.0,1333574.0,155418.0,155418.0,53268.0,53268.0,208686.0,208686.0,1542260.0,1542260.0,1903.0,1903.0,32.0,32.0,2.0,2.0
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2018",2251.16729,2251.16729,,,,,,,2064161.0,2064161.0,917.0,917.0,,,,,,
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2019",2287.8,2287.8,1806374.0,1806374.0,,,,,1981992.0,1981992.0,866.0,866.0,,,,,175618.0,175618.0
India,Uttar Pradesh,9,"Calendar Year (Jan - Dec), 2020",2324.3,2324.3,980494.0,980494.0,,,,,1121359.0,1121359.0,482.0,482.0,,,,,140865.0,140865.0
