Country,StateName,StateCode,Year,Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_public_sector_sum,Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_public_sector_avg,Percentage_of_Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_public_sector_sum,Percentage_of_Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_public_sector_avg,Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_private_sector_sum,Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_private_sector_avg,Percentage_of_Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_private_sector_sum,Percentage_of_Tuberculosis_TB_patients_with_known_Diabetes_Mellitus_DM_status_under_private_sector_avg,Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_public_sector_sum,Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_public_sector_avg,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_public_sector_sum,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_public_sector_avg,Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_private_sector_sum,Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_private_sector_avg,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_private_sector_sum,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_Patients_diagnosed_among_tested_under_private_sector_avg,Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_public_sector_sum,Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_public_sector_avg,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_public_sector_sum,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_public_sector_avg,Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_private_sector_sum,Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_private_sector_avg,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_private_sector_sum,Percentage_of_Tuberculosis_TB_and_Diabetes_Mellitus_DM_patients_initiated_on_Antidiabetic_treatment_under_private_sector_avg,Tuberculosis_TB_patients_notified_under_public_sector_sum,Tuberculosis_TB_patients_notified_under_public_sector_avg,Tuberculosis_TB_Patients_notified_under_private_sector_sum,Tuberculosis_TB_Patients_notified_under_private_sector_avg
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2021",19.0,19.0,100.0,100.0,,,,,4.0,4.0,21.0,21.0,,,,,4.0,4.0,100.0,100.0,,,,,,,,
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2022",20.0,20.0,100.0,100.0,,,,,8.0,8.0,40.0,40.0,,,,,7.0,7.0,88.0,88.0,,,,,,,,
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2023",21.0,21.0,95.5,95.5,,,,,5.0,5.0,23.8,23.8,,,,,4.0,4.0,80.0,80.0,,,,,,,,
India,Lakshadweep,31,"Calendar Year (Jan - Dec), 2024",13.0,13.0,92.9,92.9,,,,,2.0,2.0,15.4,15.4,,,,,2.0,2.0,100.0,100.0,,,,,,,,
India,Kerala,32,"Calendar Year (Jan - Dec), 2020",19045.0,19045.0,,,2097.0,2097.0,,,5513.0,5513.0,,,571.0,571.0,,,3531.0,3531.0,,,331.0,331.0,,,22223.0,22223.0,3425.0,3425.0
India,Kerala,32,"Calendar Year (Jan - Dec), 2021",16365.0,16365.0,91.0,91.0,2429.0,2429.0,81.0,81.0,5118.0,5118.0,31.0,31.0,792.0,792.0,33.0,33.0,2859.0,2859.0,56.0,56.0,354.0,354.0,45.0,45.0,,,,
India,Kerala,32,"Calendar Year (Jan - Dec), 2022",17523.0,17523.0,93.0,93.0,2582.0,2582.0,83.0,83.0,5834.0,5834.0,33.0,33.0,816.0,816.0,32.0,32.0,3546.0,3546.0,61.0,61.0,455.0,455.0,56.0,56.0,,,,
India,Kerala,32,"Calendar Year (Jan - Dec), 2023",19388.0,19388.0,94.1,94.1,2557.0,2557.0,88.2,88.2,6376.0,6376.0,32.9,32.9,770.0,770.0,30.1,30.1,4163.0,4163.0,65.3,65.3,446.0,446.0,57.9,57.9,,,,
India,Kerala,32,"Calendar Year (Jan - Dec), 2024",18660.0,18660.0,97.0,97.0,2362.0,2362.0,91.8,91.8,6329.0,6329.0,33.9,33.9,747.0,747.0,31.6,31.6,5630.0,5630.0,89.0,89.0,574.0,574.0,76.8,76.8,,,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2020",73441.0,73441.0,,,6255.0,6255.0,,,15449.0,15449.0,,,1156.0,1156.0,,,9072.0,9072.0,,,418.0,418.0,,,85495.0,85495.0,28018.0,28018.0
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2021",54041.0,54041.0,95.0,95.0,10940.0,10940.0,74.0,74.0,13760.0,13760.0,25.0,25.0,2367.0,2367.0,22.0,22.0,9497.0,9497.0,69.0,69.0,1320.0,1320.0,56.0,56.0,,,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2022",67118.0,67118.0,97.0,97.0,13423.0,13423.0,85.0,85.0,18321.0,18321.0,27.0,27.0,3515.0,3515.0,26.0,26.0,14874.0,14874.0,81.0,81.0,2720.0,2720.0,77.0,77.0,,,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2023",76635.0,76635.0,97.9,97.9,16054.0,16054.0,90.8,90.8,20196.0,20196.0,26.4,26.4,3655.0,3655.0,22.8,22.8,19144.0,19144.0,94.8,94.8,3179.0,3179.0,87.0,87.0,,,,
India,Tamil Nadu,33,"Calendar Year (Jan - Dec), 2024",80000.0,80000.0,97.7,97.7,17022.0,17022.0,91.8,91.8,21067.0,21067.0,26.3,26.3,4193.0,4193.0,24.6,24.6,19575.0,19575.0,92.9,92.9,3500.0,3500.0,83.5,83.5,,,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2020",1627.0,1627.0,,,2.0,2.0,,,398.0,398.0,,,,,,,385.0,385.0,,,,,,,1657.0,1657.0,6.0,6.0
India,Puducherry,34,"Calendar Year (Jan - Dec), 2021",1243.0,1243.0,98.0,98.0,1.0,1.0,50.0,50.0,346.0,346.0,28.0,28.0,1.0,1.0,100.0,100.0,337.0,337.0,97.0,97.0,1.0,1.0,100.0,100.0,,,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2022",1383.0,1383.0,98.0,98.0,,,,,410.0,410.0,30.0,30.0,,,,,326.0,326.0,80.0,80.0,,,,,,,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2023",1510.0,1510.0,99.0,99.0,2.0,2.0,100.0,100.0,464.0,464.0,30.7,30.7,0.0,0.0,0.0,0.0,445.0,445.0,95.9,95.9,,,,,,,,
India,Puducherry,34,"Calendar Year (Jan - Dec), 2024",1577.0,1577.0,98.1,98.1,1.0,1.0,50.0,50.0,501.0,501.0,31.8,31.8,0.0,0.0,0.0,0.0,433.0,433.0,86.4,86.4,,,,,,,,
India,Andaman And Nicobar Islands,35,"Calendar Year (Jan - Dec), 2020",376.0,376.0,,,2.0,2.0,,,40.0,40.0,,,,,,,28.0,28.0,,,,,,,601.0,601.0,12.0,12.0
India,Andaman And Nicobar Islands,35,"Calendar Year (Jan - Dec), 2021",424.0,424.0,88.0,88.0,,,,,86.0,86.0,20.0,20.0,,,,,50.0,50.0,58.0,58.0,,,,,,,,
India,Andaman And Nicobar Islands,35,"Calendar Year (Jan - Dec), 2022",475.0,475.0,92.0,92.0,1.0,1.0,100.0,100.0,97.0,97.0,20.0,20.0,1.0,1.0,100.0,100.0,73.0,73.0,75.0,75.0,1.0,1.0,100.0,100.0,,,,
India,Andaman And Nicobar Islands,35,"Calendar Year (Jan - Dec), 2023",518.0,518.0,95.2,95.2,3.0,3.0,75.0,75.0,97.0,97.0,18.7,18.7,1.0,1.0,33.3,33.3,69.0,69.0,71.1,71.1,1.0,1.0,100.0,100.0,,,,
India,Andaman And Nicobar Islands,35,"Calendar Year (Jan - Dec), 2024",514.0,514.0,90.3,90.3,4.0,4.0,30.8,30.8,101.0,101.0,19.6,19.6,0.0,0.0,0.0,0.0,64.0,64.0,63.4,63.4,,,,,,,,
India,Telangana,36,"Calendar Year (Jan - Dec), 2020",24358.0,24358.0,,,7740.0,7740.0,,,1493.0,1493.0,,,241.0,241.0,,,761.0,761.0,,,103.0,103.0,,,49334.0,49334.0,22148.0,22148.0
India,Telangana,36,"Calendar Year (Jan - Dec), 2021",38679.0,38679.0,93.0,93.0,19748.0,19748.0,91.0,91.0,2629.0,2629.0,7.0,7.0,1021.0,1021.0,5.0,5.0,2011.0,2011.0,76.0,76.0,559.0,559.0,55.0,55.0,,,,
India,Telangana,36,"Calendar Year (Jan - Dec), 2022",42072.0,42072.0,95.0,95.0,15384.0,15384.0,91.0,91.0,2752.0,2752.0,7.0,7.0,980.0,980.0,6.0,6.0,2321.0,2321.0,84.0,84.0,689.0,689.0,70.0,70.0,,,,
India,Telangana,36,"Calendar Year (Jan - Dec), 2023",51411.0,51411.0,94.3,94.3,17215.0,17215.0,92.2,92.2,3250.0,3250.0,6.3,6.3,892.0,892.0,5.2,5.2,2691.0,2691.0,82.8,82.8,738.0,738.0,82.7,82.7,,,,
India,Telangana,36,"Calendar Year (Jan - Dec), 2024",48052.0,48052.0,92.2,92.2,21379.0,21379.0,93.1,93.1,2762.0,2762.0,5.7,5.7,1252.0,1252.0,5.9,5.9,2161.0,2161.0,78.2,78.2,762.0,762.0,60.9,60.9,,,,
India,Ladakh,37,"Calendar Year (Jan - Dec), 2020",166.1264979276,166.1264979276,,,8.5086514409,8.5086514409,,,8.3992857412,8.3992857412,,,0.459335939,0.459335939,,,3.0841127331,3.0841127331,,,0.1531119797,0.1531119797,,,244.016749293,244.016749293,16.7985714823,16.7985714823
India,Ladakh,37,"Calendar Year (Jan - Dec), 2021",184.0,184.0,80.0,80.0,5.0,5.0,29.0,29.0,1.0,1.0,1.0,1.0,,,0.0,0.0,,,0.0,0.0,,,,,,,,
India,Ladakh,37,"Calendar Year (Jan - Dec), 2022",238.0,238.0,81.0,81.0,18.0,18.0,75.0,75.0,12.0,12.0,5.0,5.0,1.0,1.0,6.0,6.0,12.0,12.0,100.0,100.0,1.0,1.0,100.0,100.0,,,,
India,Ladakh,37,"Calendar Year (Jan - Dec), 2023",306.0,306.0,91.6,91.6,9.0,9.0,81.8,81.8,7.0,7.0,2.3,2.3,1.0,1.0,11.1,11.1,6.0,6.0,85.7,85.7,1.0,1.0,100.0,100.0,,,,
India,Ladakh,37,"Calendar Year (Jan - Dec), 2024",293.0,293.0,86.7,86.7,8.0,8.0,100.0,100.0,9.0,9.0,3.1,3.1,0.0,0.0,0.0,0.0,2.0,2.0,22.2,22.2,,,,,,,,
India,The Dadra And Nagar Haveli And Daman And Diu,38,"Calendar Year (Jan - Dec), 2020",823.0,823.0,,,144.0,144.0,,,43.0,43.0,,,8.0,8.0,,,23.0,23.0,,,5.0,5.0,,,873.0,873.0,156.0,156.0
India,The Dadra And Nagar Haveli And Daman And Diu,38,"Calendar Year (Jan - Dec), 2021",660.0,660.0,93.0,93.0,69.0,69.0,92.0,92.0,35.0,35.0,5.0,5.0,1.0,1.0,1.0,1.0,25.0,25.0,71.0,71.0,,,0.0,0.0,,,,
India,The Dadra And Nagar Haveli And Daman And Diu,38,"Calendar Year (Jan - Dec), 2022",698.0,698.0,98.0,98.0,50.0,50.0,100.0,100.0,36.0,36.0,5.0,5.0,2.0,2.0,4.0,4.0,31.0,31.0,86.0,86.0,2.0,2.0,100.0,100.0,,,,
India,The Dadra And Nagar Haveli And Daman And Diu,38,"Calendar Year (Jan - Dec), 2023",838.0,838.0,99.2,99.2,76.0,76.0,100.0,100.0,56.0,56.0,6.7,6.7,3.0,3.0,3.9,3.9,46.0,46.0,82.1,82.1,2.0,2.0,66.7,66.7,,,,
India,The Dadra And Nagar Haveli And Daman And Diu,38,"Calendar Year (Jan - Dec), 2024",786.0,786.0,99.5,99.5,77.0,77.0,100.0,100.0,55.0,55.0,7.0,7.0,6.0,6.0,7.8,7.8,40.0,40.0,72.7,72.7,5.0,5.0,83.3,83.3,,,,
