StateCode,StateName,Year,lab_tech_fill_rate,phc_doctor_fill_rate,chc_specialist_fill_rate,anm_fill_rate,pharmacist_fill_rate
1,Jammu and Kashmir,2019,0.039445628997852,0.40402075226975037,0.2965116279069439,0.1006047278724533,0.010416666666635946
1,Jammu and Kashmir,2020,0.12151394422310757,0.36357481381178064,0.2834890965732087,0.0978,0.1792086889061288
1,Jammu and Kashmir,2021,0.16043425814234016,0.374189364461738,0.41233766233766234,0.06517139229792636,0.19285120532003325
1,Jammu and Kashmir,2022,0.1375515818431912,0.4068241469816273,0.44298245614035087,0.10881542699724518,0.13750954927425516
2,Himachal Pradesh,2019,,0.3268698060941828,,0.2251154976900462,0.5067340067340067
2,Himachal Pradesh,2020,0.799163179916318,0.3476454293628809,0.0,0.27049539675580886,0.29322268326417705
2,Himachal Pradesh,2021,0.6174496644295302,0.1634304207119741,,0.36162528216704287,0.2377521613832853
2,Himachal Pradesh,2022,0.6209150326797386,0.2304147465437788,,0.7213240954580447,0.296195652173913
3,Punjab,2019,0.017825311942959002,0.022608695652173914,0.8125,0.0,0.05
3,Punjab,2020,0.3160621761658031,0.3316239316239316,0.7134020618556701,0.17546203518147405,0.26173708920187794
3,Punjab,2021,0.29871645274212366,0.34262295081967215,0.7277580071174378,0.25716174526223007,0.20910075839653305
3,Punjab,2022,0.30663615560640733,0.3113673805601318,0.7383015597920277,0.33753296220334017,0.21397849462365592
4,Chandigarh,2019,,,,,
4,Chandigarh,2020,,,,,
4,Chandigarh,2021,,,,,
4,Chandigarh,2022,,,,,
5,Uttarakhand,2019,0.5367647058823529,0.43487394957983194,0.9049295774647887,0.20061322820849758,0.06461538461538462
5,Uttarakhand,2020,0.5514705882352942,0.27310924369747897,0.864406779661017,0.08942351339083068,0.024615384615384615
5,Uttarakhand,2021,0.4715909090909091,0.2764423076923077,0.7796610169491526,0.20140721196130168,0.09090909090909091
5,Uttarakhand,2022,0.6086956521739131,0.2247191011235955,0.7777777777777778,0.31552863436123346,0.08928571428571429
6,Haryana,2019,0.33457943925233646,0.20760233918128654,0.7058823529411765,0.0,0.21818181818181817
6,Haryana,2020,0.4038748137108793,0.35900783289817234,0.8,0.1504590593966648,0.3826219512195122
6,Haryana,2021,0.4540466392318244,0.1933497536945813,,0.16009104704097116,0.41829085457271364
6,Haryana,2022,0.4796437659033079,0.2528445006321112,0.7573529411764706,0.216239500323067,0.4006024096385542
7,Delhi,2019,0.0,0.2857142857142857,,0.0,0.2
7,Delhi,2020,0.5,0.05263157894736842,,0.0,0.0
7,Delhi,2021,0.14285714285714285,0.15789473684210525,,0.05405405405405406,0.25
7,Delhi,2022,0.14285714285714285,0.15789473684210525,,0.08823529411764706,0.25
8,Rajasthan,2019,0.3193096008629989,0.14814814814814814,0.6827057182705718,0.16336714215978737,0.43878954607977994
8,Rajasthan,2020,0.32434277910549675,0.1497695852534562,0.6816860465116279,0.1685524775653531,0.43597560975609756
8,Rajasthan,2021,0.32702182284980746,0.14697523345513602,0.6748133061778683,0.13862103561674377,0.4892979452054795
8,Rajasthan,2022,0.32548650345260516,0.1281427412814274,0.662379421221865,0.15849641542336756,0.4923728813559322
9,Uttar Pradesh,2019,0.27702702702702703,0.29474384564204925,0.7694140066698428,0.0,0.023373983739837397
9,Uttar Pradesh,2020,0.26101141924959215,0.22889882615986584,0.6241363426992169,0.14139612752948028,0.013682472281198396
9,Uttar Pradesh,2021,0.3531675547661338,0.3046312949640288,0.6995175740868367,0.23263498312710912,0.12103474320241692
9,Uttar Pradesh,2022,0.3722334004024145,0.35026978417266186,0.6883910386965377,0.32860078460676256,0.1497434017595308
10,Bihar,2019,,,,,
10,Bihar,2020,0.7091633466135459,0.577379510777428,0.8050314465408805,0.350939015795365,0.6860242501595405
10,Bihar,2021,0.7739552066497345,0.3277739170720408,0.8732057416267942,0.547695581812942,0.7389723703344644
10,Bihar,2022,0.43462017434620176,0.5721835883171071,0.7486338797814208,0.056713971002612835,0.7311350665821179
11,Sikkim,2019,,,,,
11,Sikkim,2020,0.0,0.2916666666666667,0.5,0.0,0.13333333333333333
11,Sikkim,2021,0.0,0.02564102564102564,1.0,0.0,0.125
11,Sikkim,2022,,0.02564102564102564,,,0.08333333333333333
12,Arunachal Pradesh,2019,,,,,
12,Arunachal Pradesh,2020,,,,,
12,Arunachal Pradesh,2021,0.0,0.0,0.0,0.0,0.0
12,Arunachal Pradesh,2022,,,,,
13,Nagaland,2019,0.0,0.0,,0.0,0.0
13,Nagaland,2020,0.0,0.0,0.0,0.0,0.0
13,Nagaland,2021,0.0,0.0,0.3,0.0,0.0
13,Nagaland,2022,,0.057971014492753624,,,
14,Manipur,2019,0.2647058823529412,0.12605042016806722,0.25,0.12047177759056445,0.0
14,Manipur,2020,0.0,0.0,0.8333333333333334,0.0,0.0
14,Manipur,2021,0.1259259259259259,0.08605341246290801,0.4230769230769231,0.11754385964912281,0.0
