StateCode,StateName,Year,success_rate,ltfu_rate,lab_tech_fill_rate,phc_doctor_fill_rate,stunting_pct,improved_sanitation_pct,oop_per_hospitalisation
20,Jharkhand,2021,86.5,4.8,0.3625429553264604,0.0446735395189003,34.55,63.35,19057.0
20,Jharkhand,2022,89.2,2.2,0.352233676975945,0.0206185567010309,34.55,63.35,19057.0
21,Odisha,2019,87.0,2.2,0.0,0.3959881129271916,28.45,65.15,11476.0
21,Odisha,2020,89.0,1.3,0.0,0.3579192546583851,28.45,65.15,11476.0
21,Odisha,2021,89.7,1.0,0.1986628462273161,0.304282494365139,28.45,65.15,11476.0
21,Odisha,2022,91.0,0.8,0.1928251121076233,0.2573143285821455,28.45,65.15,11476.0
22,Chhattisgarh,2019,84.0,1.9,0.2660869565217391,0.5946969696969697,32.85,80.85,22896.0
22,Chhattisgarh,2020,86.0,2.4,0.189,0.5215782983970407,32.85,80.85,22896.0
22,Chhattisgarh,2021,85.9,1.9,0.1405312767780634,0.4302059496567506,32.85,80.85,22896.0
22,Chhattisgarh,2022,88.3,1.9,0.2617342879872713,0.4922440537745605,32.85,80.85,22896.0
23,Madhya Pradesh,2019,79.0,5.3,0.0,0.4797430830039526,33.7,70.2,14655.0
23,Madhya Pradesh,2020,80.0,4.5,0.4542440318302387,0.3016393442622951,33.7,70.2,14655.0
23,Madhya Pradesh,2021,84.7,4.4,0.302158273381295,0.3073661897191309,33.7,70.2,14655.0
23,Madhya Pradesh,2022,87.3,3.4,0.2797246558197747,0.1618705035971223,33.7,70.2,14655.0
24,Gujarat,2019,85.0,2.9,0.0608365019011406,0.1716559302766199,37.7,76.3,15448.0
24,Gujarat,2020,88.0,2.1,0.1752232142857142,0.2027822364901016,37.7,76.3,15448.0
24,Gujarat,2021,88.7,1.8,0.0254143646408839,0.117708880714661,37.7,76.3,15448.0
24,Gujarat,2022,90.1,1.3,0.0961848468565287,0.0985615343633457,37.7,76.3,15448.0
27,Maharashtra,2019,83.0,3.2,0.2287862513426423,0.0746315459391658,35.2,72.25,23892.0
27,Maharashtra,2020,84.0,2.1,0.2568460812086874,0.2060217451909674,35.2,72.25,23892.0
27,Maharashtra,2021,86.8,1.5,0.2570647219690063,0.1912459587167371,35.2,72.25,23892.0
27,Maharashtra,2022,86.9,1.4,0.2645551932929669,0.182070707070707,35.2,72.25,23892.0
28,Andhra Pradesh,2019,90.0,1.5,0.2932525951557093,0.0789473684210526,28.65,80.6,16454.0
28,Andhra Pradesh,2020,90.0,0.8,0.2643029814665592,0.0338527673293928,28.65,80.6,16454.0
28,Andhra Pradesh,2021,93.1,0.2,0.2288659793814433,0.0675675675675675,28.65,80.6,16454.0
28,Andhra Pradesh,2022,94.7,0.1,0.2176470588235294,0.0716228467815049,28.65,80.6,16454.0
29,Karnataka,2019,80.0,3.4,0.1733258300506471,0.007522331922896,34.7,76.45,15546.0
29,Karnataka,2020,81.0,2.5,0.1024973985431841,0.1084804132587171,34.7,76.45,15546.0
29,Karnataka,2021,82.5,2.5,0.1731414868105515,0.2514546965918537,34.7,76.45,15546.0
29,Karnataka,2022,84.6,2.1,0.1671996345363179,0.1661316211878009,34.7,76.45,15546.0
30,Goa,2019,79.0,5.5,0.032258064516129,0.0,26.25,87.7,11983.0
30,Goa,2020,84.0,3.0,0.0,0.0,26.25,87.7,11983.0
