StateCode,StateName,Year,state_category,expenditure_rural_health,expenditure_urban_health,expenditure_public_health
19,West Bengal,2015,Major (Non EAG States),2429.0,3910.0,288.0
19,West Bengal,2016,Major (Non EAG States),25014709.0,35212844.0,7549897.0
19,West Bengal,2017,Major (Non EAG States),30477621.0,36418882.0,6390413.0
19,West Bengal,2018,Major (Non EAG States),34620084.0,39339221.0,2695219.0
19,West Bengal,2019,Major (Non EAG States),37218450.0,42610851.0,7083422.0
20,Jharkhand,2015,EAG+1 States,329.0,1466.0,101.0
20,Jharkhand,2016,EAG+1 States,3632608.0,15532089.0,989425.0
20,Jharkhand,2017,EAG+1 States,4013771.0,16113661.0,1171500.0
20,Jharkhand,2018,EAG+1 States,4239461.0,21836250.0,1111829.0
20,Jharkhand,2019,EAG+1 States,4069333.0,22816668.0,1157727.0
21,Odisha,2015,EAG+1 States,1489.0,1388.0,268.0
21,Odisha,2016,EAG+1 States,21880292.0,12582116.0,2476690.0
21,Odisha,2017,EAG+1 States,24282275.0,13890281.0,3037524.0
21,Odisha,2018,EAG+1 States,25277579.0,14713856.0,7824771.0
21,Odisha,2019,EAG+1 States,27930179.0,15750593.0,8305554.0
22,Chhattisgarh,2015,EAG+1 States,1465.0,743.0,146.0
22,Chhattisgarh,2016,EAG+1 States,17877398.0,9220709.0,1712961.0
22,Chhattisgarh,2017,EAG+1 States,21522930.0,12057941.0,1891946.0
22,Chhattisgarh,2018,EAG+1 States,19014850.0,12002656.0,1775879.0
22,Chhattisgarh,2019,EAG+1 States,24032652.0,14542740.0,2667207.0
23,Madhya Pradesh,2015,EAG+1 States,871.0,3440.0,398.0
23,Madhya Pradesh,2016,EAG+1 States,11423048.0,37050443.0,3199382.0
23,Madhya Pradesh,2017,EAG+1 States,17686387.0,44810635.0,3621223.0
23,Madhya Pradesh,2018,EAG+1 States,20157931.0,43835480.0,4163511.0
23,Madhya Pradesh,2019,EAG+1 States,19196464.0,60343651.0,4609052.0
24,Gujarat,2015,Major (Non EAG States),1213.0,3034.0,1466.0
24,Gujarat,2016,Major (Non EAG States),12306523.0,32826254.0,14764759.0
24,Gujarat,2017,Major (Non EAG States),10817492.0,38251137.0,14850039.0
24,Gujarat,2018,Major (Non EAG States),13132241.0,44198416.0,16564661.0
24,Gujarat,2019,Major (Non EAG States),11806439.0,38761054.0,18493113.0
27,Maharashtra,2015,Major (Non EAG States),558.0,3418.0,4567.0
27,Maharashtra,2016,Major (Non EAG States),5603558.0,36271242.0,49337851.0
27,Maharashtra,2017,Major (Non EAG States),6445365.0,43399175.0,53957887.0
27,Maharashtra,2018,Major (Non EAG States),8670985.0,48928218.0,52102997.0
27,Maharashtra,2019,Major (Non EAG States),11728905.0,46457427.0,64151913.0
28,Andhra Pradesh,2015,Major (Non EAG States),888.0,2007.0,343.0
28,Andhra Pradesh,2016,Major (Non EAG States),9568798.0,29512718.0,4459904.0
28,Andhra Pradesh,2017,Major (Non EAG States),8586905.0,25855013.0,4306682.0
28,Andhra Pradesh,2018,Major (Non EAG States),8540210.0,30207517.0,4140865.0
28,Andhra Pradesh,2019,Major (Non EAG States),8412239.0,33320052.0,4286051.0
29,Karnataka,2015,Major (Non EAG States),1204.0,1433.0,455.0
29,Karnataka,2016,Major (Non EAG States),14799016.0,15666910.0,3985867.0
29,Karnataka,2017,Major (Non EAG States),20433185.0,18473012.0,3427501.0
29,Karnataka,2018,Major (Non EAG States),21381769.0,18866254.0,3401651.0
29,Karnataka,2019,Major (Non EAG States),20705324.0,19043407.0,4323011.0
30,Goa,2015,Major (Non EAG States),103.0,289.0,50.0
30,Goa,2016,Major (Non EAG States),1028505.0,3471770.0,368072.0
30,Goa,2017,Major (Non EAG States),1575767.0,4616274.0,639634.0
30,Goa,2018,Major (Non EAG States),1982221.0,4688759.0,487223.0
30,Goa,2019,Major (Non EAG States),2452005.0,5067431.0,803682.0
32,Kerala,2015,Major (Non EAG States),706.0,1700.0,728.0
32,Kerala,2016,Major (Non EAG States),8372351.0,20763575.0,9889631.0
32,Kerala,2017,Major (Non EAG States),9967210.0,23964333.0,9748828.0
32,Kerala,2018,Major (Non EAG States),10115870.0,24125195.0,10986819.0
32,Kerala,2019,Major (Non EAG States),10080331.0,24125670.0,17868865.0
33,Tamil Nadu,2015,Major (Non EAG States),923.0,2708.0,489.0
33,Tamil Nadu,2016,Major (Non EAG States),9486183.0,31828082.0,4982816.0
33,Tamil Nadu,2017,Major (Non EAG States),10405610.0,36054129.0,5430703.0
33,Tamil Nadu,2018,Major (Non EAG States),12266473.0,43810453.0,6053778.0
33,Tamil Nadu,2019,Major (Non EAG States),13801215.0,43881323.0,6247199.0
34,Puducherry,2015,Union Territories,41.0,282.0,25.0
34,Puducherry,2016,Union Territories,429936.0,2781914.0,275629.0
34,Puducherry,2017,Union Territories,463264.0,2936069.0,304487.0
34,Puducherry,2018,Union Territories,503393.0,3249662.0,318666.0
34,Puducherry,2019,Union Territories,530982.0,3571977.0,336624.0
35,Andaman And Nicobar Islands,2015,Union Territories,,,
35,Andaman And Nicobar Islands,2016,Union Territories,,,
35,Andaman And Nicobar Islands,2017,Union Territories,,,
35,Andaman And Nicobar Islands,2018,Union Territories,,,
35,Andaman And Nicobar Islands,2019,Union Territories,,,
36,Telangana,2015,Major (Non EAG States),495.0,2066.0,261.0
36,Telangana,2016,Major (Non EAG States),5087573.0,26192202.0,2901662.0
36,Telangana,2017,Major (Non EAG States),5126335.0,22568912.0,2999512.0
36,Telangana,2018,Major (Non EAG States),5941215.0,25921115.0,3914995.0
36,Telangana,2019,Major (Non EAG States),5070395.0,25844112.0,5954078.0
37,Ladakh,2015,Major (Non EAG States),20.1014156149,6.9119122245,1.6404854963
37,Ladakh,2016,Major (Non EAG States),100828.8757096496,172269.3942976997,14543.8663430567
37,Ladakh,2017,Major (Non EAG States),115883.2173928819,186031.6677308885,16047.5353489859
37,Ladakh,2018,Major (Non EAG States),117105.444707062,183251.3510385812,7894.5849099425
37,Ladakh,2019,Major (Non EAG States),137140.497215389,150204.0550659841,13731.0385893388
38,The Dadra And Nagar Haveli And Daman And Diu,2015,Union Territories,,,
38,The Dadra And Nagar Haveli And Daman And Diu,2016,Union Territories,,,
38,The Dadra And Nagar Haveli And Daman And Diu,2017,Union Territories,,,
38,The Dadra And Nagar Haveli And Daman And Diu,2018,Union Territories,,,
38,The Dadra And Nagar Haveli And Daman And Diu,2019,Union Territories,,,
