StateCode,StateName,Year,state_category,success_rate,ltfu_rate,death_rate,lab_tech_fill_rate,phc_doctor_fill_rate,anm_fill_rate,chc_specialist_fill_rate,oop_per_hospitalisation,barrier_financial_pct,barrier_distance_pct,tb_dm_coinfected_pct,drtb_pct,stunting_pct,improved_sanitation_pct,health_insurance_coverage_pct,notification_achievement_rate,presumptive_examination_rate
7,Delhi,2022,,75.9,4.7,2.3,0.1428571428571428,0.1578947368421052,0.088235294117647,,17289.0,10.0,720.0,8.0,3.2,28.65,84.15,26.05,1.05256,1066.0
8,Rajasthan,2019,EAG+1 States,80.0,4.0,2.8,0.3193096008629989,0.1481481481481481,0.1633671421597873,0.6827057182705718,16102.0,20.0,360.0,,,30.450000000000003,76.65,85.2,0.85855,832.0
8,Rajasthan,2020,,82.0,4.0,3.5,0.3243427791054967,0.1497695852534562,0.1685524775653531,0.6816860465116279,16102.0,20.0,360.0,,,30.450000000000003,76.65,85.2,0.6018977777777778,511.0
8,Rajasthan,2021,,85.2,3.4,3.3,0.3270218228498074,0.146975233455136,0.1386210356167437,0.6748133061778683,16102.0,20.0,360.0,3.0,,30.450000000000003,76.65,85.2,0.6525422222222222,607.0
8,Rajasthan,2022,,88.7,2.4,2.7,0.3254865034526051,0.1281427412814274,0.1584964154233675,0.662379421221865,16102.0,20.0,360.0,3.0,2.1,30.450000000000003,76.65,85.2,0.9349777777777778,1416.0
9,Uttar Pradesh,2019,EAG+1 States,83.0,4.4,3.8,0.277027027027027,0.2947438456420492,0.0,0.7694140066698428,24977.0,0.0,370.0,,,37.15,72.85,16.15,0.8365930434782609,866.0
9,Uttar Pradesh,2020,,84.0,3.3,4.1,0.2610114192495921,0.2288988261598658,0.1413961275294802,0.6241363426992169,24977.0,0.0,370.0,,,37.15,72.85,16.15,0.6031933333333334,482.0
9,Uttar Pradesh,2021,,86.3,2.5,3.6,0.3531675547661338,0.3046312949640288,0.2326349831271091,0.6995175740868367,24977.0,0.0,370.0,5.0,,37.15,72.85,16.15,0.7443866666666666,495.0
9,Uttar Pradesh,2022,,89.5,1.4,2.9,0.3722334004024145,0.3502697841726618,0.3286007846067625,0.6883910386965377,24977.0,0.0,370.0,5.0,2.9,37.15,72.85,16.15,0.9420709090909092,801.0
10,Bihar,2019,EAG+1 States,76.0,3.4,2.4,,,,,12258.0,10.0,280.0,,,40.35,57.45,13.35,0.5783,438.0
10,Bihar,2020,,78.0,3.8,3.4,0.7091633466135459,0.577379510777428,0.350939015795365,0.8050314465408805,12258.0,10.0,280.0,,,40.35,57.45,13.35,0.5184684210526316,200.0
