StateCode,StateName,Year,tb_tobacco_users_identified,tb_tobacco_pct
34,Puducherry,2021,201.0,8.0
34,Puducherry,2022,213.0,15.0
34,Puducherry,2023,225.0,32.55
34,Puducherry,2024,200.0,6.6
35,Andaman And Nicobar Islands,2020,0.0,
35,Andaman And Nicobar Islands,2021,78.0,20.0
35,Andaman And Nicobar Islands,2022,73.0,8.5
35,Andaman And Nicobar Islands,2023,89.0,9.0
35,Andaman And Nicobar Islands,2024,55.0,6.0
36,Telangana,2020,0.0,
36,Telangana,2021,7105.0,11.0
36,Telangana,2022,6561.0,9.5
36,Telangana,2023,7287.0,8.65
36,Telangana,2024,6018.0,7.4
37,Ladakh,2020,0.0,
37,Ladakh,2021,1.0,0.5
37,Ladakh,2022,6.0,1.5
37,Ladakh,2023,8.0,6.75
37,Ladakh,2024,6.0,1.2
38,The Dadra And Nagar Haveli And Daman And Diu,2020,0.0,
38,The Dadra And Nagar Haveli And Daman And Diu,2021,76.0,12.5
38,The Dadra And Nagar Haveli And Daman And Diu,2022,54.0,7.5
38,The Dadra And Nagar Haveli And Daman And Diu,2023,69.0,7.85
38,The Dadra And Nagar Haveli And Daman And Diu,2024,67.0,15.65
