StateCode,StateName,DistrictCode,DistrictName,Year,phc_count,chc_count,sc_count,dh_count
1,Jammu and Kashmir,624,Samba,2016,12.0,3.0,90.0,1.0
1,Jammu and Kashmir,624,Samba,2017,12.0,3.0,90.0,1.0
1,Jammu and Kashmir,624,Samba,2018,12.0,3.0,80.0,1.0
1,Jammu and Kashmir,624,Samba,2020,21.0,3.0,82.0,1.0
1,Jammu and Kashmir,624,Samba,2021,21.0,3.0,82.0,1.0
1,Jammu and Kashmir,625,Shopian,2016,10.0,2.0,60.0,1.0
1,Jammu and Kashmir,625,Shopian,2017,10.0,2.0,60.0,1.0
1,Jammu and Kashmir,625,Shopian,2018,10.0,2.0,60.0,1.0
1,Jammu and Kashmir,625,Shopian,2020,16.0,2.0,57.0,1.0
1,Jammu and Kashmir,625,Shopian,2021,16.0,2.0,57.0,1.0
1,Jammu and Kashmir,626,Ganderbal,2016,19.0,1.0,63.0,1.0
1,Jammu and Kashmir,626,Ganderbal,2017,19.0,1.0,63.0,1.0
1,Jammu and Kashmir,626,Ganderbal,2018,19.0,1.0,63.0,1.0
1,Jammu and Kashmir,626,Ganderbal,2020,30.0,1.0,60.0,1.0
1,Jammu and Kashmir,626,Ganderbal,2021,30.0,1.0,60.0,1.0
1,Jammu and Kashmir,627,Reasi,2016,22.0,2.0,112.0,1.0
1,Jammu and Kashmir,627,Reasi,2017,22.0,2.0,112.0,1.0
1,Jammu and Kashmir,627,Reasi,2018,22.0,2.0,111.0,1.0
1,Jammu and Kashmir,627,Reasi,2020,33.0,2.0,103.0,1.0
1,Jammu and Kashmir,627,Reasi,2021,33.0,2.0,103.0,1.0
1,Jammu and Kashmir,999999,Unknown Districts Of India,2017,33.0,3.0,105.0,1.0
2,Himachal Pradesh,15,Bilaspur,2016,38.0,9.0,117.0,1.0
2,Himachal Pradesh,15,Bilaspur,2017,38.0,7.0,119.0,1.0
2,Himachal Pradesh,15,Bilaspur,2018,38.0,7.0,120.0,1.0
2,Himachal Pradesh,15,Bilaspur,2019,38.0,6.0,120.0,1.0
2,Himachal Pradesh,15,Bilaspur,2020,38.0,8.0,123.0,1.0
2,Himachal Pradesh,15,Bilaspur,2021,37.0,8.0,124.0,1.0
2,Himachal Pradesh,16,Chamba,2016,42.0,6.0,177.0,1.0
2,Himachal Pradesh,16,Chamba,2017,45.0,5.0,176.0,1.0
2,Himachal Pradesh,16,Chamba,2018,45.0,5.0,177.0,1.0
2,Himachal Pradesh,16,Chamba,2019,45.0,4.0,177.0,0.0
2,Himachal Pradesh,16,Chamba,2020,44.0,5.0,177.0,0.0
2,Himachal Pradesh,16,Chamba,2021,46.0,5.0,178.0,0.0
2,Himachal Pradesh,17,Hamirpur,2016,32.0,3.0,150.0,1.0
2,Himachal Pradesh,17,Hamirpur,2017,32.0,2.0,149.0,1.0
2,Himachal Pradesh,17,Hamirpur,2018,32.0,2.0,150.0,1.0
2,Himachal Pradesh,17,Hamirpur,2019,32.0,2.0,150.0,0.0
2,Himachal Pradesh,17,Hamirpur,2020,32.0,2.0,152.0,0.0
2,Himachal Pradesh,17,Hamirpur,2021,32.0,2.0,153.0,0.0
2,Himachal Pradesh,18,Kangra,2016,85.0,17.0,437.0,1.0
2,Himachal Pradesh,18,Kangra,2017,87.0,19.0,438.0,1.0
2,Himachal Pradesh,18,Kangra,2018,87.0,17.0,441.0,1.0
2,Himachal Pradesh,18,Kangra,2019,87.0,19.0,441.0,1.0
2,Himachal Pradesh,18,Kangra,2020,85.0,19.0,449.0,1.0
2,Himachal Pradesh,18,Kangra,2021,81.0,20.0,439.0,1.0
2,Himachal Pradesh,19,Kinnaur,2016,23.0,4.0,35.0,1.0
2,Himachal Pradesh,19,Kinnaur,2017,24.0,4.0,34.0,1.0
2,Himachal Pradesh,19,Kinnaur,2018,24.0,4.0,34.0,1.0
2,Himachal Pradesh,19,Kinnaur,2019,24.0,4.0,34.0,1.0
2,Himachal Pradesh,19,Kinnaur,2020,23.0,4.0,35.0,1.0
2,Himachal Pradesh,19,Kinnaur,2021,25.0,4.0,35.0,1.0
2,Himachal Pradesh,20,Kullu,2016,22.0,3.0,101.0,1.0
2,Himachal Pradesh,20,Kullu,2017,29.0,4.0,102.0,1.0
2,Himachal Pradesh,20,Kullu,2018,28.0,5.0,103.0,1.0
2,Himachal Pradesh,20,Kullu,2019,27.0,4.0,103.0,1.0
2,Himachal Pradesh,20,Kullu,2020,23.0,5.0,99.0,1.0
2,Himachal Pradesh,20,Kullu,2021,23.0,5.0,99.0,1.0
2,Himachal Pradesh,21,Lahul and Spiti,2016,16.0,3.0,36.0,1.0
2,Himachal Pradesh,21,Lahul and Spiti,2017,17.0,3.0,36.0,1.0
2,Himachal Pradesh,21,Lahul and Spiti,2018,17.0,3.0,36.0,1.0
2,Himachal Pradesh,21,Lahul and Spiti,2019,17.0,3.0,36.0,1.0
2,Himachal Pradesh,21,Lahul and Spiti,2020,16.0,3.0,36.0,1.0
2,Himachal Pradesh,21,Lahul and Spiti,2021,17.0,3.0,35.0,1.0
2,Himachal Pradesh,22,Mandi,2016,74.0,13.0,320.0,1.0
2,Himachal Pradesh,22,Mandi,2017,79.0,13.0,320.0,1.0
2,Himachal Pradesh,22,Mandi,2018,85.0,13.0,325.0,1.0
2,Himachal Pradesh,22,Mandi,2020,85.0,13.0,334.0,1.0
2,Himachal Pradesh,22,Mandi,2021,82.0,12.0,339.0,1.0
2,Himachal Pradesh,23,Shimla,2016,110.0,13.0,249.0,1.0
2,Himachal Pradesh,23,Shimla,2017,119.0,16.0,252.0,1.0
2,Himachal Pradesh,23,Shimla,2018,44.0,6.0,149.0,1.0
