StateCode,StateName,Year,success_rate_private,ltfu_rate_private,death_rate_private
21,Odisha,2017,16.0,,0.0
21,Odisha,2018,82.0,3.0,2.0
21,Odisha,2019,82.0,3.2,3.3
21,Odisha,2020,91.0,1.2,2.4
21,Odisha,2021,91.8,0.7,2.6
21,Odisha,2022,91.6,1.1,1.6
22,Chhattisgarh,2017,51.0,,0.0
22,Chhattisgarh,2018,67.0,1.0,1.0
22,Chhattisgarh,2019,82.0,2.4,1.7
22,Chhattisgarh,2020,83.0,4.5,3.4
22,Chhattisgarh,2021,85.6,3.8,5.5
22,Chhattisgarh,2022,87.0,2.9,6.7
23,Madhya Pradesh,2017,63.0,,0.0
23,Madhya Pradesh,2018,57.0,6.0,1.0
23,Madhya Pradesh,2019,65.0,11.8,2.2
23,Madhya Pradesh,2020,64.0,8.6,3.2
23,Madhya Pradesh,2021,83.9,7.0,3.6
23,Madhya Pradesh,2022,87.9,5.8,3.2
24,Gujarat,2017,57.0,,1.0
24,Gujarat,2018,77.0,7.0,2.0
24,Gujarat,2019,85.0,4.3,3.1
24,Gujarat,2020,90.0,3.4,3.2
24,Gujarat,2021,91.2,2.8,3.1
24,Gujarat,2022,94.6,1.6,2.0
27,Maharashtra,2017,13.0,,0.0
27,Maharashtra,2018,80.0,4.0,2.0
27,Maharashtra,2019,84.0,3.2,3.6
27,Maharashtra,2020,86.0,2.1,4.6
27,Maharashtra,2021,89.5,1.1,3.8
27,Maharashtra,2022,88.6,0.8,3.4
28,Andhra Pradesh,2017,97.0,,1.0
28,Andhra Pradesh,2018,94.0,3.0,1.0
28,Andhra Pradesh,2019,94.0,2.1,1.5
28,Andhra Pradesh,2020,94.0,0.9,1.6
28,Andhra Pradesh,2021,97.2,0.2,1.0
28,Andhra Pradesh,2022,98.0,0.0,0.5
29,Karnataka,2017,40.0,,1.0
29,Karnataka,2018,75.0,3.0,3.0
29,Karnataka,2019,78.0,1.5,4.0
29,Karnataka,2020,83.0,2.0,4.3
29,Karnataka,2021,84.7,1.9,4.3
29,Karnataka,2022,88.0,0.9,3.0
