StateCode,StateName,Year,success_rate,ltfu_rate,death_rate,failure_rate,tb_patients_notified
20,Jharkhand,2019,77.0,2.8,2.3,0.5,56524.0
20,Jharkhand,2020,83.0,5.2,3.4,0.4,45660.0
20,Jharkhand,2021,86.5,4.8,3.5,0.4,52793.0
20,Jharkhand,2022,89.2,2.2,2.6,0.5,58996.0
21,Odisha,2018,88.0,3.0,5.0,0.0,48307.0
21,Odisha,2019,87.0,2.2,5.2,0.3,52279.0
21,Odisha,2020,89.0,1.3,5.6,0.2,44995.0
21,Odisha,2021,89.7,1.0,5.7,0.2,51788.0
21,Odisha,2022,91.0,0.8,4.4,0.2,59656.0
22,Chhattisgarh,2018,84.0,2.0,3.0,1.0,40527.0
22,Chhattisgarh,2019,84.0,1.9,3.7,0.5,42845.0
22,Chhattisgarh,2020,86.0,2.4,4.7,0.5,29104.0
22,Chhattisgarh,2021,85.9,1.9,5.7,0.5,32184.0
22,Chhattisgarh,2022,88.3,1.9,5.4,0.5,38788.0
23,Madhya Pradesh,2018,81.0,4.0,3.0,1.0,152846.0
23,Madhya Pradesh,2019,79.0,5.3,3.0,0.6,183177.0
23,Madhya Pradesh,2020,80.0,4.5,3.5,0.6,135759.0
23,Madhya Pradesh,2021,84.7,4.4,4.0,0.7,166098.0
23,Madhya Pradesh,2022,87.3,3.4,3.5,0.6,186709.0
24,Gujarat,2018,82.0,4.0,4.0,1.0,148695.0
24,Gujarat,2019,85.0,2.9,4.5,0.8,150999.0
24,Gujarat,2020,88.0,2.1,4.7,0.8,115345.0
24,Gujarat,2021,88.7,1.8,5.0,0.7,138070.0
24,Gujarat,2022,90.1,1.3,4.1,0.7,144685.0
27,Maharashtra,2018,81.0,4.0,4.0,1.0,191294.0
27,Maharashtra,2019,83.0,3.2,4.2,0.6,210754.0
27,Maharashtra,2020,84.0,2.1,4.7,0.5,147420.0
27,Maharashtra,2021,86.8,1.5,4.3,0.5,182554.0
27,Maharashtra,2022,86.9,1.4,3.9,0.4,219216.0
28,Andhra Pradesh,2018,91.0,2.0,4.0,1.0,90680.0
28,Andhra Pradesh,2019,90.0,1.5,3.7,0.3,96469.0
28,Andhra Pradesh,2020,90.0,0.8,4.0,0.2,62914.0
28,Andhra Pradesh,2021,93.1,0.2,2.6,0.2,85200.0
28,Andhra Pradesh,2022,94.7,0.1,1.6,0.2,90840.0
29,Karnataka,2018,80.0,5.0,6.0,1.0,78918.0
29,Karnataka,2019,80.0,3.4,6.4,0.8,87168.0
29,Karnataka,2020,81.0,2.5,7.2,0.6,62534.0
29,Karnataka,2021,82.5,2.5,7.5,0.6,69405.0
29,Karnataka,2022,84.6,2.1,6.7,0.5,76687.0
30,Goa,2018,70.0,3.0,3.0,1.0,2240.0
30,Goa,2019,79.0,5.5,3.2,0.6,2271.0
30,Goa,2020,84.0,3.0,5.6,0.5,1584.0
30,Goa,2021,80.1,3.1,9.0,0.8,1948.0
30,Goa,2022,74.3,4.4,8.6,0.9,1996.0
31,Lakshadweep,2018,95.0,0.0,0.0,0.0,19.0
31,Lakshadweep,2019,64.0,0.0,9.1,0.0,22.0
31,Lakshadweep,2020,88.0,0.0,0.0,0.0,17.0
31,Lakshadweep,2021,90.0,0.0,5.0,0.0,20.0
