StateCode,StateName,Year,success_rate,ltfu_rate,death_rate,failure_rate,tb_patients_notified,success_rate_public,ltfu_rate_public,death_rate_public,success_rate_private,ltfu_rate_private,death_rate_private,notification_achievement,notification_target,notification_achievement_rate,presumptive_cases_examined,presumptive_examination_rate,population,drtb_pct,tb_hiv_coinfected_pct,tb_dm_coinfected_pct,tb_tobacco_pct,lab_tech_fill_rate,phc_doctor_fill_rate,chc_specialist_fill_rate,anm_fill_rate,pharmacist_fill_rate,state_category,expenditure_rural_health,expenditure_urban_health,expenditure_public_health,stunting_pct,underweight_pct,improved_sanitation_pct,improved_water_pct,health_insurance_coverage_pct,tobacco_use_men_pct,oop_per_hospitalisation,barrier_financial_pct,barrier_services_unavailable_pct,barrier_distance_pct,barrier_quality_pct,treatment_from_govt_pct,treatment_from_private_pct
3,Punjab,2021,84.4,2.5,5.0,0.6,52253.0,83.6,2.9,4.8,86.8,1.5,5.7,50494.0,72000.0,0.7013055555555555,139308.0,449.0,310.0,,,10.0,3.5,0.2987164527421236,0.3426229508196721,0.7277580071174378,0.25716174526223,0.209100758396533,,,,,24.8,17.15,86.85,98.95,25.55,12.7,28177.0,0.3,15.2,5.5,31.6,28.3,64.8
3,Punjab,2022,83.9,2.5,4.6,0.4,57373.0,83.6,2.8,4.3,85.1,0.8,6.4,54009.0,70000.0,0.7715571428571428,229114.0,753.0,304.32,1.6,,11.0,3.0,0.3066361556064073,0.3113673805601318,0.7383015597920277,0.3375329622033401,0.2139784946236559,,,,,24.8,17.15,86.85,98.95,25.55,12.7,28177.0,0.3,15.2,5.5,31.6,28.3,64.8
4,Chandigarh,2018,88.0,3.0,3.0,1.0,3222.0,88.0,3.0,3.0,78.0,1.0,6.0,4506.0,6671.0,0.6754609503822515,29110.0,2538.0,11.46798,,,,,,,,,,Union Territories,,,,25.2,20.2,66.5,99.55,32.3,-5.85,38033.0,0.0,19.4,1.9,27.3,68.1,25.8
4,Chandigarh,2019,83.0,4.1,3.3,0.7,3454.0,83.0,4.1,3.3,67.0,5.7,2.3,6267.0,6500.0,0.964153846153846,30157.0,2600.0,11.6,,,,,,,,,,Union Territories,,,,25.2,20.2,66.5,99.55,32.3,-5.85,38033.0,0.0,19.4,1.9,27.3,68.1,25.8
4,Chandigarh,2020,81.0,3.7,4.6,0.5,2829.0,82.0,3.8,4.5,64.0,2.4,4.9,3856.0,7500.0,0.5141333333333333,15975.0,1362.0,11.7,,8.0,,,,,,,,,,,,25.2,20.2,66.5,99.55,32.3,-5.85,38033.0,0.0,19.4,1.9,27.3,68.1,25.8
4,Chandigarh,2021,84.1,3.1,3.7,1.0,3145.0,85.1,3.1,3.8,56.3,1.9,1.0,4626.0,0.0,,14394.0,1213.0,12.0,,,8.0,7.5,,,,,,,,,,25.2,20.2,66.5,99.55,32.3,-5.85,38033.0,0.0,19.4,1.9,27.3,68.1,25.8
4,Chandigarh,2022,83.2,3.0,4.0,0.8,3687.0,83.9,3.0,4.1,47.9,4.2,2.8,5740.0,7200.0,0.7972222222222223,27923.0,2312.0,12.08,2.5,,9.0,3.0,,,,,,,,,,25.2,20.2,66.5,99.55,32.3,-5.85,38033.0,0.0,19.4,1.9,27.3,68.1,25.8
5,Uttarakhand,2018,85.0,4.0,3.0,1.0,20561.0,84.0,4.0,4.0,90.0,5.0,1.0,20771.0,28511.0,0.7285258321349655,94269.0,835.0,112.94981,,,,,,,,,,EAG+1 States,8378878.0,7477730.0,1692636.0,26.25,20.95,79.35,96.9,62.25,32.2,17960.0,0.0,18.2,3.6,44.6,36.6,58.3
5,Uttarakhand,2019,84.0,3.8,3.6,0.5,24504.0,84.0,3.2,4.1,82.0,5.7,2.0,25595.0,30000.0,0.8531666666666666,107817.0,941.0,114.7,,,,,0.5367647058823529,0.4348739495798319,0.9049295774647887,0.2006132282084975,0.0646153846153846,EAG+1 States,7336947.0,7990505.0,1958180.0,26.25,20.95,79.35,96.9,62.25,32.2,17960.0,0.0,18.2,3.6,44.6,36.6,58.3
5,Uttarakhand,2020,83.0,3.1,3.8,0.5,19681.0,85.0,2.7,3.9,78.0,4.6,3.3,19662.0,32000.0,0.6144375,60519.0,520.0,116.3,,1.0,,,0.5514705882352942,0.2731092436974789,0.864406779661017,0.0894235133908306,0.0246153846153846,,,,,26.25,20.95,79.35,96.9,62.25,32.2,17960.0,0.0,18.2,3.6,44.6,36.6,58.3
5,Uttarakhand,2021,86.7,2.4,3.7,0.7,23231.0,86.0,2.5,4.2,90.0,2.3,1.8,22624.0,32000.0,0.707,78842.0,668.0,118.0,,,7.0,12.5,0.4715909090909091,0.2764423076923077,0.7796610169491526,0.2014072119613016,0.0909090909090909,,,,,26.25,20.95,79.35,96.9,62.25,32.2,17960.0,0.0,18.2,3.6,44.6,36.6,58.3
5,Uttarakhand,2022,87.5,2.3,3.4,0.7,26875.0,87.7,2.4,3.8,86.4,1.9,1.6,27405.0,28000.0,0.97875,105841.0,884.0,119.72,2.2,,7.0,8.0,0.6086956521739131,0.2247191011235955,0.7777777777777778,0.3155286343612334,0.0892857142857142,,,,,26.25,20.95,79.35,96.9,62.25,32.2,17960.0,0.0,18.2,3.6,44.6,36.6,58.3
6,Haryana,2018,82.0,4.0,4.0,1.0,61983.0,85.0,3.0,4.0,72.0,7.0,2.0,59558.0,72197.0,0.8249373242655512,278984.0,975.0,286.02354,,,,,,,,,,Major (Non EAG States),14784312.0,13090636.0,2126840.0,27.1,21.15,85.3,98.75,26.25,27.700000000000003,19147.0,0.1,6.2,3.8,39.8,32.3,61.2
6,Haryana,2019,79.0,4.1,3.9,0.7,72370.0,82.0,2.7,4.1,70.0,8.1,3.2,72433.0,85000.0,0.8521529411764706,302700.0,1045.0,289.7,,,,,0.3345794392523364,0.2076023391812865,0.7058823529411765,0.0,0.2181818181818181,Major (Non EAG States),18590048.0,16007802.0,2752346.0,27.1,21.15,85.3,98.75,26.25,27.700000000000003,19147.0,0.1,6.2,3.8,39.8,32.3,61.2
6,Haryana,2020,79.0,3.2,4.2,0.6,63036.0,80.0,2.2,4.3,75.0,5.6,4.0,62318.0,94000.0,0.6629574468085107,203701.0,692.0,294.4,,1.0,,,0.4038748137108793,0.3590078328981723,0.8,0.1504590593966648,0.3826219512195122,,,,,27.1,21.15,85.3,98.75,26.25,27.700000000000003,19147.0,0.1,6.2,3.8,39.8,32.3,61.2
6,Haryana,2021,83.5,2.1,4.4,0.6,69595.0,83.3,1.8,4.6,83.9,2.8,3.9,68232.0,94000.0,0.725872340425532,220294.0,737.0,299.0,,,7.0,5.5,0.4540466392318244,0.1933497536945813,,0.1600910470409711,0.4182908545727136,,,,,27.1,21.15,85.3,98.75,26.25,27.700000000000003,19147.0,0.1,6.2,3.8,39.8,32.3,61.2
6,Haryana,2022,86.6,1.5,3.9,0.6,76051.0,86.7,1.3,4.3,86.5,2.2,2.6,75178.0,94000.0,0.7997659574468086,296823.0,977.0,303.77,2.0,,7.0,4.0,0.4796437659033079,0.2528445006321112,0.7573529411764706,0.216239500323067,0.4006024096385542,,,,,27.1,21.15,85.3,98.75,26.25,27.700000000000003,19147.0,0.1,6.2,3.8,39.8,32.3,61.2
7,Delhi,2018,72.0,5.0,2.0,1.0,71928.0,77.0,4.0,2.0,38.0,8.0,2.0,78979.0,106747.0,0.7398709097211162,252050.0,1360.0,185.34932,,,,,,,,,,Major (Non EAG States),160578.0,42716901.0,2746570.0,28.65,16.75,84.15,98.75,26.05,29.15,17289.0,0.1,5.5,7.2,31.3,59.7,35.2
7,Delhi,2019,71.0,4.6,2.3,0.5,93819.0,76.0,4.5,1.9,56.0,4.8,3.3,105747.0,110000.0,0.9613363636363635,255654.0,1361.0,187.9,,,,,0.0,0.2857142857142857,,0.0,0.2,Major (Non EAG States),488443.0,45065362.0,2652885.0,28.65,16.75,84.15,98.75,26.05,29.15,17289.0,0.1,5.5,7.2,31.3,59.7,35.2
7,Delhi,2020,72.0,4.7,2.7,0.5,73390.0,75.0,4.7,2.4,63.0,4.7,3.7,84903.0,110000.0,0.7718454545454545,152237.0,799.0,190.5,,3.0,,,0.5,0.0526315789473684,,0.0,0.0,,,,,28.65,16.75,84.15,98.75,26.05,29.15,17289.0,0.1,5.5,7.2,31.3,59.7,35.2
7,Delhi,2021,74.1,5.2,2.8,0.7,82277.0,77.7,4.9,2.6,60.1,6.7,3.7,101224.0,110000.0,0.9202181818181818,133570.0,692.0,193.0,,,8.0,5.5,0.1428571428571428,0.1578947368421052,,0.054054054054054,0.25,,,,,28.65,16.75,84.15,98.75,26.05,29.15,17289.0,0.1,5.5,7.2,31.3,59.7,35.2
7,Delhi,2022,75.9,4.7,2.3,0.6,85017.0,79.3,4.4,2.3,50.5,6.7,2.1,105256.0,100000.0,1.05256,208551.0,1066.0,195.59,3.2,,8.0,5.0,0.1428571428571428,0.1578947368421052,,0.088235294117647,0.25,,,,,28.65,16.75,84.15,98.75,26.05,29.15,17289.0,0.1,5.5,7.2,31.3,59.7,35.2
8,Rajasthan,2018,77.0,4.0,3.0,1.0,152547.0,82.0,3.0,3.0,64.0,6.0,1.0,148379.0,181796.0,0.8161840744570837,593127.0,766.0,774.00659,,,,,,,,,,EAG+1 States,27964304.0,29667992.0,19643184.0,30.450000000000003,26.75,76.65,97.35,85.2,39.1,16102.0,0.2,14.8,3.6,38.4,48.3,47.1
8,Rajasthan,2019,80.0,4.0,2.8,0.6,169311.0,82.0,3.3,3.3,77.0,5.8,1.7,171710.0,200000.0,0.85855,654373.0,832.0,786.6,,,,,0.3193096008629989,0.1481481481481481,0.6827057182705718,0.1633671421597873,0.4387895460797799,EAG+1 States,28765451.0,29091681.0,14836671.0,30.450000000000003,26.75,76.65,97.35,85.2,39.1,16102.0,0.2,14.8,3.6,38.4,48.3,47.1
8,Rajasthan,2020,82.0,4.0,3.5,0.6,133460.0,82.0,2.9,3.6,83.0,6.6,3.2,135427.0,225000.0,0.6018977777777778,408745.0,511.0,799.2,,1.0,,,0.3243427791054967,0.1497695852534562,0.6816860465116279,0.1685524775653531,0.4359756097560975,,,,,30.450000000000003,26.75,76.65,97.35,85.2,39.1,16102.0,0.2,14.8,3.6,38.4,48.3,47.1
8,Rajasthan,2021,85.2,3.4,3.3,0.5,147937.0,84.6,2.7,3.6,86.7,5.1,2.6,146822.0,225000.0,0.6525422222222222,492729.0,607.0,812.0,,,3.0,8.0,0.3270218228498074,0.146975233455136,0.6748133061778683,0.1386210356167437,0.4892979452054795,,,,,30.450000000000003,26.75,76.65,97.35,85.2,39.1,16102.0,0.2,14.8,3.6,38.4,48.3,47.1
8,Rajasthan,2022,88.7,2.4,2.7,0.6,166554.0,88.0,2.1,3.2,91.0,3.2,1.3,168296.0,180000.0,0.9349777777777778,1146844.0,1416.0,809.78,2.1,,3.0,8.5,0.3254865034526051,0.1281427412814274,0.662379421221865,0.1584964154233675,0.4923728813559322,,,,,30.450000000000003,26.75,76.65,97.35,85.2,39.1,16102.0,0.2,14.8,3.6,38.4,48.3,47.1
9,Uttar Pradesh,2018,79.0,5.0,3.0,1.0,406312.0,83.0,4.0,4.0,65.0,8.0,2.0,384502.0,592515.0,0.6489320945461297,2064161.0,917.0,2251.16729,,,,,,,,,,EAG+1 States,53536599.0,36544823.0,5412886.0,37.15,30.65,72.85,99.25,16.15,41.150000000000006,24977.0,0.0,12.1,3.7,49.9,24.9,63.7
9,Uttar Pradesh,2019,83.0,4.4,3.8,0.7,486310.0,82.0,4.2,3.5,83.0,5.0,4.4,481041.0,575000.0,0.8365930434782609,1981992.0,866.0,2287.8,,,,,0.277027027027027,0.2947438456420492,0.7694140066698428,0.0,0.0233739837398373,EAG+1 States,50891538.0,41046196.0,5569761.0,37.15,30.65,72.85,99.25,16.15,41.150000000000006,24977.0,0.0,12.1,3.7,49.9,24.9,63.7
9,Uttar Pradesh,2020,84.0,3.3,4.1,0.6,363664.0,83.0,3.1,3.8,85.0,3.6,4.9,361916.0,600000.0,0.6031933333333334,1121359.0,482.0,2324.3,,1.0,,,0.2610114192495921,0.2288988261598658,0.6241363426992169,0.1413961275294802,0.0136824722811983,,,,,37.15,30.65,72.85,99.25,16.15,41.150000000000006,24977.0,0.0,12.1,3.7,49.9,24.9,63.7
9,Uttar Pradesh,2021,86.3,2.5,3.6,0.5,453494.0,85.7,2.3,3.7,88.0,3.2,3.5,446632.0,600000.0,0.7443866666666666,1169076.0,495.0,2361.0,,,5.0,11.0,0.3531675547661338,0.3046312949640288,0.6995175740868367,0.2326349831271091,0.1210347432024169,,,,,37.15,30.65,72.85,99.25,16.15,41.150000000000006,24977.0,0.0,12.1,3.7,49.9,24.9,63.7
9,Uttar Pradesh,2022,89.5,1.4,2.9,0.4,523101.0,88.6,1.4,3.2,92.6,1.4,2.0,518139.0,550000.0,0.9420709090909092,1920614.0,801.0,2398.03,2.9,,5.0,9.5,0.3722334004024145,0.3502697841726618,0.6883910386965377,0.3286007846067625,0.1497434017595308,,,,,37.15,30.65,72.85,99.25,16.15,41.150000000000006,24977.0,0.0,12.1,3.7,49.9,24.9,63.7
10,Bihar,2018,74.0,5.0,2.0,1.0,106189.0,80.0,5.0,2.0,62.0,5.0,2.0,100696.0,199496.0,0.5047519749769419,503849.0,420.0,1200.92,,,,,,,,,,EAG+1 States,33522365.0,23333038.0,1113161.0,40.35,38.8,57.45,99.35,13.35,45.5,12258.0,0.1,12.9,2.8,57.5,35.7,42.4
10,Bihar,2019,76.0,3.4,2.4,0.5,123027.0,76.0,3.7,2.4,77.0,2.8,2.4,121443.0,210000.0,0.5783,536298.0,438.0,1224.3,,,,,,,,,,EAG+1 States,32391572.0,26788321.0,1435559.0,40.35,38.8,57.45,99.35,13.35,45.5,12258.0,0.1,12.9,2.8,57.5,35.7,42.4
10,Bihar,2020,78.0,3.8,3.4,0.5,99731.0,74.0,4.0,2.5,82.0,3.5,4.3,98509.0,190000.0,0.5184684210526316,249311.0,200.0,1247.6,,2.0,,,0.7091633466135459,0.577379510777428,0.8050314465408805,0.350939015795365,0.6860242501595405,,,,,40.35,38.8,57.45,99.35,13.35,45.5,12258.0,0.1,12.9,2.8,57.5,35.7,42.4
10,Bihar,2021,81.9,3.9,3.7,0.5,133418.0,76.0,4.1,2.6,87.0,3.6,4.5,130884.0,190000.0,0.6888631578947368,380833.0,300.0,1271.0,,,5.0,12.5,0.7739552066497345,0.3277739170720408,0.8732057416267942,0.547695581812942,0.7389723703344644,,,,,40.35,38.8,57.45,99.35,13.35,45.5,12258.0,0.1,12.9,2.8,57.5,35.7,42.4
