StateCode,StateName,Year,presumptive_cases_examined,presumptive_examination_rate,population
21,Odisha,2021,874054.0,1867.0,468.0
21,Odisha,2022,1225297.0,2590.0,473.01
21,Odisha,2023,243190.0,1471635.0,477.98
22,Chhattisgarh,2018,239783.0,826.0,290.33682
22,Chhattisgarh,2019,301744.0,1021.0,295.4
22,Chhattisgarh,2020,175833.0,585.0,300.3
22,Chhattisgarh,2021,214665.0,703.0,305.0
22,Chhattisgarh,2022,487368.0,1605.0,303.59
22,Chhattisgarh,2023,77220.0,645811.0,301.8
23,Madhya Pradesh,2018,675536.0,826.0,817.41779
23,Madhya Pradesh,2019,618246.0,744.0,830.6
23,Madhya Pradesh,2020,522913.0,620.0,843.6
23,Madhya Pradesh,2021,634719.0,741.0,857.0
23,Madhya Pradesh,2022,1309645.0,1505.0,870.0
23,Madhya Pradesh,2023,428949.0,1970421.0,883.49
24,Gujarat,2018,869701.0,1285.0,676.73985
24,Gujarat,2019,977630.0,1423.0,687.2
24,Gujarat,2020,811825.0,1164.0,697.6
24,Gujarat,2021,889374.0,1256.0,708.0
24,Gujarat,2022,1261884.0,1768.0,713.84
24,Gujarat,2023,116098.0,1553006.0,724.39
27,Maharashtra,2018,1081654.0,881.0,1227.65975
27,Maharashtra,2019,1133935.0,913.0,1241.4
27,Maharashtra,2020,884469.0,703.0,1257.4
27,Maharashtra,2021,1058856.0,832.0,1272.0
27,Maharashtra,2022,1942765.0,1519.0,1278.86
27,Maharashtra,2023,326760.0,2133325.0,1293.95
28,Andhra Pradesh,2018,451321.0,871.0,518.34544
28,Andhra Pradesh,2019,402272.0,771.0,521.9
28,Andhra Pradesh,2020,612380.0,1166.0,525.4
28,Andhra Pradesh,2021,750486.0,1419.0,529.0
28,Andhra Pradesh,2022,806156.0,1524.0,528.95
28,Andhra Pradesh,2023,608825.0,1023919.0,532.49
29,Karnataka,2018,764712.0,1144.0,668.68115
29,Karnataka,2019,987369.0,1459.0,676.9
29,Karnataka,2020,527789.0,770.0,685.1
29,Karnataka,2021,538482.0,743.0,724.0
29,Karnataka,2022,971808.0,1345.0,722.51
29,Karnataka,2023,459060.0,1563730.0,740.18
30,Goa,2018,17975.0,1180.0,15.22877
30,Goa,2019,18666.0,1212.0,15.4
30,Goa,2020,12885.0,836.0,15.4
30,Goa,2021,13454.0,868.0,16.0
30,Goa,2022,20528.0,1316.0,15.6
30,Goa,2023,29745.0,29745.0,15.69
31,Lakshadweep,2018,941.0,1429.0,0.65864
31,Lakshadweep,2019,805.0,1218.0,0.7
31,Lakshadweep,2020,1152.0,1738.0,0.7
31,Lakshadweep,2021,1045.0,1572.0,1.0
31,Lakshadweep,2022,2623.0,3933.0,0.67
31,Lakshadweep,2023,309.0,1048.0,0.67
32,Kerala,2018,478758.0,1400.0,342.08129
32,Kerala,2019,503342.0,1466.0,343.3
32,Kerala,2020,257917.0,749.0,344.4
32,Kerala,2021,228096.0,660.0,346.0
32,Kerala,2022,395812.0,1141.0,346.78
32,Kerala,2023,206383.0,515285.0,354.59
33,Tamil Nadu,2018,994312.0,1253.0,793.38612
33,Tamil Nadu,2019,1133993.0,1411.0,803.7
33,Tamil Nadu,2020,644301.0,792.0,814.0
33,Tamil Nadu,2021,785646.0,953.0,824.0
33,Tamil Nadu,2022,1773904.0,2290.0,774.5
33,Tamil Nadu,2023,332184.0,2327627.0,784.34
34,Puducherry,2018,29934.0,2078.0,14.40247
34,Puducherry,2019,31827.0,2168.0,14.7
34,Puducherry,2020,12006.0,802.0,15.0
34,Puducherry,2021,15411.0,1011.0,15.0
34,Puducherry,2022,26451.0,1703.0,15.53
34,Puducherry,2023,11557.0,30902.0,15.82
35,Andaman and Nicobar Islands,2018,6163.0,1590.0,3.87466
35,Andaman and Nicobar Islands,2019,5822.0,1498.0,3.9
35,Andaman and Nicobar Islands,2020,3682.0,945.0,3.9
35,Andaman and Nicobar Islands,2021,6024.0,1542.0,4.0
35,Andaman and Nicobar Islands,2022,16075.0,4103.0,3.92
35,Andaman and Nicobar Islands,2023,4617.0,9233.0,3.93
36,Telangana,2018,292774.0,790.0,370.61723
36,Telangana,2019,368374.0,990.0,372.2
36,Telangana,2020,262714.0,693.0,379.2
36,Telangana,2021,253721.0,664.0,382.0
36,Telangana,2022,574341.0,1423.0,403.5
36,Telangana,2023,387151.0,681397.0,406.44
37,Ladakh,2018,2767.2803008965,883.0,3.1357099391
37,Ladakh,2019,2757.5686267583,864.0,3.1934784328
37,Ladakh,2020,2922.0,850.0,3.4
37,Ladakh,2021,3974.0,1137.0,3.0
37,Ladakh,2022,10530.0,4099.0,2.57
37,Ladakh,2023,16116.0,17373.0,2.61
38,The Dadra and Nagar Haveli and Daman and Diu,2018,13135.0,1718.0,7.55401
38,The Dadra and Nagar Haveli and Daman and Diu,2019,15410.0,2017.0,7.9
38,The Dadra and Nagar Haveli and Daman and Diu,2020,11635.0,1447.0,8.0
38,The Dadra and Nagar Haveli and Daman and Diu,2021,15868.0,1915.0,8.0
38,The Dadra and Nagar Haveli and Daman and Diu,2022,25140.0,2945.0,8.54
38,The Dadra and Nagar Haveli and Daman and Diu,2023,5660.0,39931.0,8.79
